,names,words,tags
0,63 City.csv,"['view', 'seoul', 'go', 'citi', 'art', 'aquarium', 'build', 'visit', 'floor']","['walking', 'touring']"
1,Alive Museum Insadong.csv,"['place', 'go', 'went', 'fun', 'take', 'pictur', 'museum', 'aliv', 'lot']","['walking', 'touring']"
2,Amore Pacific Museum of Art.csv,[],[]
3,An Jung-geun Memorial Hall.csv,[],[]
4,Ansan Jarak-gil.csv,"['trail', 'walk', 'ansan', 'mani', 'area', 'like', 'park', 'gil', 'get']",['walking']
5,apm Place.csv,['mall'],['shopping']
6,Arario Museum in Space.csv,"['interest', 'like', 'place', 'art', 'build', 'piec', 'museum', 'modern', 'space']",['touring']
7,Baek In-je's House.csv,"['interest', 'around', 'tour', 'visit', 'home', 'museum', 'hous', 'free', 'bukchon']",['touring']
8,Banpodaegyo Bridge.csv,"['light', 'walk', 'bridg', 'show', 'time', 'bus', 'fountain', 'see']",['walking']
9,Bongeunsa Temple.csv,"['templ', 'place', 'visit', 'buddhist', 'get', 'coex', 'build']",['touring']
10,Bugaksan Seoul Fortress.csv,"['seoul', 'view', 'way', 'walk', 'hike', 'take', 'wall', 'malbawi', 'stop']",['walking']
11,Bukchon Hanok Village.csv,"['walk', 'hous', 'shop', 'villag', 'tradit', 'korean', 'tourist', 'area', 'take']","['walking', 'shopping', 'touring']"
12,Bukhansan National Park.csv,"['trail', 'climb', 'walk', 'hike', 'seoul', 'view', 'peak', 'take', 'bus']",['walking']
13,Changdeokgung Palace.csv,"['palac', 'around', 'korean', 'visit', 'place', 'garden', 'tour', 'secret']","['walking', 'touring']"
14,Changgyeonggung Palace.csv,"['visit', 'around', 'go', 'palac', 'tour', 'garden', 'place', 'beauti']","['walking', 'touring']"
15,Cheonggyecheon Stream.csv,"['place', 'time', 'stream', 'walk', 'citi', 'nice', 'take']",['walking']
16,Cheongwadae Sarangchae.csv,"['interest', 'museum', 'go', 'korea', 'presid', 'cheongwada', 'korean', 'place']",['touring']
