,Name,0.5,1.5
0,Gyeongbokgung Palace,"[(0, 78), (0, 96), (0, 119), (0, 143), (0, 150), (0, 157)]","[(0, 6), (0, 9), (0, 10), (0, 11), (0, 15), (0, 16), (0, 19), (0, 33), (0, 37), (0, 47), (0, 49), (0, 51), (0, 52), (0, 54), (0, 57), (0, 62), (0, 70), (0, 78), (0, 83), (0, 86), (0, 89), (0, 96), (0, 101), (0, 108), (0, 113), (0, 115), (0, 117), (0, 119), (0, 123), (0, 127), (0, 129), (0, 131), (0, 135), (0, 138), (0, 141), (0, 143), (0, 144), (0, 150), (0, 156), (0, 157), (0, 163), (0, 167), (0, 170), (0, 171)]"
1,Bukhansan National Park,[],[]
2,Myeongdong Shopping Street,"[(2, 124)]","[(2, 6), (2, 14), (2, 22), (2, 24), (2, 30), (2, 31), (2, 36), (2, 43), (2, 46), (2, 60), (2, 61), (2, 73), (2, 74), (2, 83), (2, 84), (2, 92), (2, 104), (2, 106), (2, 117), (2, 124), (2, 136), (2, 138), (2, 140), (2, 142)]"
3,Changdeokgung Palace,"[(3, 97), (3, 144)]","[(3, 6), (3, 16), (3, 19), (3, 24), (3, 33), (3, 57), (3, 62), (3, 70), (3, 83), (3, 96), (3, 97), (3, 108), (3, 110), (3, 113), (3, 117), (3, 119), (3, 123), (3, 138), (3, 140), (3, 144), (3, 162), (3, 163), (3, 167)]"
4,The War Memorial of Korea,[],"[(4, 5), (4, 45), (4, 69), (4, 88), (4, 107)]"
5,National Museum of Korea,"[(5, 45)]","[(5, 4), (5, 39), (5, 44), (5, 45)]"
6,Insadong,"[(6, 16), (6, 57), (6, 83), (6, 117), (6, 123), (6, 138)]","[(6, 0), (6, 2), (6, 3), (6, 9), (6, 10), (6, 11), (6, 14), (6, 15), (6, 16), (6, 19), (6, 24), (6, 33), (6, 34), (6, 37), (6, 47), (6, 49), (6, 51), (6, 52), (6, 54), (6, 57), (6, 61), (6, 62), (6, 70), (6, 78), (6, 83), (6, 89), (6, 92), (6, 95), (6, 96), (6, 97), (6, 101), (6, 106), (6, 108), (6, 111), (6, 113), (6, 117), (6, 119), (6, 121), (6, 123), (6, 127), (6, 129), (6, 131), (6, 135), (6, 136), (6, 138), (6, 141), (6, 143), (6, 144), (6, 150), (6, 156), (6, 157), (6, 163), (6, 164), (6, 167), (6, 171)]"
7,Trickeye Museum Seoul,"[(7, 20), (7, 25), (7, 48), (7, 122), (7, 166)]","[(7, 20), (7, 25), (7, 48), (7, 68), (7, 71), (7, 122), (7, 165), (7, 166)]"
8,Lotte World Tower & Mall,[],"[(8, 35), (8, 112), (8, 120), (8, 159)]"
9,KTX (Korea Train Express),"[(9, 37), (9, 47), (9, 49), (9, 51), (9, 54), (9, 89), (9, 101), (9, 127), (9, 131), (9, 135)]","[(9, 0), (9, 6), (9, 14), (9, 16), (9, 33), (9, 34), (9, 37), (9, 47), (9, 49), (9, 51), (9, 52), (9, 54), (9, 56), (9, 57), (9, 61), (9, 62), (9, 64), (9, 66), (9, 78), (9, 83), (9, 86), (9, 89), (9, 92), (9, 95), (9, 96), (9, 101), (9, 105), (9, 111), (9, 113), (9, 115), (9, 117), (9, 119), (9, 121), (9, 123), (9, 125), (9, 127), (9, 129), (9, 131), (9, 135), (9, 136), (9, 138), (9, 143), (9, 150), (9, 157), (9, 160), (9, 163), (9, 164), (9, 167), (9, 171), (9, 173)]"
