,name,subway_name,walking_time
0,Gyeongbokgung Palace,Gyeongbokgung,7
1,Bukhansan National Park,Suyu,56
2,Myeongdong Shopping Street,Myeong-dong,5
3,Changdeokgung Palace,Anguk,9
4,The War Memorial of Korea,Samgakji,4
5,National Museum of Korea,Ichon,9
6,Insadong,Anguk,4
7,Trickeye Museum Seoul,Hongik University,6
8,Lotte World Tower & Mall,Jamsil,3
9,KTX (Korea Train Express),Seoul,2
10,Seoul Metro,Hoehyeon,6
11,Hangang Park,Eonju,6
12,N Seoul Tower,Myeong-dong,14
13,Namsan Park,Myeong-dong,13
14,Myeongdong NANTA Theater,Euljiro 1-ga,4
15,Cheonggyecheon Stream,Jonggak,4
16,Jogyesa Temple,Jonggak,6
17,Bongeunsa Temple,Bongeunsa,4
18,Haneul Park,World Cup Stadium,16
19,Bukchon Hanok Village,Anguk,9
20,Hongik University Street,Hongik University,2
21,Ewha Womans University,Sinchon (Gyeongui Line),4
22,Dongdaemun Design Plaza (DDP),Dongdaemun History & Culture Park,3
23,Starfield Library,Samseong Jungang,4
24,Kwangjang Market,Jongno 5-ga,2
25,Love Museum,Hongik University,5
26,Seoul Forest,Seoul Forest,4
27,Yeouido Hangang Park,Yeouinaru,2
28,Leeum Samsung Museum of Art,Hangangjin,4
29,Seoul Sky,Jamsil,3
