,name,suggest_time
0,Ansan Jarak-gil,
1,Seoul City Wall Museum,
2,Myeongdong Underground Shopping Center,
3,Ice Gallery,
4,Kukkiwon World Taekwondo Headquarters,
5,Culture Station Seoul 284,1-2 hours
6,KBS On,
7,An Jung-geun Memorial Hall,
8,Sebitseom,1-2 hours
9,Gyeongui line forest,
10,Amore Pacific Museum of Art,
11,Baek In-je's House,
12,Jeoldusan Martyrs' Shrine,
13,Yangjae Citizens' Park,
14,L?™atelier,1-2 hours
15,Dongdaemun Seonggwak Park,
16,Seocho Tourist Information Center,< 1 hour
17,Paradise Casino Walkerhill,
18,Mario outlet,
19,Daelim Museum,
20,Naksan Public Art,
21,Seoul Folk Flea Market,
22,Seodaemun Museum of Natural History,
23,Dosan Neighborhood Park,
24,Tapgol Park,
25,Lotte FitIn,
26,Seven Luck Casino Gangnam Coex,
27,Gyeonghuigung Palace,
28,Figure Museum,
29,Children?™s Museum of National Museum of Korea,
