,title,text
0,5.0,"Although, due to Corona Virus, the temple grounds were almost empty, I came here for some inner peace and inspirations. This is one of my top three favorite temples in Seoul and I come here a lot - during all the seasons. This time, it was quiet and almost ghostly - like most of the area on the day I went. But I found it beautiful and meaningful and I did enjoy my stroll around. The temple grounds are just opposite of Coex and offer a perfect comparison of the old, and traditional to the new surrounding buildings. Not a place to miss when visiting Seoul."
1,5.0,Beautiful temple that has a lot to explore. Little bit of uphill walking involved but it was great to see.
2,5.0,A very calming and serene temple to visit. The temple was lit up with hundreds of white lantern that made it even more calming. The lotus flowers added to the aesthetic. We went a little late in the day but it looked like they had a nice hiking area which I am sure would be great to check out. I recommend going in the afternoon.
3,4.0,"Although hardly a must see, this temple is a true oasis of tranquility and peace amidst busy streets of Gangnam. If you happen to be nearby don’t miss your chance to spend some time here."
4,5.0,"The grounds were peaceful and beautiful. There was monks chanting during our exploring. There was also some construction going on. The tea was delicious.  There are a few templestay programs that are offered. You can visit most areas as long as you are quiet and respectful. It was well worth the visit. Even though many of it was newer and lots of concrete I find it didnt distract from the overall beauty. It was in the heart of a,war 60 years ago. Not being completely origonal is accetable to me. Since for many it is still a place of worship new construction also makes sense."
5,4.0,The cherry blossoms were in full bloom when we went so it was picturesque. The colorful lanterns were both beautiful and touching because they all signified heartfelt prayers. It's right across Starfield Coex Mall.
6,5.0,"I always visit Bongeunsa as it is near my house, and I like the peaceful vibe I get when visiting. Even though it is in the middle of the city, I feel like you can get away from the city just going to Bongeunsa. It looks pretty these days with the blossoms too. But go quick, before it’s too late. I went two weeks ago, and though there were not too many blossoms yet, it was beautiful. They have also opened up a cafe, which I enjoyed having traditional omija tea (my favorite) and a Korean cookie."
7,5.0,Not a huge temple but a gorgeous one in the middle of city life! Wonderful old sculptures- my favorite Buddha loves here!
8,4.0,We visited this Buddhist temple while in Seoul. It took us about one hour to stroll through the various pavilions of the temple and to see the majestic Buddha statue. Interesting for those interesting in getting a glimpse of Korean Buddhism and those wishing to meditate.
9,4.0,A very nice and old temple in the heart of Seoul. The entrance is free but you will be charged if you park there. The contrast between these very old temples and the new city is impressive.You will need about 30m to 1h to visit the place
10,4.0,Amongst the hustle and bustle of gangnam sits this little piece of tranquility with fruitful quince and persimmon trees. A worthwhile visit. They also opened a tea house with views of the main garden.
11,5.0,"This is the bigest temple of seoul but is wonderfull. i loved visit tempels, every temple is special in it's own way but this was my favorite in Seoul"
12,4.0,"Usually temples are located outside of the city because they should be moved from the capital a long time ago. However, this temple is in the middle of Gangnam. You can be reached by a subway! and you can go to Coex mall after a temple visit."
13,4.0,"The temple is a nice getaway from the hustle and bustle of the Seoul metropolis although it’s situated just opposite the COEX mall. It is easily accessible via metro (Bongeunsa station on line 9), just a 3-minute walk from the station. The temple complex is beautiful and has a lot of history to it. The best views are at the top after all the stairs (be ready for some climbing!) Entrance is free so do check it out if you are in the region (Starfield Library in the COEX mall is worth a visit too after visiting the temple)."
14,5.0,"We were lucky we got a local lady who offered to tell us the background and history of this place . The temples were magnificent in their construction and attention to detail, we were lucky to also here ceremonies being carried out. The restoration project is in the pipeline for this place and least to say it will be impressive. The greatest vista was high up but more so the contrast of the temple roof to the highest rise scrapers behind"
15,4.0,Nice temple with some pretty buildings.  Easy to get to and walk around.  Takes about 40 minutes to see everything.  Worth a visit if you are in the area.
16,4.0,A great place to visit.  Amazing how such a quiet and peaceful place has remained in the middle of a busy city.  Won’t take long to walk around but really worth a visit.
17,4.0,Great for photos of the Buddha and the view. Easy to get to from subway. Lots of stairs but worth it. It's FREE so i recommend going there during the week.
18,5.0,While looking round Seoul we happened upon the Temple which is near the Rodeo Drive of Seoul. It was very nice. Fun and scenic to walk around. It was cold because of winter but very worth the visit. There is a mall just across the street also.
19,5.0,"Despite ongoing construction and being in city centre, I really enjoyed time spent in the temple. It is really peaceful and special. Has several buildings, as well as big buddha outside. Highly recommend to visit"
20,5.0,This Temple has a magnificently calm atmosphere even though it is located in the center of modern Samsung-Dong district. Nice traditional buildings and beautiful Buddhist sculptures. I was so relaxed here and got a charge of positive energy. Highly recommend it!
21,4.0,In the middle of town the temples are a must see if going through Seoul and without time to get out. Entry is free and you can freely wonder around taking photos.
22,5.0,"It's a large temple next to the coex mall. Lots of locals were visiting to offer prayers in the evening, the time we visited.  Please do respect them. There is a small souvenir shop at the premises with a decent collecting. The shop staff told it's open 365 days."
23,5.0,"Korea temples are known for their architecture and tinge of the ancient feel. This temple is no exception. Situated at Bongeunsa Temple Station (Seoul Subway Line 9), Exit 1 - it is very accessible. There's a little shop near the entrance, vegetarians can purchase some vegetarian beverages and dried foodstuff too."
24,5.0,Located right across the Coex Mall in Gangnam. Lovely place decorated with colorful lanterns.  It was a beautiful sunny day as we walked around the temple grounds.
25,5.0,"This is a very quiet, beautiful and relaxing place to visit.  I highly enjoyed walking there with friends"
26,5.0,"We went into the temple when it was already dark out,it must have been 19.00 or close to it so that's the time I'm recommending you show up as it felt like just the right time to be there. There was the sound of prayers echoing throughout the grounds and we sat by the enormous statue at the very back of the temple. The light along the walls reflected on the marble floor and made it look like water and the drifting sounds of the chants made for one of the best experiences I had in Seoul. I just wish people (tourists) were more respectful! It clearly said no photos all throughout the temple however some people had their cameras right in front of people that were praying,"
27,5.0,"This was one of my favorite places to visit.  The palaces in Seoul are interesting but the temple was more so because it is a working temple.  The grounds were alive with monks and worshippers.  You can hear monks chanting and see people prostrating to the large Buddha towards the back of the grounds and in the main worship area.  I was there a few days before the national college entrance exams and there were many visitors to the temple.  There was an energy to the place, but it was also very peaceful."
