,title,text
0,5.0,"This is the most special of all the palaces and probably the one to visit in case you plan on doing one only. The palace is spacious with large open places. Tourists are not allowed inside much of the covered areas and most of the time you are out in the open. So it can be harsh during summers. But still if you are touring seoul this is one of the must do activities. Just be prepared for the walk and the sun.The secret garden tour is amazing and can only be taken as a guided tour of roughly 70 min duration in summers and 90 during other times. Most of cultural heritage sites including this palace in seoul are free to enter from Aug 10 -25, due to National Liberation Day celebrations...however secret garden tour is paid and needs to be booked atleast a day prior. There is a souvenir and refreshment shop inside for the tourists. From the inside one can also tour the Changgyeonggung palace since the two are connected. The entire tour including the palaces and secret garden can take from 2-3 hours."
1,5.0,Just visit if you do have at least 3 hs to go to every place in this complex of buildings and gardens. You can visit all of it for wons 9.000. Even a secret garden excursion. This place and gardens are breathtaking. Although the buildings lack more historical information in booklets or audio guided visits it is stills worth it.
2,4.0,Is good place to have an look of their historical past which i wonder why the area is quite small in compare with palaces in other countries.Good photo taking with modern building surrounding the palace
3,5.0,if you can rent a traditional outfit from the stores near by and wonder around like a local. It will help you appreciate the atmospher being recreated.
4,5.0,It is a temple where you mind find some Korean culture inspirations if you have time worth having a look
5,4.0,"The architecture is mesmerizing. Even can relate to China and Japan's architectures, still it has its own identity"
6,5.0,this was one of the best places that I ever saw. you can also rent a Korean custom and tour the palace along with the old heritage.
7,5.0,"A place that you must visit in Seoul.If you like history, this site will satisfy you.There are so many buildings & courtyards to view that you will be lost in your own world.The highlight of this historical site however is the Secret Garden appended to the Palace grounds. In fact the area taken up by the Secret Garden is larger that the actual Palace grounds.There is Nature, History and beauty to behold. The tour takes you on a wonderful walk through the grounds. In autumn, with the red, yellow and orange leaves, it is a unforgettable sight.Plan for a visit in either Spring or Autumn."
8,5.0,The place is in downtown and we could see the time when they were exchange the guards. The ceremony is very interesting. The place is very nice.
9,5.0,Loved the secret garden! Calm and quiet place. The tour guide was thoughtful and professional. The history behind the garden was interesting.
10,3.0,"Nice architecture, but too traditional bulding, nothing very interesting. Quite big area, and important to Koreans"
11,5.0,"We spent a very enjoyable morning at the palace and the hidden gardent on two guided tours. The gardens were especially nice and the guide who led the tour was exceptionally good. Be prepared to walk (about 2-3 mi) on hilly terrain if you tour the garden.  The only downside of the tour was the relentless rain, which was quite heavy at times. If you visit the site at the beginning of the rainy season, bring rain gear."
12,3.0,"Spent upwards of an hour here with local guide. Should have cut it to 30 mins and made additional stops. Interesting, but not compelling stop."
13,3.0,"Went on a guided tour here and I felt it helps to better understand and enjoy the sights in Changdeokgung. It was less crowded than Gyeongbokgung when I was there. Nice to put on hanbok and take colourful photos! (By the way, admission was free since we wore hanbok!)"
14,5.0,"Beautiful, very interesting and so well preserved!I spent several hours here, despite the severe June heat and humidity and was absolutely fascinated by the history of the palace - highly recomended"
15,5.0,This place is renovated it was built long time ago but had some kind of destruction after couple of wars and they rebuilt it againYou need to have someone with you to explain what is in there otherwise you wouldn't understand what is the area all about
16,5.0,Korean palaces are quite different and very simple in decorations. The architecture and the design is very scientific.
17,5.0,"Seoul is famous for its 4 palaces. This is one of those palaces. This palace had been used as a main palace since the Third King in Chosun Dynasty, Tae-Jong departed the main palace, KyungBokgung because he hated to remember killing his own brothers during political changes and to stay there."
18,5.0,"When you're in seoul you have to visit Changdeokgung, a wonderful palace area with parks and a lot of interesting buildings. You will also see several Korean people in traditional dresses, which is very interesting and beautiful."
19,4.0,"Had a great time exploring the palace and temples surrounding it. Combo ticket allowed entry to everything, and was good for 3 months for about $10. It was a really nice way to spend my first full day in Korea."
20,5.0,"Although smaller than Gyeongbokgung it seemed more authentic (large portions of Gyeongbokgung were destroyed and they are in the process of renovating).  Felt that here you could really see how they lived. Glad I went to both, but if I could only go back to one, it would be this one."
21,4.0,"Not so good for a very cold day as almost everthing is outside. If you have been to the forbidden city in China, this will be a dissappointment."
22,5.0,"Part of the combination ticket, this palace is also nice to visit and imagine life at its richness during the Joseon period."
23,5.0,"This is the smaller of the two principal palaces in Seoul, and unlike its larger twin, this one was restored after being attacked and damaged by the Japanese centuries ago.  The temples and courtyards are divided into three distinct areas, all of which had to be traversed before an audience with the King could be granted.  The Queen's chambers were separate from the King's, but when trying for children, there was a separate area without any furnishings, for fear of an assassination attempt!"
24,4.0,"One of the '5 Grand Palaces', this should be part of your program to witness the changing of the guard ceremony, and the gardens behind the walls."
25,4.0,Had a nice day in the palace and it´s well worth it going to the secret garden. Book ahead though as only a limited number of people can go on a tour. Wasn´t difficult to reserve online one day before but check again to be sure.
26,4.0,"We spent a morning here in March. The Palace is lovely, with lots to see and discuss. The building(s) is so vast, expect lots of walking. There were a lot of tourists there so expect to stay a while to get good pictures."
27,3.0,It is a very large area. Apart from the buildings there is not that much to see. The grounds are very serene and well kept.
28,5.0,Place is big and interesting. You can rent costumes if you want to take pictures using Korean Historic Clothes (10-20 US Dollars)
29,4.0,"This was the only palace I had time to tour while in Seoul, but I was grateful for the opportunity.  There is so much symbolism to the architecture and furnishings that I would have been oblivious to without a guide.  Also, learning how the multiple palaces in Seoul relate to each other was a fascinating lesson.  This was an impressive visit!"
30,4.0,"First this is a UNESCO Heritage site. So one good reason to go. It seats near Angku Station so getting there is not an issue. Take Line 3 to Angku, exit 3 and walk for 500 meters. This is a huge site so do plan time to visit. This sites have two areas and separate entry fee. 3000 won gets you to the palace. Which I feel is good enough. It took me a good 1.5 hours. Overall good to spend some time on."
31,4.0,This turned out to be a nice green spot near City Hall. It cost about $1 to visit and it took us about 30 minutes to walk around the park.
32,4.0,Very informative and interesting to walk through. Get some idea of history of the country. Architecture is stunning.Takes about 1 to 1 1/2 hours .
33,5.0,Enjoy the serenity in the city; the secret garden is a must visit. Visit the website to check out current events. Palace visit does not always have to be educational.
34,4.0,The palace provides an opportunity to reflect on some of the older history of Korea. It has been well restored and it is a pleasant place to visit on a nice day.
35,5.0,"Make sure to get a tour of the gardens. The palace is lovely and the architecture is impressive, but nothing you won't see at the other palaces. The garden is really the main point of coming here."
36,3.0,"Must go before 10:00am for morning session for during that time, its change of guides and that's when the shows in on.See how their Kings Life styles.Tour Guide will tell you the history"
37,5.0,So great to see Korea's cultural past on display. It is great to walk the grounds and imagine what it would have been like during those times.
38,5.0,"We visited the Changdeokgung Palace as a part of the day trip in Seoul. It is a compex of beautifusl, historical palaces that unfold a rich Korean history. No wonder it is a UNESCO preserved heritag sight. This is a must-see while visiting Seoul."
39,5.0,so interesting and full of history.  Cannot believe you are standing at a Palace built so long ago with such ancient traditions.
