,title,text
0,2.0,It’s a nice Palace but having been to a few now in Korea it’s a little tiring. If this is your first Palace then this is a great start but you’ll soon see that all palaces in Korea have the exact same layout and every building has the exact same designs and colours.
1,5.0,"Visited Changdeokgung palace. Changdeokgung Palace is also known as Donggwol, the Eastern Palace, because of its location to the east of Gyeongbokgung Palace.Was amazed and thrilled of how the Joseon Dynasty was ruled. They preserve the architecture of the building pretty well. Took some awesome pictures of Injeongjeon & Daejajeon. Love the story behind how the king ruled his ministry and kingdom."
2,4.0,"This palace also has an extension which is called the secret garden. There is an additional fee of 5000 won to enter the secret garden, which has buildings set amidst trees and landscaping. The palace complex is vast and the guided tour took a lot of time. The guide was excellent in explaining the history and took pains to point out minute details of the palace."
3,5.0,"Changdeokgung is by far my favorite palace in Seoul due to the secret garden... if you are visiting it, I recommend you take the secret garden tour as well.. totally worth it!"
4,5.0,À Seoul must-goDo not forget to check the time of the changing of the Gate’s guards. Think about coming in advance!You can also try to wear a rented hanbok(traditional clothes). That is an unforgettable experience!
5,4.0,We had a good time visiting this place. We came on weekend and had many locals dressed with traditional clothes. Plenty to do for 2-3 hours.
6,4.0,"Visited this Palace first & picked up a free guide outside the Palace. These are students that are practicing their languages & are very helpful & friendly. They wear orange tops & can be found outside the entrance area. They give an excellent overview without going into too much depth.The Palace architecture is lovely, but the buildings contain very little themselves.Tickets can be purchased to access the secret garden too. This does require an official guide & your given your tour start time. The guide is very helpful & informative & does go into lots more detail. As you meander through the gardens, mainly trees, there are pavilions & water feature areas. The walk/tour does have steeper areas.Both are worth a visit it you want a feel for Royal living"
7,5.0,"Changdeokgung Palace has a timeless beauty that will make you visit again and again. It is no wonder why the ancient kings and royalties preferred here than the main palace. We are lucky to be in time for the 1030am guided tour into the palace's secret garden, a huge garden with Instagram worthy pavilion. The best pavilion is the one with the mini rice paddy field!"
8,4.0,I think many people do not realise that if you visit at either 10 am or 2pm you can see the changing of the guards. If you are visiting it makes sense to see this.The Palace is quite substantial and well maintained. Interesting to watch all the folks dressed in traditional style Korean outfits taking photos!A nice few hours and right next to the Buchan Hanok village.
9,3.0,"It was our first day in Seoul, and having our small rented apartment nearby and it was a free entry day, it was our first visit!If I say it  set the tone for similar visits over our 4 days in Seoul , I would not say we were greatly impressed!  The great halls  are quite impressive in themselves ( although most parts are later reconstructions resulting from hostile events in Japanese/Korean history! However , overall, the site seems to lack any coherence to help the visitor to understand the history of the place! There is very little access INTO any of these buildings and rather too many notices       "" Do not step!"" A big  minus point in this and seemingly most of the central Seoul historic sites is the use of SAND on most of the pathways in the complex! Seoul seems to be quite a windy city , even when summer temperatures top 35 degrees, everything is covered in a thin layer sand , including visitors! We did pay for a guided tour of the Secret Garden, really not a greatly rewarding experience ( even if you could understand the guide's English ) but you're not allowed to go around except on a tour?"
