,title,text
0,5.0,"It was free for the Christmas for all palaces . Changdeokgung has more intricate buildings than the larger palace in Seoul, despite the smaller sizes.Definitely worth a visit while in Seoul."
1,4.0,A huge place of Korea history in this place. Worth visiting. U can see lots of people wearing Hanbok costumes and taking photos here.
2,5.0,"We chose this palace to visit its biwon/secret garden. There was a discount if you bought combined entrance tickets and joined english speaking guide tour. After finished visiting a mesmerizing garden, we walked to gyeongbokgung palace to watch royal guard changing ceremony at 2p.m. for you to be able to do this, it is advisable for you to join changdeokgung palace tour at 9.30 a.m and subsequently secret garden tour at 11 a.m. the tour will be finished around 12.30 and you have ample time to return your rented hanbok."
3,4.0,"Visited the palace first before Gyeongbokgung.  Read reviews that this palace was designed to be in harmony with the environment and after arriving there, it can be observed as to how it is.  For a Palace, it is certainly not imposing as the Gyeongbokgung one and certainly no surprise why many princes chose to have their palace here.   Unfortunately, I did not follow any guided tour for the front part if the palace, thus may have missed much interesting snippets.  However the guided tour to the ""Secret Garden"" is a must.  Only entered with a guided tour, they are conducted at different times for different languages.  I say it's a must so when you visit, u can imagine how the palace designers have made much effort to be a environmentally harmonious building.  Do make a point to visit it."
4,5.0,The Huwon Secret Garden Tour is highly recommended for its gorgeous autumn foliage!!!  Only 100 tickets are available daily of which 50 are reserved for online booking. u need to create an account in order to book your tickets.The tour is highly restricted & u are not allowed to wander off by yourself. A guard will follow your group to ensure that everyone stays together.The guide is humourous and interesting. This tour is a must-do if u are in Seoul!!!
5,5.0,The palace was amazing and the architecture overall is really nice. Unfortunately we couldn’t go into the secret garden because the tickets were sold out. But the small lake and the rest of the park around the palace was really beautiful especially with the changing leaves of the trees.
6,4.0,Use the side entrance— no one is there and you don’t have to wait in the really long lines at the main entrance. For me and nieces it was 6k won. Game changer.
7,4.0,"We visited this place with two children.It is beautiful place and lots to see Highly recommend.Give enough time .Lots of walking .We took English speaking guide,Bit disappointed as she spoke very fast and did not allow group together to catch up.Go early as not to miss changing of guard and visit to Gardens. ."
8,4.0,"nice place for photoshoot with your hanbok.with hanbok, you go inside for free.i booked a secret garden tour and its nice but do this only if you have time. garden of morning calm is far better."
9,4.0,"This palace is huge. Slightly bigger in area then Gyeongbokgung but this is a UNESCO heritage site. A secret garden tour cost additional 5000W to the entrance fees of 3000W. The tour is conducted hourly and take you into the inner part of the palace compound with a guide who gives further insight and explanation. Here you will be able to see more pavilion, ponds and gardens. The tour takes 90 minutes and involved walking up and down the hilly path."
10,5.0,The palace has nothing special but is good for the Korean Traditional dress called Hanbok experience and photos. Just accors  the road ( opposite to this palace) there is a shop for Traditional dress rental. They charge around kRW 15000 for 2 hours rental for dress. They provide all facilities like rentals lockers within this price. Ladies hair dress is additional KRW 5000. Overall a good experience to go for this. Please also note that in case you are wearing the Traditional clothes the entry fee to palace is waived off. The place is easily accessible through public transport. The palace may be hot is summer and mostly uncovered in case of rain. So better carry an umbrella in summary or rainy season. No F&B option in palace. Better to carry your water bottles. They have washroom inside.
11,4.0,"Really enjoyed this trip, always like to tour round places like this, and this time it was a family tour, some of our members spoke Korean so we didn't need a tour guide"
