,title,text
0,5.0,"I love its peaceful grounds, one can appreciate the beauty of this palace. The greenhouse is interesting. Less touristy than Gyeongbokgung Palace. I'm sure this palace is perfect especially in Spring time."
1,4.0,"This palace stands next to the Changdeokgung palace and is smaller and less impressive. There is a wall separating the two palaces, with a gate. The palace gardens are vast."
2,5.0,We watched the changing of the guard ceremony which was fabulous! The uniforms and clours were amazing
3,5.0,Interesting place with a super change of guard ceremony tht happens at 10am and 2pm. must see and visit. rent hanbok outside and even get free entry into the palace
4,5.0,"The four palaces in Seoul each have unique  and intriguing histories. This palace is one of the smaller out of the four but is directly beside Changdeokgung, so one could easily spend a day visiting both. There are stairs and fair amount of walking."
5,5.0,I love all the traditional palaces in Seoul. They are so beautiful and you can see how it was like before during the joseon times.
6,5.0,It is part of these spectacular palaces showing cold traditional architecture that are worth visiting.
7,4.0,Certainly well worth the time to visit. Well developed site with good services. They even offer free tours. Particularly charming are the people who wander around in traditional clothes
8,5.0,"Visiting the palace grounds was like going back in time. I have watched several chinese movies about the Forbidden City in China and because of the design, you can see the Chinese influence on the artitecture."
9,5.0,The Palace tour was part of the Discover Seoul tours. Thumbs up.The arqutecture and colors you expect from Korean culture
10,4.0,"The palace here is one of the major sites of Seoul, and doable with the Seoul palace card - but it’s only worth that if you plan on visiting every single site included. We didn’t have enough time for that, so merely opted for this palace as the one closest to our hostel as well as the one with the most affordable entry prices. In the main courtyard shortly after we arrived, they began some kind of show reenacting court situations in the palace, but it was all in Korean with no translation. These shows continued throughout the outsides of most of the buildings; as with most palaces of this kind in East Asia, you can only explore the grounds, not the inside itself. The grounds are nice though; as well as the palace buildings themselves there is also a fairly extensive park, and everything is signposted in Korean, Mandarin, and English - with guidebooks available in other languages as well. There’s enough to explore to last a good few hours, and another palace links to it on the side; other than that there’s only one exit back outside though - which was annoying as we were hoping to cut through the block, but you need to buy another ticket to the adjacent palace for that."
11,5.0,"In the middle of the old city center,wylking distance from many hotels.Nicely restored buildings.English language tour at 15.30 at no extra charge most interesting."
12,4.0,A great place to visit. Buildings are impressive but mostly closed so you wander round the site looking at them from the outside sadly.
13,4.0,"Consider purchasing the royal palace pass that includes 4 palaces and the royal shrine for 10,000 (approx $8.80USD) and be sure to pick up the English brochure at the entrance.Originally the palace that was on this location did not have a garden.  Now there are gardens and a pond on the grounds as well as a grand greenhouse.  Less people seem to visit this palace, it is less crowded."
14,4.0,"Rented from HANBOKNAM (Korean Traditional Dress) The shop is messy due to the volume (tourists), but they do have a system and u must be comfortable gg through the process of picking, changing, hairdo, keeping bag in lockers and finally able set off. From the shop it is also easy to head over to the palace, bukchon village and Samcheongdong culture street (all within walking distance and do not need to take train).Purchasing from Klook with rebates is cheaper! *The palace is not as awesome as Beijing’s forbidden city."
15,5.0,A beautiful peaceful place in the center of the city. I recommend buying the integrated palace ticket as it offers great saving
16,5.0,"If you are a history or architecture buff, then this palace is one to visit. There are many similar around Korea, but the ones in Seoul are absolutely worth the visit. A maze os smaller replica buildings give you tons to look at and the gardens are also beautiful."
17,3.0,"Interesting campus of ancient Korean buildings, many of which were destroyed during the Japanese invasion (late 1500s).  We spent a couple of hours there.  Not as impressive as Gyeongbokgung, but worth a visit if you have time."
18,4.0,"Not to be confused with the neighbouring palace Changdeokgung, this palace is much smaller and quieter.  However the buildings are just as beautiful and you can get many more photos without hundreds of people getting in the way.Worth visiting both palaces at the same time as they are next door to each other."
19,5.0,This is a nice place to go and explore Korean History. Everything is worth taking pictures at. Lovely place to know how the olden heritage of Korean royalties have lived and stayed in this Palace. Worth your time to see and visit!
20,3.0,"Well, we spent three hours including Gyeongbokgung Palace and Changdeokgung Palace. They are alike. Architecture and structure are too similar."
21,5.0,"A must see backed with a long history of Korea this palace was huge and beautiful. it was amazing, mystical and beautiful. The 'Daeonsil' Victorian Greenhouse was amazing with beautiful atmosphere. it is a must see when you visit Korea!!! and dont forget the pond it was magical."
22,4.0,"This was a very good visit, we had a student guide us around the Palace and it was worth it.  It was free as well.  a Couple of hours you need."
23,5.0,This is a very good starting point in Seoul’s palace visits. Here you can see a unique Korean architecture and how a palace is distributed within the landscape.
24,3.0,"This is a small palace in a peaceful setting backed up to the larger one and worth  the stroll, it can be seen all with in 30 minutes."
25,3.0,"Austere, lacked spirit. It appeared to be modelled on a famous site in China.  Sadly, I left disappointed with my visit but to be fair, it was also snowing.."
26,3.0,"We walked here from where we stayed. As it was late, we only managed a quick look.Nearby is the Changdeokgung Palace.  After viewing the more popular Gyeongbokgung Palace, this palace is rather small and worth a visit only if you have time."
