,title,text
0,5.0,A worthwhile visit after the Gyengong palace.. If you are lucky you will find a cultural event while walking around
1,4.0,"The palace was originally built by the 4th ruler of the Joseon Dynasty, King Sejong for his retiring father, King Taejong. It served as residential quarters for queens and concubines. The main building is Myeongjeongmun, the office of the king and it is the oldest of the Joseon Dynasty palaces. There are many palace buildings - royal family rooms, halls & pavilions spread over the compound. What I enjoyed most is the leisure walk towards the greenhouse and its nearby ponds. Tranquil indeed.Besides the main entrance at the eastern side, there is another entrance next to the Changdeokgung Palace Huwon garden. Hence it is best to combine your visit with Changdeokgung Palace and Huwon garden."
2,4.0,A real interesting complex consisting of several 'palaces' build in the 15th century. Good for a stroll of 1.5 hrs and to escape the buzz of the city. Very nicely maintained and the surrounding wall gives a feeling of being out of Seoul
3,4.0,"I was not let down by this site. I generally came here for the serene gardens, walking paths, and old architecture. Along the way I learned about Korean royalty. A must see is the greenhouse here with VERY amazing bonsai."
4,4.0,Cheap entry ticket. Nice cherry blossoms and beautiful garden still in April. Especially the view from the hill was particularly nice!
5,4.0,I enjoyed this palace the gardens are beautiful and the grounds are not to big that you can’t do this in a few hours!!
6,5.0,very huge sprawling palacehas lots of walking spacesbig gardenshas a greenhouse too with rare flowers
7,5.0,"Make sure you see the changing of the guard in all its regalia.  A memorable experience.  Where comfortable shoes..,"
8,5.0,"This one is definitely in my top 3 place you must visit if you’re ever in Seoul. I love this place so much! Even during winter, when everything looks gray, it still looks beautiful! It has this serene feeling. I think I’ve found the place for me to spend time in whenever I’m stressing out."
9,5.0,"First, the price to get in....cheap and well worth it.The buildings are absolutely beautiful. Free English tour guides are available.Don't forget your camera!!"
10,4.0,"In autumn (late Oct./ early Nov.), the trees in the palace turn into yellow and red. The maple trees are particularly attractive and visitors are seen to be busy taking pictures. This year (2018), the maple leaves have turned red earlier than normal. Nevertheless I could still find some interesting ones for my photography. As described under Changdeokgung, it is accessible through a small entrance right at the front of the Secret Garden."
11,5.0,"Very cool place.  Its amazing how minimalistic Korean emperors lived, compared to the Chinese.  Great place to wonder around for a few hours.  Also some very cool demonstrations of changing of the guard!"
12,4.0,A great Palace to visit and very less people around. You can explore at your own leisure.A palace worth your visit.
13,5.0,"I went here in October and there was a holiday on at the time and lots of people, especially the girls were dressed in traditional costumes. Well worth visiting. Seoul is such a beautiful city"
14,4.0,"While this is the 4th most popular palace to visit in Seoul and not the most attractive, it is my favorite due to the attractive landscaped grounds and the peacefulness. Not many people visit here which is very nice. I have been here 4 times, twice during my August visit. It only costs 1,000 Won to enter. It also has a nice pond and greenhouse."
15,5.0,I came here because I was in love with one picture I saw and it delivered what I was expecting. It was sunset when I came so there were only a few people. Only 4 of us I guess. It was serene and beautiful. I'm taking about the one on the other entrance by the way... near the Hongwa gate the one with the pond. I'm just glad that I went there when it was closing because I was able to take in everything and somehow reflect on my Korean journey. ;)
16,4.0,the best way to really enjoy this place is the guided tour!!! you learn so much about the korean history and culture
17,5.0,"You can spend hours walking around the 4 sites, all in center of large city.Forbidden city impressive but this place better, as you can explore all areas.A must see."
18,5.0,This palace is amazing. You need to get around inside them to understand how they used to live. I recommend to wear light shoes so you walk around.
19,4.0,"The palace is right next to Changdeokgung hence it is very convenient. It has some cherry blossom trees as well, although not as beautiful as those in Changdeokgung. At the rear there is a large pond and a greenhouse which seems to be under construction forever (not sure if it will ever open)."
20,5.0,"The palace is not very big but very quite (less tourist), the english tour was really interresting, I was alone so I had a private tour. The grenhouse is really worth a visit."
21,5.0,"Wonderful place to learn a lot about Korean history.  Beautiful buildings and well worth the ticket price.   Take your camera, rain or shine there are lovely photos to be had and it is right in the center of Seoul."
22,5.0,Great place to spend and hour or so looking around. Very beautiful in every season even in the rain.
23,4.0,"The palace is beautiful, but the real must see is the scenic grounds of the palace. There is a green house full of different plants. There is also a small pond that you can walk around. This palace also has access to the Changdeokgung Palace for an additional fee if you didn’t buy the combination ticket."
24,5.0,"Like all the palaces in Seoul, there's nothing actually authentic about this site. It's a modern rebuild of the palace that once stood here, that was either destroyed by fire, typhoon or the Japanese. The stories vary. There's actually not much to see other than many, many buildings. You can't visit any of them inside, only peer through the doors of the ones that are open (and there aren't many) and there's the occasional chair or throne. The grounds are very tranquil and pretty and the architecture is very interesting. You can take guided tours, offered in different languages at different times. Buy the Royal Palace Pass for W10,000 as it's a huge discount for the six sites it covers."
25,3.0,"This palace can be entered from the Changdeokgung palace. But possibly once you leave one palace, you can't re-enter. I suspected not and so did not try.It was designed mainly for elderly members of the royal family, being built in about the 15th century.Because of its purpose, the buildings are smaller than those in the other palaces. The grounds are very wooded and scenic.Sadly when I went the greenhouse, built in 1909, it was closed for refurbishment. However, there are viewing windows to allow people to admire the architecture.Viewing time is about an hour but it is very peaceful walking along the shady paths so you could easily spend longer."
26,5.0,"There are so many, and most of the places are very nice. This is true for the Changgyeonggung palace as well. You might take them one by one, not all of them at once."
27,4.0,"While it is easy to get 'templed out' in a city so rich in tradition and history, Changgyeonggung Palace was a pleasant surprise...set in beautiful grounds with a feature lake and very few visitors at the time... Mid-morning. Well preserved, it is possible to enter into one of the reception buildings, shoes off of course. It is definitely worth wandering the grounds and walking around the lake. This palace can be easily accessed in conjunction with Changdeokgung Palace."
28,3.0,Empty as usual without much to see or do while here. Nothing special sums this place up without being rude.
29,4.0,"As the 3rd palace to be built in Joseon Dynasty after Gyeongbokgung Palace and Changdeokgung Palace, it was originally meant to be the residence of 3 queens due to lack of kiving space at the nearby Changdeokgung. You will notice there are only a few small halls in this palace with non specific layouts. Buildings were positioned to the topography and not strictly aligned in a particular direction. Residential inner halls are bigger and more elaborate than the administration outer halls as the compound was originally intended for residential halls. A combine tour of both palaces is possible but separate ticket must be purchase. Do not miss the Secret Garden. You will need to pay a separate ticket for the Secret Garden of 5,000 Korean Won. Trust me it's so worth it. Korean, English, Chinese and Japanese guided tours are available. Changgyeonggun Palace is close every Monday. If you are taking the Subway, the nearest station in Anguk Station Line 3 and Exit 3."
30,5.0,"Maybe, Changgyeonggung is one of the most beautiful palaces in Seoul. It's smaller than other old palaces like Gyeongbokgung or Changdeokgung, but I could feel more peaceful mood here. I recommend to visit here on sunny days (when there's no smog!). Walk around and look around those sophisticated Hanoks, take a rest at Tongmyeongjeon (you can actually sit inside if you visit there at day), and go to  as far as two beautiful ponds. Also, you can buy night viewing tickets at the entrance if you have foreign passport. During night viewing, however, they close Tongmyeongjeon so you can't sit inside. ;("
31,3.0,just another palace located in seoul. for me the changdeokgung with huwon secret garden and gyeongbokgung with huge complex way more better than this palace. but still worth a quick visit
32,5.0,"Great place to visit and learn more about Joseon dynasty. The entrance is really cheap and they offer free guided tours at specific hours, which I highly recommend. Take your time and, when you finish the tour, keep wandering around and enjoy this time-travel!"
