,title,text
0,4.0,"But pretty small. With the audio guide no need to spend more then an hour. Part of the palace pass, which contains five palaces. Come early to see the changing of the guards, but dont enticipate something ""european"""
1,2.0,"We ventured here for the free rental of Hanbok, and the changing of guards performance:Changing of Guards ceremony 11:00(1st Time) / 14:00(2nd Time) / 15:30(3rd Time)Closed on Mondays.We queued for the Hanbok at 1300, as the sign stated that the counter will be opened at 1330.The counter eventually opened at 1345, with crowds over-powering the queue.  We voiced out to the crowd and the attending lady in charge.  Yet, the lady in charge replied that she only attends to the people who approached her first, regardless of the queue.  Hence, we voiced out to the crowd that there was queue and be sensible to those who have waited for 45mins.  We were lucky as the crowd were English speakers and they take heed to our comments.Beware of the lady attending to you, she was rude and abrupt.Well....  we were here for the Hanboks, just swallow what her comments were."
2,3.0,"Dropped by here because it was on our way, and walked the grounds. A few beautiful nature corners and buildings are picture-worthy, as usual. Otherwise, not much to see here, but if it's on your way it's worth stopping by."
3,3.0,A combination of Korean & Western-Styled Palace which makes me opened up my eyes 👀 Wonderful place to relax
4,4.0,"This was our first ‘self’ tour of the Deoksugung Palace. Interestingly the entrance fee was waived for the next few days, we got lucky. We also witnessed a demonstration right outside the palace. Lots of Korean and US flags. The palace ground is quite bare and brownish, I guess in winter it doesn’t look it’s best. What was interesting to do was play a few ancient sports that are on display and we made full use of trying some of the ancient games. The palace has an interesting mix of traditional Korean and Colonial style architecture.The law with the fountain area looks really nice and the Museum of Art is quite an interesting (albeit boring for kids) exhibition. It was a nice day to be out and about as the sun was shining bright on a cold crisp winter day. Worth a visit, check the box!"
5,4.0,We went Deoksugung Palace to see the changing guard ceremony at 11am ( only 15min ). First we went to the hanbok counter to get the free hanbok. We can choose the hanbok and we can wear it for photo around the gate for 10min. We took many pictures with the free hanbok.
6,5.0,"Standing in the middle of one of the busiest city junctions, a visit to this place can be clubbed with that of City Hall. This Palace is considered one among the five grand Palaces of Joseon Dynasty. Located near the City Hall Metro station, this Palace complex houses a very well maintained garden, the National Art Museum influenced by the Western Architecture along with other traditional structures.The changing of guard ceremony is also held in this palace which is another major attraction for visitors."
7,3.0,"Arrived at this palace 15 minutes before the changing guard ceremony. What i can suggest, please pick a spot facing the gate as usually this side can get a first chance to take a pic with the guards and no crowd yet ;-)  One more thing, if you go inside the palace, for senior citizen (>65y.o) is free."
8,5.0,"We went to see the changing of guards at 11 am. Very interesting ceremony, a loud English voice explains what is happening and afterwards pictures can be taken with the guards. Kids loved it too (6&4 yo); good to go 10-15 min before start to get a spot at the ropes.The palace and its garden are great to walk through. We visited on the last Wednesday of the month and it was free including the museum entered from the garden (some really interesting pieces). All in all a very entertaining morning."
9,4.0,"The Palace ground is huge where the palaces of each dynasty are spread over the whole area with the rock walls.interesting history of the palace and also the nice change-of-guards ceremony at the main gate.Good place to visit if one goes for a walking tour with City Hall, Arts Museum, Presidential Palace, the Stream and Insadong... for a day.the Palace entry tickets are definitely cheap and worth the 1-2hrs walkabout."
