,title,text
0,3.0,DDP LED Rose Garden is closed when we get there. :( So frustrated not to find it while thinking that it should be where it should be. Didn't get any review or advise online that it will be closed so sharing this post which hopefully would help those who plan to go to DDP to see
1,3.0,Will not visit again.  Interesting building design from the outside but boring on the inside. Noting much to do inside. 
2,5.0,"Excellent gallery, beautiful building, world-class art. We went during winter and it was great to have some time away from the cold."
3,4.0,"Located in the heart of Seoul, this Plaza certainly stands out for its futuristic design! There's a small museum nearby that goes into great detail about the flood control measures that have been implemented. Some ruins have been preserved as well. "
4,5.0,"Also caled DDP. This space ship is a major urban and most iconic landmark in Seoul. Build by Zaha Hadid Architects this neo-futuristic eccentric compkex is a multipurpose cultural center with galleries, event spaces, design shops and lawns that rise up to its roof. Here is the"
5,3.0,"This building symbolises modem South Korea with its futuristic design. The building  is lighted up in the night. Inside is a  kind of shopping mall with shops, restaurants and halls for exhibitions and cultural programs."
6,5.0,"This area is one of the best place to shop but this time, we went here to enjoy the cold weather and take lots of pictures here! Truly a wonderful place for photography"
7,4.0,Went here with my fiance and its amazing. The structure of the building is impressive. The way they left a piece of history in the middle is great and I love the 2 statues as well. If you get hungry there are a few different places to eat. Definitely going to go back next year.
8,4.0,Very nice to go even on a rainyday. Seoul showing off their modern arquitecture you can take nice pictures and visit Kako friends shop without the crowd.
9,5.0,"This is such a great area to visit! Great architecture and lots to do here! Shopping, outdoor markets, food, buildings! Their buildings are absolutely amazing!"
10,5.0,"We admire ZH jewels, this is one with rounded forms. Could spend hours there.Actual exhibition Paul Smith fashion designer."
11,3.0,"The building itself is wonderful but full of wasted space. You walk around expecting something great but it never comes. The shops around the area are a waste of time, selling knock-offs and cheap local style ""aji-ma"" style clothing."
12,5.0,Amazing architecture - the work of Zaha Hadid. Interestingly arranged interiors - from the design galery to the shopping center. Worth a visit.
13,5.0,"Here you can easily spend lot of time, impressive place also from outside and inside. Loved ""furniture exhibition"" where you see and can try design chairs all over from the world."
14,4.0,"Dongdaemun Design Plaza’s curvy and wave structure catches my eye in a neighbourhood of straight, boxy office buildings. Without the signages you would not know where is the entrance to the building.We walked around the DPP on a late afternoon to appreciate its exterior. Each different angle gives you a fresh perspective of the building. We didn’t visit any of the indoor exhibitions. There are shops, cafe and restaurants in the basement, and street artists who could do a quick portrait for you.The DDP is directly connected to a subway station. I’ll recommend a visit in the early evening."
15,4.0,One can't miss this delightful building when in the area -- but the delightful exterior far exceeds the utilitarian interior.
16,4.0,Dongdaemun  Design Plaza’s architecture is amazing..great sight with several shopping centers nearby.
17,5.0,The building designed by the wellknown late Zaha Hadid looks like a scifi spaceship landed in the middle of the city aurrounded by shopping malls. It looks amazing and walking in it feels like inside something surreal. Every corner is curved giving the feeling of endless boundary without borders. Really very interesting design concept and realization.
18,2.0,"We aren't only to find out there were no exhibits. Literally zero things to look at inside. It's a nice enough building, but we were expecting to see actual design work inside, only to discover they were between exhibits, have no permanent collections, and most people went for the market out front and the children's playland on the top floor. It was very disappointing. Would highly recommend finding out if there's actually something to look at before you go, else just stop by if it's on your way to someplace else. Not worth it to go to Dongdaemun just to look at an empty building."
19,4.0,We went in the evening. There was a food and art fair when we were there. A live musical performance as well. Food trucks were available and the local youth were spending their evening enjoying the good food and music.
20,4.0,"Besides the great amazing architecture, the thousands of LED rose flowers art exhibition also one of the most romance attraction at Design Plaza, it will close on 30-04-19, don't miss it at night time together with you lover, so romantic for photo taking."
21,5.0,This is the worlds  largest 3D atypical structure. The architecture is amazing. It has beautiful graceful curves. The whole structure is column free. At night time it is lit up and is really pretty.
22,5.0,"If you’re into modern infrastructure, engineering, construction, or art muesuem, you must visit Dongdaemun Design Plaza. This place is perfect for couples or families of all ages. This destination is a futuristic multi-use facility that serves as a museum, shopping center, café, holds public community events, and is connected to the train system. It’s best to visit at night so you could view the beautiful artificial flowers that light-up. The vibe here is very relaxing as people could be found everywhere socializing and being present in the moment."
23,5.0,Wonderful park to spend an afternoon.  Lots of things to see and close to the famous fashion center.  Connected by metro and located near many restaurants.
24,5.0,Use Exit 10 to check out the front of DDP illuminated at night.Then walk a long its corridors and admire the changing lights of the structure.
25,5.0,"Very nice place, took a picture of it and check in to Facebook! Alot of people as well so it's nice.Other than that, nothing much"
26,5.0,"The architectural design is very unique by following the contour of the surroundings. The thousand led flower lighting was mesmerising in the evening and is great for photography!In addition to near metro station, there are nice shops and restaurants there as well."
27,5.0,"I find the night view of this beautiful and serene amongst the hustle and bustle of the city. It's a modern walk thru the garden where you will find lit roses and standalone pianos to be played by any passers by (which can be heard from most parts of the spot). In the day you can do more with the design labs, art halls and others alike."
28,3.0,Mnet Music Awards 2018 was done here! There are free entrance in some areas for exhibits and garden. It is located near shopping malls and very convenient to go to because of nearby train station.
29,4.0,"I visited DDP at night. Beautiful building and lights. If you're here, be sure not to miss the LED rose garden."
30,5.0,"So glad I got to see this building. Also Love the shop inside. If you are an architect, this is a must place to visit in Seoul."
31,4.0,To be able to conceive such a beautiful building and making it a reality is awesome. Must visit the LED Rose garden at Noght
32,5.0,"you must try this branch of Aori japanese ramen.  the soup broth is so thick and yummy.  the sliced pork doesn’t smell and it was so soft, it melted in my mouth. the noodle was not soft or over cooked and it still had a good bite to it.  i ate here in 2 consecutive days. you have to ask for their english menu"
33,5.0,"It's a must see, appreciate the design of the building and come at night so you can see the different lighting fixtures. Also don't forget to see the LED rose garden."
34,5.0,"Unfortunately we missed this as it doesnt open until 10.00 which is when we had to leave we were only in Soeul for 23 hours so did the night market and missed this as our hotel hadnt mentioned it. was so near The building is stunning shame we didnt get the full experience, check the opening timings if your going as it changes weedays/weekends"
35,5.0,"We visited just after sunset, around dusk. The lights came on shortly after we arrived. Fantastic building, it's great to be able to wander around & view it from all angles. Really beautiful, so glad we visited."
36,5.0,"Visited this iconic architectural site on 26 October 2018 about 5 PM, it’s the perfect time to take pictures only a couple hours before sunset, we still have natural light, shadow was softer, the angles and length more vibrant. The view was breath-taking."
37,3.0,"Only visited during the day. Some people say here that it looks great at night. Im sure it would. They pulled down a huge baseball complex to build this amazing shell of a building on this site. Its great looking on the outside, but its the opposite of the Tardis. Big on the outside, virtually nothing on the inside. A couple of unattended sad sort of museums ( with boxes etc just lying around) , a small shopping centre and a train station entry. Must have cost a bomb. Nice curvy lines yes, practical/ useful - not at all. Underutilised. An opportunity lost ( a concert hall it should have been or just a modern stadium etc ) and I love modern architecture, but only if it is functional."
38,3.0,"We went to see this at the end of our trip; the design museum was closed (not sure why.) There’s a nice gift shop inside with handcrafted items by Korean artists which are reasonable and better quality (bought some earrings.). Ended up at a shopping area (Lotte) across the street which was standard fare (most of the clothing had no prices on them, a little odd.)"
39,3.0,"We visited the place at night to look at the Led garden, It was beautiful. It is quite easy to find the Led garden. It was quite impressive."
40,5.0,"This Zaha Hadid-designed building is absolutely stunning, both inside and out and is a must see if you are interested in architecture. Photos don’t do it justice as it is such a vast space from up close. Inside there is a large exhibition space featuring young designers which is great for browsing for gifts. Outside it is a short walk through the park to the shopping area of Dongdaemun."
41,5.0,Visited the DDP at night and it was so beautiful. The architectural beauty of Zaha Hadid's  design is accentuated at night with lights to wonderful effect. Didn't enter the building rather enjoyed the building and sculptures from outside. Definitely worth a look.
42,4.0,We were lucky that this beautiful piece of architecture was located almost next to our hotel. This place is really amazing. Walked around for one hour and took pictures from every direction. The forms are just amazing. It also stores a museum and some shops. Opposite the famous shopping buildings Lotte and APM wholesale.
43,3.0,"I think most people come here to see the unique architecture. But if you like art, go inside. Many shops there sell novelties and artsy things"
44,4.0,"This building is definitely one-of-a-kind in Seoul with its neo-futuristic design and massive perimeter (kind of looks like a UFO, IMO). Best visited at night when all of its lights are switched on. Tip: For foodies like myself, there is an awesome food court at Doota Mall (opposite DDP), Basement 1. Worth a visit!"
45,5.0,"a new place to hangout, and very stylish even at night. People are very relaxed and there's night markets every Friday and Saturday. Though not many foods for selection, you won't regret visiting."
46,3.0,"If I say this the same as mangga dua jakarta indonesia. Goods there tend to be expensive. If not join the tour then this place can be missed. But if you join a tour then try touring around the building, you will find Korean street food"
47,4.0,Very impressive architecture.  Saw the led roses lit up at night.  Beautiful.  There were stalls selling handmade accessories and essential oils.  There were also carts selling food and drinks at night.  Prices are quite high tho.
48,4.0,"There are so many amazing buildings in Seoul to see, mostly historical palaces, but there's something new and very impressive to see, Dongdaemun Design Plaza (DDP) it is rather futuristic. The DDP is divided into a Design Hall, Art Hall, and Museum Hall, the whole complex is free to the public to visit, we walked through one of the buildings, but got more joy out of walking around outside. The complex was built on the former sight of Dongdaemun Stadium, built by the Japanese in the 1920s during the Japanese occupation.  During the process of redevelopment of the sight, relics were found which are now displayed on a large surface under the canopy of the curved roofline.  There are many other interesting things to see, do and eat in the area, it's a great part of Seoul to explore."
49,5.0,"What a fantastic idea. So much creativity to see and on the day we went, there was an African food market. Typical Seoul to always be thought provoking and creative. Great coffee shop inside if you need to shelter from the heat (or cold) too."
50,4.0,"Besides the beautiful architecture of the DDP (we have not visited the galleries), the highlight is the LED rose garden which looked so beautiful at night! A must visit when in Seoul!"
51,2.0,"The design of the complex is great, but that is all about it. Many empty stores and spaces. Better to be seen than visited."
52,5.0,"No doubt DDP is one of the most interesting sites to see in Seoul. Designed by famed Iranian architect Zaha Hadid, DDP is a fascinating contradiction to the squarish city that is Seoul. To really appreciate the marvel, visitors need to spend at least half a day walking and discover all its nooks and crannies."
53,5.0,"As great it is to walk around, you should really go in and check their design stores with some tasty coffee"
54,5.0,"Wow. This place amazing and beautiful. It's also the venue conferences, fashion shows, trade shows,.... The museum hall is a harmonious blend of Korean design and globalization. I will be back here when I come back Korea."
55,5.0,"Easily accessible by Dongdaemun History and Culture Metro station. Big and beautiful building, rather unique and artistic design. A great place to walk and take a stroll at in the evening if you are coming to Dongdaemun, lots of shopping and eateries opposite it."
56,5.0,"This place is a must to see, The architectuur can you campare with the modern part of Valencia, or the Gugenheim building in Bilbao.In the building you will be surprises buy the rolling lines of the wall’s."
57,4.0,"It is a nice building, surrounded by malls and restaurants. Good for photo taking but the place itself has nothing much. Perhaps spend an hour or less there, take some photos and move to the shopping malls nearby or find a nice cafe to relax. There is a tour bus station (hop-on, hop-off) nearby, and a metro station right beside."
58,5.0,"At first glance, the DDP looks like a set from a sci-fi movie (more like a giant space ship).  The building has a very modern and futuristic design so it makes a very nice background for photos. Don't forget to go to the back for the LED roses which light up at night.  There are not too many shops inside the building, though. But there are a lot of stores surrounding the DDP where you can do your shopping.  Worth the visit."
59,5.0,"Only stopped here because the building looked so cool from outside (my husband and I were on a bus tour). Didn't go inside, but walking around the building is cool enough; cool vibe and great people, lots of food stands around and great architecture, would highly recommend."
60,4.0,"This area is bustling and so lively at night. It is more of a wholesale market where people from all around the globe sell their stuff. The place has a array of shopping malls from luxury brands to locals ones selling souveniers. This is the place to buy local souveniers which are cute and cheap. I have attached the Business card of two such sellers from whom we bought cute Koreans nail clippers, magnets, ceramic items, mirrors and so on. There is also a Zara outlet in one of the mall which sells clothes at very good prices. If you are lucky you can find amazing clothes from Massimo Dutti at never imaginable prices at the same Zara outlet. DDP is a must visit."
61,3.0,Impressive place in terms of design but lacks an information counter or signages in English. Good to walk around if you have no agenda.
62,5.0,"The Dongdaemun Design Plaza was amazing, i came here in the night and the lights make it more magical to see. Since the mall around here they open 24 hours so this area will be packed by tourist and local who shop."
