,title,text
0,4.0,"I went there two times, AM and PM. The night scenery is so beautiful. So many places to take photos. Outside the building, there are roses being displayed (actually for kdrama shooting, but somehow they left it there as it become famous with tourists). I would like to recommed coming here during the night."
1,4.0,Nice place to just sit by the steps and enjoy the cold. Great for taking pictures as well. Occasionally they have exhibitions here but unfortunately when we went it was already over.
2,5.0,Such a beautiful place to take picture. The building design are unique and beautiful. You can enter the underground and enjoy your shopping.
3,5.0,"I love this area! It’s such a treat for my eyes every time I see DDP.  Such a beautiful architectural design that has to be seen in person as photos don’t do it justice. Also the shopping here is very good, the business hours of the shopping centers is staggered so it offers shopping pretty much 24 hours. I prefer this area over Myeongdong, although it’s also crowded it’s more “open” with the shopping centers vs outdoor shopping streets."
4,4.0,"Seoul - a city of 24 hour fried chicken, beer and shoju with ladies shopping non stop till 5 am in 8-9 Stories malls of shops including basement shopping. Important note to Seoul :- Come with empty luggage as you don’t need clothes, masks or cosmetics ! You can shop till you are broke. Always bring cash in Won or $$. Tips for shopaholic: - Remember you can always go back to hotel to  shower and re-consider that dress and go back to the mall at 3 am to buy and then celebrate the great achievements of full luggage and extra luggage and then have a late supper of fried chicken with beer after.Most important- Download Naver map as Google map don’t work in Seoul !"
5,3.0,"Interesting building but inside there was a huge hall with many unusual chairs which I suppose were interesting but not particularly inspiring. The interior is worn and in need of renovation, all in all it seemed like a bit of a white elephant"
6,4.0,"This building has a very cool architecture style and for those who love photography, you can also have a photo hunting day here in DDP."
7,4.0,I like the design of the building - inside and outside. There is coffee area as well. Love the design!
8,5.0,"Good place to visit, chill and can be a nice place to explore. Recommend for people who interest in any event or designs. Flee market and food trucks available sometimes. Nice and creative architecture. Place to visit for designs and creative goods seeking. Temporary events rotate periodically. As time of my visit, there are many interesting events such as Hello Paul Smith and The Art of Disney The Magic of Animation. Flee market and food trucks in the evening as well. More spaces to walk around and chill out. Easy to access with many public transportations.Idea to visit if you have spare time."
9,5.0,Dongdaemon Design Plaza has a modern architecture. It's about 19 mins walk from train station. It's a must visit place.
10,4.0,"When we visited, it was really cold, but there were still so many people around. There weren't that many food stalls opened as we had hoped for, but there was a piano there that we enjoyed playing."
11,5.0,"Generally Seoul has not fine architecturel profile.. but this DDP is well aesthetic huge building.. I experienced and felt touching, watching, listening a functional sculpture..a little bit in some where of the DDP I lost or confused about the horizon.. I advice at least two hours to spent in there.."
12,4.0,"Spectacular 3D architecture design! Impressive concept! Worth a visit. Beautiful from inside & outside for photos. There was a change of new lease for the shops, so we didn’t get to see many shops on that day. Shops were being refurbished."
13,5.0,"Fashion district and the design of the buildings were very modern and state-of-the-art, indeed! There were also nearby malls and night market."
14,4.0,The design plaza is so unique with futuristic exterior. Inside it likes a maze. Without direction information it’s hard to find the right way. Somehow busy due to the fashion week.
15,4.0,I think this place is a worthwhile place to visit while in Seoul.  The building is nothing like I’ve seen before.  Easy access via subway
