,title,text
0,3.0,"It's a textile complex, all floors. One will go to for all textile material requirement.Definitely, NO SOUVENIRS to find here (no trinkets, key chains, nail clippers, ref magnet)."
1,3.0,"The area is strictly for shopping and you could bargain at the retail stores. The crowd was not as heavy since our last visit four years ago; due to on line shopping and less Chinese tourists. We visited couple of complexes, which on certain levels the numbers of shop employees outnumbered the shoppers."
2,3.0,"Most of the ladies clothes ranges 20000won to as high as 75000won in gd morn city, dongdaemun , apm place. Don’t expect to have big bargains thou. Discounts mostly 5-10k won. Some nicer seller might allow alittle more discount. Orelse a blouse is 40-48k won. Skirts 20k to 58k depending if it’s on sale.Gotten some cheap buys but some expensive ones that I gave it a miss. Sellers are quite firm with their last price. Quality is good for some but with that prices, we cAn easily shop in SG malls. So if ya looking for some pretty clothes yes it’s a nice place. Basically just be prepared that each clothes is estimated at sgd30-50.Hope this gives a latest update on the clothes price here^^"
3,4.0,"I could happily have spent all day in the mall which sells fabrics. There is a fantastic range of all types of material, as well as haberdashery, bedding, soft furnishings, even rugs. If you love to sew this is the place to go."
4,3.0,"Dongdaemun is a popular shopping and tourist destination where people go to because of the traditional markets and shopping centers. It has around 26 shopping malls over ten blocks, 30,000 specialty shops, and 50,000 manufacturers. The area is open for almost the whole day (10:30am -5:00am) and some stores are open 24hours but most shops close on Mondays and Holidays .  Another place to go to is the DDP complex which has a fantastic architecture composed of undulating surfaces that resemble the flow of liquid and allow the flexibility in space."
5,5.0,"located in the central. many shops, markets, malls, and whole sale market. very big area with all types of products specially clothes. there is also a night market. you need 1 full day to cover the area.must visit  place for shopaholic."
6,4.0,This place is for shopaholics who love bargain sales. We were able to buy a lot from this place and good quality products especially if it's made in Korea. We will visit this place when we go to Seoul again 😊😏👏
7,3.0,Another shopping mall with luxury brands that will cost you an arm and a leg.  If your wife wants another expensive bag or you want an expensive bag then come here.
8,4.0,"My wife headed straight for this shopping centre as advised be one of her friends.Lots of shops selling what most trendy young women want. A must for the ladies and The Coffee Bean & Tea Leaf on the second floor is a great place for the husbands to sit, relax, enjoy a drink and watch the birds go by."
9,4.0,"we can buy all types apparels for all ages, innerwear, socks, speacial dresses etc., in whoesale price."
10,5.0,"Dongdaemun shopping district is a bomb! (according to my wife) I had to drag her outta there in the end because if I didn't she was gonna buy the whole shopping center... she said their prices are unbelievably cheap compare to other shopping centers. If you like to be bumped into by strangers, then this is place for you.. You'll run into a lot of Chinese tourists here... they have so much moola they will buy the whole darn shopping centers. I do NOT like shopping, nor crowded places but I was being a nice husband this night and endure the pain of shopping with my wife... she thanked me afterwards and earned a nice round of golf for being a nice hubby~~ yes!"
11,3.0,"This differentiate from all the other underground shopping alleys we have been.If you can't find anything you fancy underground, there is a building with many floors and endless aisles where only fabrics are sold, not the finished products. The choices would fill the spectrum of rainbow and beyond!Opposite this block, there is another monstrous building with rows of clothes--kids, adults and Korean costumes, men and women fashion boutiques filled out every floor to the nth degree.Do bargain if you intend to buy in bulk. It is hard to contemplate these hard working Koreans sitting in their little enclosure, competing with everyone else selling similar products. This is where some will stand out with their special attractive collections in this maze, the problem is having time and orientation to discover them because they are  hidden in the labyrinth. My advice is buy it immediately if you like it, for it would be impossible to compare prices and you might not be able to find your way back!Do have a break and enjoy the little food stalls just outside"
12,4.0,"Yeah this place is nuts. Perfect for ladies who need to get their shopping fix in. First time we visited, we were walking around and I was listening to their public announcement, 'Open until 5am.'5am. Usually I'm on my way to work by then! Doota seems to be the more fashionable building while the rest seem more like the apparel you see at night markets. The prices are not as cheap as we thought at first and it seems to be catered towards the China tourists."
13,3.0,"We first visited the Pyoung Hwa Clothing Market but most of the stalls were closed.  From those still opening for business, we knew that it was just a local low end shopping mall.  We thus turned to another side where there were many department stores.  Again, no surprises."
14,3.0,"There are a number of departmental stores in this area, e.g. Lotte Fitin, Dooda, Migliore, Hello APM, Good Morning City, etc.  It will be quite impossible to cover all of them within a short period of time, unless you have a lot of time in hand.  We would normally choose 2 to 3 departmental stores and spent about 2 to 3 hours looking for good bargains.  We arrived in the late afternoon and visited Lotte Fitin and Hello APM specifically for ladies clothings. We managed to buy some cloths ranging from KRW10,000 to KRW30,000.  Don't be afraid to bargain as this is normal in some of the departmental stores."
15,1.0,"First of all, we had this misconception that Dongdaemun is another street market. The area is very confusing. After several rounds of asking different people, and being told different timing of the business opening hours, we finally realised that Dongdaemun area is mainly made up of a street that is lines with a few major shopping malls!!!We went to a few of the malls and were quite disappointed that they do not have much to offer. Doota is totally over rated! There are not much to see or buy. And the prices are not cheap at all. We even went to the whole sale complex just round the corner, mistaking it for Dongdaemun market. And they sell all winter scarves, hats and older women clothes!!. Anyway, I will not recommend this place at all. It's a waste of time."
16,4.0,"Tons of clothing goods for being delivered to China, Hong Kong, Taiwan and other places. This is the shopping paradise for Korean cheap clothing shoppers! Open from 10am to 6am next day... There is always people here. Not recommend for family trips, it's crowded and it is not easy walk inside."
17,3.0,"Like its mentioned by other reviewers, I have same opinion, its not cheap at all.Size is another issue everything is UK size6/8/10. People from other parts of the world are not as lucky as locals here. They need to keep the up sizes as well for tourists.It’s like the whole building corner has something or the other to sell.Its fun!"
18,4.0,Thousands of shops from simple market stalls to boutique fashion brands available.  The place almost never closes.  Put aside a lot of time and don't forget to haggle in the market style shops.
19,5.0,"One more very important place for tourists and residents as well, is surely the Dongdaemun Shopping Complex.It is located along the one, rather, long portion of the Jongno Street (due to its width, it might be called the Jongno Boulevard or Avenue).Here we loved to go forth and back along these commercial large buildings, purposed for trading with the completely different goods. There are here the traditional markets and very modern and popular shopping centers as well. And since it shortly became a popular shopping and tourist destination, it is properly indicated as Special Tourism Zone. The masses of people are going here in all directions, making the impression of some human hives,  gazing at the products and purchasing them. And those products range from silks and fabric ,over the clothes and shoes, leather goods, sporting goods, then plumbing and electronics, toys, luxury watches, and food areas, specialising in Korean cuisine. The choice is really abundant one.We, in the group, had been in this paradise for buyers, several times and every time enjoyed."
20,2.0,"I think Dongdaemun is overrated... The malls are floors and floors of rows and rows of nearly identical clothes. Now that I think about it, It's quite similar to Platinum mall in Bangkok. The clothes styles were not to my liking, the quality isn't great, and the prices aren't very cheap! You have to bargain..once you find something you like, the storekeeper will enter the price on a calculator and hand it to you.. you enter your 'preferred price' and hand the calculator back..you go to and fro a few times until you arrive at the lowest price they are willing to sell at. I think this is a waste of time, are there really people out there who 'enjoy' this bargaining process? @_@Although it's great that some malls are 24 hours, if you really shop until the wee hours, you have to taxi back to the hotel which will cost you a fortune.Overall I think it's more suitable for wholesale/ people who operate clothing stores overseas to purchase their inventory."
21,4.0,A great place not far from the city center for shopping clothes. A wide range of quality and stylesRecommended for a rainy day in Seoul.
