,title,text
0,5.0,"Wide range of beads, phone accessories and decorations for bags, phones can be found on 5th floor of building A & B. Prices are reasonable and you will be spoilt for choices. Allocate at least 3 to 4 hours here if you are into handicrafts. There's a food court at level 6 serving authentic Korean food at good price and great taste. Dun miss it if you are around that area."
1,3.0,"This is one place where there are several floors of shops selling fabrics and related accessories. Unless you have in mind cloth or buttons, zippers, etc, you may want to give this place a miss or just pop in for a feel and quickly move on."
2,4.0,One of the numerous shopping areas in Seoul.  It was fun to explore Korean shops as well as the expected type of clothing stores.  You could spend a long time exploring.
3,5.0,"this place is huge. if you love open markets go here. we did not spend time inside, we walked all around outside. there is some good food and great people watching."
4,4.0,"this is a big area consisted of buildings and shops.  i came here without doing much research beforehand so i didn't know where was the best place to shop for what i need.  however, i can tell this whole area will have everything you would need in the fashion business if you know where to look.  There are indoor areas with products in all price ranges, so shop smart.  bargain is possible but i didn't bother."
5,4.0,"I interested in night shopping there the place are full of tourist, the prices are not very cheap but you can find some bargains on clothes and accessories. Doota is luxury shopping center but there are multi stories shopping centers are cheaper. If you are shopaholic don't miss it al least once to experience the trendy Korean fashion."
6,3.0,"First time go to South Korea - Seoul, i search first about Dongdaemun market and i expected it will be street market but the reality is not street market and just open until 09:00 PM (South Korea - Seoul Time). Maybe Should go there from morning or around 10:00 AM (South Korea - Seoul Time)."
7,3.0,It a place filled shop selling materials for making clothes. It seems like it has all kinds of accessories too beside the cloth. You can find various types of bedding too
8,5.0,"For you all who like to shop, this is one of the best place to do shopping. You can shop till midnight. You can also find store to buy souvenir and other korean things as gifts to bring home. You can also find so many many restaurants and street food in this area with reasonable price. Most of the things in Dongdaemun Shopping Complex is clothes and accessories."
9,1.0,"Too much of a labyrinth and a crowded one at that. Came to buy luggage. Took a long time to find any.. hours actually. Instead found a house of buttons, a house of ahjumma clothes and a house with about 5 floors of fabric.. If you know the area or are visiting with a korean friend it might be a better experience but for us it was pure agony.. Only good part was finding a modern underground shopping area nearby by accident."
