,title,text
0,4.0,"Visited the campus for half a day, many good spots for taking photos! Just outside the campus were stretches of shopping streets mainly for cosmetics and stationaries."
1,4.0,"Beautiful University. Was here some years back, came again as this is one of the place I will revisit. Nice relax ambience, nice shopping street, much less crowd so u could enjoy your walk & shopping more leisurely... simple & good food. Tried spicy pork rice burger, so tasty!The campus is nice to take photo. After Ehwa, walk down the street keep walking straight, u will find Sinchon station, another university street."
2,5.0,"A must visit attraction during autumn. The campus is lined with beautifully landscaped gardens and trees (along with yellow, fiery red and orange leaves( that is a sight to behold. The campus is basically a hive of activity with the tourists and students walking around this large and spacious campus.It is not necessary to walk the entire campus. It's good enough to capture the beauty of the campus just being hanging around the southern entrance of the campus.If you have time, the museum is a good place for a walk given that the exhibits also have explanations in English. We got quite a few nice little souvenirs as well from the museum gift shop for our friends."
3,5.0,Ewha Womans University is a must visit location. The university is very nice and very big campus. This place is rich in history.
4,5.0,"The university has an amazing architecture and landscape. Since this is a university, you will see students going in and out of their classes. Good thing they didn't mind us taking pictures inside the university.  Probably they are already used to tourists and even locals having photoshoots. Overall, enjoyed our visit here."
5,4.0,Wonderful campus worth a lot of pictures. Caffeteria is quite decent. A lot of walking and steps but worth the trip.Outside the main gate is a lot of shopping (Target audience is female university students) and food.
6,5.0,This is one of the place that i stumbled upon accidentally. Parts of the school premises are opened to public and it actually pretty romantic place to be with your partner.
7,5.0,Beautiful place for photo taking.  A lot of street foods and shopping around.  Must visit this place if you like to take photos.
8,5.0,"Beautiful early American style buildings are hallmarks of this university ... full autumn leaves colors in well landscaped gardens add to a romantic feel that make the university feels like a park than a place of higher learning. With the young girls (woman university) patronizing the many small retails shops selling fashion accessories, clothings, shoes and food stalls immediately off the gates of the university, the whole atmosphere is one of youth, vibrancy and innocence.. a must visit place when visiting Seoul"
9,5.0,"We took subway line 2 to Ehwa Womans University using exit 2 (exit 3 can also be used) at the station with the same name. This is the largest university for women in Korea. It was an easy 5-10mins walk to the university. There is a cafe at the entrance and the grounds are nice. We went on a rainy day and the drizzle limited our walk around. Nevertheless, it was a nice area to explore."
10,4.0,I do so I thought the design was marvellous and made some great photographs. A massive escarpment beautifully lined. Within a 5 minute walk from the metro station of the same name. Thanks for the vote if you found this review helpful.
11,4.0,"we stayed in Jongno gu, so we took Line 2 at Eurijo 3 ga to Ehwa station (only 10-15mins). we have spent 1hr in the univ campus, mostly due to the impression of the unique buildings.  then we wandered around for shopping and trying the local street food. This area is famous as a hangout spot, dynamic atmosphere and youthful culture. Lot of shops surrounding the univ, you could spend all day there if you are shopaholic. The price seems cheaper than other shopping area like Myeungdong or Insadong."
12,5.0,"What meant for students has started to gain popularity among foreigners. It was meant for students as they have little spending power but due to good products and reasonable price, it become popular with foreigners and now has been a tourist worthy visit place."
13,4.0,"Coincidentally pass by this uni when we walk around this area before check in hotel. We spend about half an hour here. We are here during spring season, but no chance to look for cherry blossom. And it's freezing cold when the day we at here. A lot of tourists visit to the campus.We only tour outside the campus. Take some landscape photos here. Many shops and cafeterias nearby the university. Good for shopping and eat."
14,4.0,"Visited this place cause it is a good option for early morning (since shops are still closed).  Quite a nice stroll with a European feel.  Convenient as it is near subway station and after the visit, the nearby shops are open so we can do some shopping as well."
15,5.0,The university is massive and have many unique buildings. Great place for photo taking. There is a garden in the middle for a great walk. Do take your time to climb the steps and have a great view at the university.
16,5.0,Most of cosmetics company that establish a cosmetic shop along the street near this university give a good bargain of cosmetics products. I prefer to shop cosmetics in this area rather than in Myeongdong. <3
17,3.0,"Many cheap and good shopping around the university.  Also, many cafes and restaurant which are reasonably priced."
18,3.0,We were at the Ewha Womans Fashion Street so we walked a little to this University to take photos.We heard this is one of the top uni in Korea. Looks ancient.If you have a chance just pop by and have a look.
19,4.0,"Great choice if you want to experience a youth type of activity as this is a place where there;s a need a long walk prior reaching the fascinating atmosphere of the university. Along the way you will bump in to different stores, street foods, coffee shops and mini attractions."
