,title,text
0,5.0,Finally had a chance to check out Ewha Woman's University. Worth a visit! Beautiful architecture and yummy food too!
1,5.0,The shopping center is amazing. Must visit. Its located in a good location and has good cafes around. The shops are good and inexpensive. Must visit for shopping. They have a lot of shops for clothes and cosmetics
2,5.0,"If you are visiting in Autumn and  looking for beautiful foliage near the City center then visit Ehwa Womans University. It has all the colors of Fall, a great history, plus the campus complex that is able to blend the modern architecture with the old brick buildings and the"
3,5.0,"It is one of my favorites in Seoul. It has a beautiful campus with historical buildings and innovative architecture.There are tourists all year round. In autumn, the campus is decorated by autumn leaves, whereas in spring it has beautiful cherry blossoms."
4,5.0,"Great place to go shopping, the prices are great! I would reccomend going here first befire heading to the other areas.The university is spectacular."
5,5.0,"Very beautiful campus, especially the front gate.Or I can't say it is 'gate', because there is no gate!Very wide and open front!And the steps are astonishing also.Very worth to see and visit inside the campus.非常漂亮的校園，尤其是正門，或許我不該說這是正門，因為這面根本沒有門。校園前方非常廣且寬闊！且校園裡面的階梯也非常壯觀。非常值得一去！"
6,4.0,This place is justifiably popular to visit due to its beautiful architecture. Most people ignore the museum which is small but has a good collection of art and historical artifacts and is free to visit. I have never seen a university that looks like this one.
7,4.0,"You feel like you're in old Europe and a 21st century futuristic location all at the same time. Enjoyable to stroll around, no entry charge. Lots of studently priced shops and eateries nearby"
8,4.0,"There were a lot of people when I came, students and tourists alike. I wish I went to school here. Looks really nice. The garden is nice as well, but I got really tired going up and going up the stairs to. after a few snaps, I just went around Ewha. But really, it's a nice place. The structure and everything about the school looks rad."
9,5.0,"I went to visit a few years ago mainly to check out the building designed by Dominique Perrault. The campus is nice to stroll around. There is also a museum which is worth a visit.  The university gift shop stocks up some nice items, in case you are interested. I went this time to get some gifts for a friend/family. There are cheap eats at the food court, and also some nice cafes.  This time, I noticed there is an arthouse cinema too. Well worth a visit if you are in Seoul."
10,5.0,"Each time I visited Seoul, my itinerary would include the university as it had a beautiful setting, with youthful students. The campus has beautiful cherry blossoms in late early April and golden Ginkgo leaves in early Oct. As usual there are many tourists particularly in the afternoons."
11,4.0,Very beautiful campus. The scenery and the architecture was wonderful. Beautiful to take several photos.
12,1.0,"This place is a University, not a Zoo or something. You should not go inside, unless you gonna do gentle. Please be quiet and just walk around outside of buildings. That`s all you can do. This place is not a place for tourists."
13,5.0,"Visited the Ewha Women's University to check out the architecture (which was really nice) but was also pleasantly surprised by the whole area! Lots of shops, cafe, restaurants around the area which you can go to and spend your day there. Particulary enjoyed the shopping as they had many interesting stuff which I didn't see at other parts of the city.This has got to be one of my most favourite spots to hang out in Seoul!"
14,5.0,Appreciate both the modern architecture and past.  University canteen is open to the public.  Outside you'll see food cards and a lot of shopping stalls.Good to visit in autumn.  Drop by the University museum as well.
15,5.0,Visiting this university during autumn can make you decide that it is not a bad idea to pursue your education here because the really beautiful campus is such a conducive place to study! The entire campus can give you such happiness that I can't describe in words. Must visit!
16,5.0,"Words cannot express how much i enjoyed the walk from subway station to Ehwa University, with all beautiful trees. Lots of cosmetic shops and food stall, along the street. Very friendly people. Love this place to bits."
17,5.0,"Nice buildings, lots of places for pictures, big shopping area nearby.Feel the youth vibe of Korea here."
18,4.0,"Located next to Ewha shopping street, this university campus is a nice place to take a break, relax and appreciate the architecture."
19,5.0,"Beautiful Campus. Fun walk. Surrounded by lots of Coffee Shops, some restaurants and even shopping.."
20,4.0,"A very beautiful university. Nice to wander around leisurely around the uni and also at the shopping street outside the uni.Close to Ewha Womans University subway station, just walking distance."
21,4.0,Nice area to walk around in with many stores and places to eat. Quite easy to get to by the mrt or just by foot.
22,4.0,"It is a very gorgeous and elegant campus. The campus is close to subway station, short walking distance. On the way to the campus, many retail shops and street food vendors!!! Cheap & yummy snacks~When I arrived at the campus, I couldn't tell I was in Korea because the architecture of the building is so European to me. They have nice cafe & book store on campus too."
23,5.0,"Aesthetically pleasing to visit! Lots of people around the area, the university is no different from a touristy landmark. The college buildings are amazing to look at. And the campus is close to lots of shops and brand name outlets. A one-stop center for all women needs, that is for sure. If you are looking for cosmetics, clothing and street food (not forget to mention a number of coffee shops with instagram-worthy design), this is the place. All said goods and services are priced from low- to high-ranged price. Definitely a safe place to visit as a female solo traveler - but of course, use your common senses no matter what. I went there as the winter is transitioning into spring - GORGEOUS. Visit, just visit!"
24,5.0,"I recommend to visit this place at night. Search for the lit architecture and take a picture, it's definitely beautiful! Outside of this university is one great shopping area especially for women - a lot of cheap finds."
25,4.0,Ewha university has few nice places where you can take nice photos. A plenty of restaurants and shops available for shopping / dinning. A good place to visit during your Seoul stay.
26,4.0,"Edae is a must-see place in Seoul. You can check out the Artbox (stationery/cute goods store) right outside the station. As you walk towards the university, there are also lots of shops along the main road and stores with cheap, trendy clothes if you walk into the streets (mostly for women). This is a great place to photograph. I went in the beginning of May so the flowers had just bloomed. There are lots of restaurants and coffee shops around to choose from. I ate at an awesome shabu shabu restaurant hidden up the hills. & there's an Auntie Anne's nearby! (I love pretzels.)"
27,5.0,Spend an hour or two in the campus walking around and end up shopping at the shopping street before having a cup of coffee nearby.
28,4.0,I always saw this campus through Korea shows and wanted to come for a look. Glad that I came because the buildings are so interesting. I didn't get to walk around for a long time because it rained when I got there. Definitely come with someone so they can help you take some good pictures!
29,4.0,"The campus is, in a word, stunning, and close to the famous Ewha Women's Shopping Street. It is a good place for a stroll to appreciate the architecture on display. Green and well maintained. The terrain is quite hilly so be prepared."
30,5.0,"I walked outside the area of the library and the main church. the campus is huge but very clean and impressive with the little green areas. The entrance of the library makes a great place for pictures. When you visit this area, you will notice the the shopping area nearby. And this is an absolute must place to visit for those women who love shopping for bargains and deals. Most of the items vary between 5.000-15.000 WON. I literally spend an entire 8 hours here with my friend shopping around."
31,3.0,"Spent about 30 minutes inside the campus to admire the architecture, which is beautiful. It has a nicely manicured garden great for pictures. Huge number of clothing, shoes and accessories shops outside the campus. Lots of street food and cafes in the area too."
32,5.0,"incredible campus to walk around or play games in the grass, recommend walking up and down the street just in front of the uni for food, snacks, bubble tea, and cool little clothing shops."
33,4.0,The campus is large and hilly.  It has interesting building structures that one can browse around. It is about 5-10 mins walk from the subway station
34,3.0,"There are a few pretty buildings and the campus ground is well maintained.  Nothing stunning, just a small university."
35,4.0,"When here after Hong dae and like this place better, although there is not so much performance but the shopping and food is nicer and cheaper..."
36,5.0,"I'm slightly biased, having worked here back in the day, but the Edae campus is positively gorgeous in the spring and autumn, rivaling Kyunghee University in its foliage. The impressive 'Gash"" carved through what used to be the Lover's Hill in the middle of the campus is definitely to be seen. In the nearby Edae/Shinchon area is the usual gamut of cosmetic/ coffee/ café shops you'd expect wherever young women congregate."
37,4.0,"The architecture of the campus is amazing. So many beautiful buildings. A hidden gem indeed. Nice place to visit and walk around (I went in the morning during classes, I did not stay too long to avoid bothering students, teachers and people studying and working there).Also during Autumn the landscapes were even more enchanting. They have nice shops inside, where you can buy nice stuff from the University.Also the surrounding area is nice to visit, good restaurants and good shops."
38,5.0,Nice architecture of the buildings and has a good atmosphere for studying. It was a huge area and nice view and really relaxing to walk around.
