,title,text
0,2.0,"Yes this is a fancy area, where locals shop, but sales assistants are just rude or don't offer you any service. It's a stark contrast to shopping in Myeondong, and after visiting Garosu-gil, I actually prefer it.  Even a restaurant we had dinner at a couple of streets back from the main strip gawked at us."
1,4.0,"If you're looking for unique stuff, then visit this place.Pretty pricey area! This is where Korean local elite class go."
2,4.0,famous and exquisite stores are lined up through Garosugil. You can enjoy window shop and walk the way thru after you have dinner
3,4.0,"Lots of plastic surgery clinics here. It's a hip and trendy shopping street. I came here to shop at Lapalette, but I couldn't find it. Overall, a nice neighbourhood and is less crowded compared to Myeongdong."
4,2.0,"This place is only good for restaurant options. The hype for the brand name that I do not even know of is not worth it. Also, it is disappointing that certain stores do not even let you try on shirts and you can not return or exchange it. Not a good spot for shopping in my opinion."
5,5.0,"I went to both Garosu-gil and Myeongdong shopping streets and I have to give Garosu-gil 2 thumbs up! As a cafe / coffee lover, I recommend exploring this place! You will find unique and hipster coffee houses as well as the usual coffee houses (such as Line Cafe) you will commonly find in Korea. Moreover, you see people wear really trendy and fashionable clothes here than in Myeongdong. Another bonus point is there are quite a number of insta-photo spots where you can take nice photos :)"
6,5.0,"We stayed in this neighborhood as a base for exploring the rest of Seoul. Advantages are that there are numerous small streets on either side of Dosan-Daero 13-gil to explore filled with boutique cafes, restaurants, bars, karaoke, and shops. Although Dosan-Daero 13-gil has lots of western name brand stores, the streets to either side seem to mostly have one-offs that are currently under-represented on trip advisor. There are very few western tourists on these side streets but it seems very popular with local 20- and 30-somethings. Restaurants range across Korean, Japanese, French, Italian, Mexican, Indian, Thai, Vietnamese. Especially enjoyable for walking around in the early evenings when it is cooler and the shops are still open (generally until 9 or 10pm). A little harder to find restaurants for breakfast before 10am, though there are some. Arrive using the Sinsa metro station, take exit 8, and then turn down any of the streets to the left to access the area."
7,5.0,"If you enjoy cafe hopping, this is a must visit on your list. Don't forget to wonder off the main road as that is where many cafes are located and don't forget to look up as most cafes are not located on ground floor.If you live shopping, this is also a great place to visit. Prices here are not like those underground subway shopping, it is more expensive here. However, the style here is different from those sold at the underground subway shops... So it's not apples for apples comparsion."
8,4.0,"Short shopping street, come here to find some designer clothes. It is a kind of boulevard located not far from the metro station, full of interesting shops (small) with designer clothes. Several cafes are located here also so if you are not interested to buy anything just sit on the terrace with your espresso and watch Korean chicky-micky hipsters ;-))"
9,4.0,this area is quite a hot spot for fashion loversso many small shops and cafésreally nice to spent some hours here
10,4.0,One of the lovely Cat cate located at Shinsa Dong. Its worth to go to take a rest to visits lovely cats overthere. Especially where there is cold or hot outside or you have been too tired after shopping.
11,3.0,Another overhyped area called a tourist attraction for a reason that's beyond me. Shops for luxury brands or just simply local ones that's been gentrified. Cafes and restaurants here and there. There's really nothing outstanding here.
12,3.0,"Relax walking street with many Korean cosmetics shops, ladies boutiques & the popular LINE store.Found a nice cafe opposite side of the shopping area."
13,4.0,"Apparently this is the 'it' street where all the cool people go.It's a cute area, the street itself is only about 700m or so with shops on both sides including Forever 21 and the Line store. It reminds me of Chapel St in Melbourne or Bleecker St in New York, small but fashionable. The side streets offer alot of more upscale restaurants while the main drag is mainly boutiques.Nice area to visit but I wouldn't go out of my way to go here."
14,5.0,"Despite some of the other reviews, this is a great area to walk around and slowly drink your cup of coffee.  Enjoy the people watching of this ever-so-trendy neighborhood.  Take in a bite to eat if you have a chance.  Yes, the shops are expensive but it's all about the experience.  If time permits, this area is in close proximity of Hangang Park.  With your second cup of coffee, take a walk over to the river."
15,5.0,Lovely place with lots of nice cafes and good restaurants filled with fashionable people. A shopping haven for girls at the Main Street.
16,4.0,This district is nice if you just want to get a cup of coffee/tea at a trendy cafe and watch the beautiful Koreans or go shopping.
17,3.0,We went there late around sunset and we send nice time walking around. It is good to spend three hours.
18,4.0,There were a lot of small interesting shops. But I found nothing special compared to Myungdong. Good place to walk around and check out nice cars parked on the side street.
19,5.0,"If you like shopping and cafe hopping, this is the place to be! If you go, don't forget to visit Banana Tree - it's a tiny cafe, but has Instagram worthy drinks and desserts!"
20,3.0,You wouldn't miss this spot if you start your walk down Insadong street from the Anguk station. Interesting shops and cafes as you walk up the building from the ground to the top level.  You get a good view of the surrounding areas at the top of the building.
