,title,text
0,4.0,The area is a bit small. A lot of buskers during the night. It is always crowded and happening. We spent few hours here. You can find lot of good restaurants too. Nice experience.
1,5.0,You can find anything here and at reasonable prices! This area it's always packed! Been here so many times
2,4.0,"Highly recommended for youngsters who enjoy music and dance.. we went there on Saturday, quite packs with people.. those who got plenty of time can just sit back and enjoy the street performance and dance.. if ur lucky enough u may encounter guerilla date with kpop idol there"
3,5.0,"This place had really good stores for shopping - cosmetics, clothes, shoes, bags, and everything else. As for food, there are many good restaurants too, and some icecream places that sell really long swirl ice creams. It's a must visit. I visited this place at least thrice, within my week-long stay in Seoul."
4,4.0,"It was full of younger crowds during the weekend , came here during Sunday evening , saw tourist information people standing and they taught me from the map given by them to walk to a street nearby for shopping which was korea boutique selling trendy clothes , the Main Street were full of performers dancing , singing ."
5,5.0,"Daebakkk!! you know if i had a lot of money i'd definety visit every store. there's like a lot of stores, clothing, skincare, some souvenirs, also odeng (fish cake) and tteopokki. watch busking here too!! there's a lot of talented people perform here :)"
6,1.0,Fast foodsBrands u can see everywhere around the cityNothing much reallyBut if u r bored u should come here n get sandwiched by the youngsters and foreigners
7,5.0,A lot of shops and restaurants in the area. There are a lot of street performers too so you can stop by and watch the local teens dance/singing performances. There are also a lot of bars so might encounter some drunk people at night.
8,4.0,"There are many shops selling clothes, caps and mobile cases. Besides, there are also several coffee shops and juice shops so people can buy some drinks and snacks when they do shopping. There will be lots of people in the evening."
9,5.0,"If you travel to Seoul, make sure you visited Hongdae!During the evening the street performers come alive, food stalls send amazing smells across the streets enticing you to reach for your pocket and locals shop for bargains.This place is busy, be warned! The atmosphere however is amazing. Every time that I have been I have noticed how friendly everyone is and stall owners try there best to converse with you in English. Along the sides you will find Korean versions of pubs, numerous restaurants and shops that will meet any price range that you are looking for.Head out early, around 6pm. Gives you a chance to gather your bearings and in a way, plan what you want to do. I ended up buying a few beers from a local shop and spent most of the evening listening to music and watching street performers."
10,4.0,"lots of street performances, shops, restaurants, a great district for me! wish i could spend more time checking out more shops."
11,5.0,"Vibrant and lovely place filled with cafes, restaurants and shops. Prices are moderate and affordable and you'll find some Korean specialities and goods as well as international store. It's close to the public transport and it's a great way to be a part of the city and all of its energy."
12,5.0,"Actually i stayed at hostel in Hongdae so Hongdae is really nice place i walked to market every day to shopping and had dinner there, a lot of young people also every weekend you will see young people show dancing, singing, rap etc. it gave a good energy there"
13,5.0,"The area is full of small shops , small restaurants and bars .. very active and a live . U will find so many singers in middle playing guitars and singing in English or Korean . Very nice"
14,4.0,This place is full of young people because of Hongik University. There are a lot of trendy clothes along the streets. Nice to walk around.
15,5.0,I would recommend this place for shopping at the same ranking as Myeongdong street. Whole street is living both day and night time.You can find every teenage stuff at this place and it is the best place to find sneakers in Seoul.
16,5.0,"Great to walk around. Lots of places to shop, some local street food as well. Close to Hongik University (party)"
17,5.0,"We visited twice, both were during the night time. The shops stay open quite late, and there are street performances until the middle of the night. We left around 1 am, and there were still musicians performing and people hanging around. This was during summer time, though, so I don't know how it is in the colder months. The area is filled with young people since it's near the university. I had a blast and I really enjoyed the performances!"
18,5.0,Really nice place to visit on weekend!! A lot of people here. Many many shop for shopping. Nice place to meet. Must to go to there!
19,4.0,"We went there after visited Ehwa University. The clothes there are slightly expensive than Ehwa, but we find a good bargain on shoes 😍. The whole place is crowded. People performing on streets, food and we even come across an idol group is promoting there (we couldn't see who is it due to many people)."
20,5.0,Great place to visit on a weekend night as the atmosphere is very lively. Streets are lined with dancers and singers performing and there are more unique shops as compared to the other attractions in seoul which pretty much sell the same stuff.
21,4.0,Many trendy clothes along the walk. Some you can bargain with them but not over do it. Varities choices of cuisine. The restaurant located at the small street can be cheaper than the main street.
22,5.0,"I love Hongdae area! I love the free market and the vibe of this area. Spending my weekend in the end of April in Hongdae and come to the free market, it was such an amazing experience."
23,4.0,"If you are into shopping, one day seems not enough to see everything here. Most of the stalls show stylish apparel that are popular to millenials (since it is near Hongik Univ). Aside from the shops, there are also many places where you can have meals, snacks and desserts. Trick Eye and Love museums are also here. It seems common to see kpop idols in the vicinity. What I like most about Hongdae is the presence of Tourist Info Centers, with very helpful and informative staff (fluent at English too, very favorable for tourists)."
24,5.0,"This is such a nice street, not too long that you cannot get to the end of it but you can easily spend half a day there if you want, just because of how nice it is. It's a very artsy place with both high-end and low-end shops. The food is amazing, and the street food stalls will keep you full if you don't want to stop by a restaurant. The atmosphere was amazing, especially during night, which is really nice considerig how late the shops close. There were lots of street performers that locals and visitors both seem to enjoy and clap along to. Would definitely visit again, probably several times during the same visit in S. Korea."
25,5.0,"What a good places to shopping and hang out with my friends..so many stylist people walking around in hongdae..the price of the clothes also cheaper than gangnam..even compare in my city, surabaya..the price is much cheaper..you can get the latest trendy clothes with cheaper price..i had so much fun hanging around in this area..hongdae is must visit places when you are in seoul"
26,4.0,"I went there in night, Saturday & Monday, after 9pm. It was rather empty during Monday. But it was really crowded with young people on Saturday. I just drank and talked with friends. There are street music, street food, hang out with friends, people drinking."
27,5.0,"You must to visit when you go to hongdae because it' great free market place. This place full of hand made items from the student. You are interested with hand made items, the songs and everything that you can see."
28,5.0,"i must say, hongdae is my favourite area to stay in seoul, the are consists of well-known restaurant, shop, and bar..since it nears hongik university, people who hang around is basicly youngster, student , and foreigner, the ambience is really nice there, you can just walk around eat snacks, go to the bar to have a drink..awesome"
29,5.0,"Hongdae is the Night Life Capital of South Korea...lots of Clubs, and a melting pot of cultures.  Its a perfect clash between westerners and Asia!!!  Bring comfortable shoes and plenty of Won, because is gonna be a LONG NIGHT (in a good way)!!!"
