,title,text
0,5.0,"This is a nicer place to eat and shop compared to Myeongdong. Things here are much cheaper. We tried the Noonaholdak Oven Baked chicken - it was delicious! Pauline Pancake which is closer to the university area also is a must must try. The pancake is so soft, fluffy, light and melts in your mouth!"
1,5.0,"It so a nice trendy place for youngster. Lots of food. We stayed in an AirBnB at Hongik. Nice neighborhood with lots of nice cafe. One of it is the Bread Comma, must visit if your are there. I would rate it 5/5. Just nearby is the Hondae with lots of young people during the weekends. And your can also find the famous Kyochon chicken there too."
2,5.0,Really nice shopping street especially at night time when the shops are fully open and talented performers lined the street showing off their dance moves and singing talent. Great place to shop for apparels and accessories.
3,3.0,Hongdae I’m sure is a great and lively place to visit. We made the rookie error of going at 9.30am one Sunday. It was a ghost town. I guess it wakes up in the afternoon and certainly the shops were closed until 11.30. So just time your visit accordingly!
4,4.0,It’s an area full of university students. You can feel the vibe and energy. Relaxing area to shop and dine. I enjoy sitting in the café while the rest shop.
5,4.0,"One of our travel mates with teaching the summer session and we went to support him a give a brief presentation on Criminal Justice.  They university was so happy that we volunteered our time they gave us a takeaway good bag and provided us with dinner.  such a great experience, top quality staff."
6,5.0,"The street is located near the university so there're a lot of young people. There're so many busking and it's really fun to watch them perform singing or dancing. There're a lot of stores, cafe and restaurants. I really enjoyed the area."
7,5.0,"Visit in the evening/night time, great vibe, lots of shops and food, and street performers, cafes, karaoke, should have a visit."
8,5.0,"We enjoyed too much about the area. It even has great breakfast restaurants & shops. It has many famous flagship shops for many famous brands locally & internationally suck as Kakao, Line Friends & shoe and cloth. It has restaurants & street vendors everywhere, with street artists & performance on and off to create the variety & richness of the area. It is easy accessible to go everywhere in town including the airport, and subway system nicely makes here a hub. 我們真的太喜歡這一區了！甚至有很多吃早餐的餐廳和小店（首爾很多地區都沒那麼方便吃早餐），很多國內國外的旗艦店都在這一區，例如Kakao, Line Friends和鞋子、服飾店，到處都有餐廳和路邊攤，還有不時出現的街頭藝人和表演，讓這裡更多樣化和豐富性，從這兒到哪裡都方便，包括機場，而地鐵系統讓這裡成為一個很好的轉運站。"
9,5.0,"Lots of energy and lots of people hanging out at night, with live music and street performances - this street is hip for the university crowd. Throw in an abundance of quirky shops, cafes, restaurants and clubs, and you can start feeling younger yourself. So go feel the energy - it's contagious, and free!"
10,5.0,My 16 yr old son absolutely loved the vibe here. Lovely place to walk around and the atmosphere is different in the day and evening. There are always a lot of teens ganging around the place. Couple of vintage stores to check out and 3 animal cafes located within walking distance. Do visit Bau House (loads of friendly dogs) and Meerkat & Friends cafe. Plenty of BBQ choices and street performers. The place is packed weekends night and abuzz with excitement till post midnight.
11,5.0,"get out from subway Hongik univ u'll find Hongdae street activities n nice bbq pork n beef , crowded !!!"
12,5.0,"Good place for shopping or meeting. Lots of shop with variety of goods and things to eat. In the afternoon, there are lots of street show; dance, music, etc. Some shops close late at night."
13,4.0,"It was really busy. Bustling to be exact. There was a cafe or something called **Tiger and I've never seen a line this long. There are a lot of restaurants and retail stores. The layout of these neighborhood streets are unique here in Korea, but once you've seen one area you've seen them all. I didn't get a sense of much handmade goods or any unique boutiques. The brands were unfamiliar to me as I'm not used to the K-Brands, but it was fun to be around this area. I did get a hipster feel to here. Like many areas they had big department stores and it felt the crowd here was a bit younger, maybe late teens to young 20's. It's worth a stop and visit. Bring some cash, these districts aren't cheap.Also it seems this would be a good place for night life, but I was here during the afternoon. Smoking a cigar in this area, you stand out."
14,5.0,"My first time to visit Seoul and choose airbnb around Hongdae area, near to Hongik University. And it's absolutely amazinnggggggggg... Walk distance to hongdae shopping street where we can find a lot of restaurant with so many variety from eastern to western style, local street food, fashion shopping and etc. I loveeeeeee hongdaeeeee"
15,4.0,"If you want to experience a young & artsy vibe, you must visit Hongdae. There are street performers, yummy street food, sale shops galore, etc. Really exciting vibe! Next time, I will get a hotel near Hongdae so we can spend more time experiencing their night scene. Can't wait!"
16,5.0,"We discover another pary of Seoul visiting the area of Hongik university and its painted walls, the streets full of people and great shops, good restaurant and bar.We liked in particular the singers and dancers found on the streept.Grab your camera and video if you visit Hongik university."
17,5.0,Me and me family especially my teenage kids enjoyed the various dance groups and singing groups and artists performing at Hongik University Street. There are also several food options and shopping!!! Super enjoyed it!
18,5.0,"Great vibe and lots of energy on these streets.  Great expressions and performances.  From what we experienced on a weekday in November, this place was quiet and like a ghost town at 9am.  Things started perking up around noon, then came alive in the afternoon.  We didn't stay for the evening, but imagine it must have been a big block party all over."
19,4.0,"It was just too packed. Lots of great restaurants there and cheap place for great clothing. Also I have to love the ""butter"" shop inside the Hongik Station (near exit 6 if you are interested)."
20,5.0,"We took subway green line 2 from euljiro 1 to hongik station ( direct line ) = 10min from myeongdong area. There are many shops to sell cheap bags and clothes. I bought 2 bags @10000 won. There are so many korean bbq restaurants. There are some cosmetic shops such as Ettude House, Faceshop, etc."
21,4.0,"Hard to explain what exactly this place is about...it has good shopping street, loads of small eateries to sink your teeth into, and not to mention the street performances by what seems to be young budding K-pop singers, dancers, performers, etc."
22,5.0,"Went to this Harry Porter themed cafe.  3 floor of decoration similar to the movie.  Quite interesting.  You can borrow the Harry Porter robe to do you IG shot.   However there are only 3 robes, find it if you can."
23,5.0,"Have everything restaurant,shopping , street food crowdedness but manageable you will enjoy many makeup and natural creams shop for ladies who skin care fan , shopping princess not expensive just be selective"
24,5.0,"I could see why many people reviewed that this is a place for the young crowd. We enjoyed walking around and shopping (oh yes, the 10,000won bag shops!) and eating. Watched a group or two perform. Unfortunately it was just too cold for us (-9C that day excluding wind chill) so we left after about 2-3 hrs. Would have loved to spend more time. Next time!"
25,5.0,Nice shopping street with cheap goods and food compare to Myeongdong. The street is not so crowded as in Myeongdong and if you intend to get some clothing here's the place.
26,5.0,"Stayed in Hongdae. Hongik Exit 9 is famois for street entertainment, street shopping too. Quite a nice place to explore"
27,5.0,"This area is perfect for teenagers! Lots of shopping and cute clothes and accessories. Good, quick food everywhere and pet cafes everywhere."
