,title,text
0,5.0,"This place never sleeps! It is filled with mostly teenagers and young adults as there is a variety of things to do here from street shopping, eating real good Korean bbq and bingsu, taking booth photos and drinking/clubbing.You can be sure to see youths awake even at 5am and during the weekends even restaurants are packed at that hour. Definitely worth checking it out if you need supper and like the night scene."
1,5.0,"We came in a Friday night for dinner then we strolled and soaked up the local vibes.  There were lots of street performers: singing, K-pop dancing, etc. Lots of street food and pop up vendors.  Enjoy the street culture."
2,5.0,"Hongdae shopping street comes alive at night. Highly recommended to stay near the area if you enjoy street food with reasonably priced restaurants, fashionable streetwear, clubbing/bar hoping and noraebong (karaoke rooms). Everything night is a Friday night so a warning to those who don’t enjoy crowds and noise until the wee hours of the morning."
3,4.0,"Reading all the reviews here on trip advisor i stayed 3 days here and 2 days at Itaewon.I have to say - i liked it better here. Itawon is very touristy, so if you need to get a true flavor of Korea, stay here, The streets are very busy- i'd say till 12 midnight on weekdays, and till early am 8am on weekends. They have some amazing Barbeque places @ 9000 KRW for Pork/Beef Barbeque that gives you free sides and a dedicated table to cook, But u need to order minimum 2 dishes. amazing experience + music on the streets is fantastic. Very lively, loved it here."
4,4.0,"After living in Korea for some time I can say I know Hongdae really well even though I’m not living as near. I like it for having foreign brands stores, such as h&m, forever21 etc. Also, it’s a great place to buy some other stuff, cheap smartphone cases and cosmetics - in one place. There are many, many pretty cafes near, very instagramable places. Also, be sure to visit Yongnamdong (Hongik Uni St. exit 3) for some really good food."
5,4.0,"Lots of teenager or young guys there, street performances, lots of restaurant, coffee shop, and cosmetics shop, accessories and everything. Love to visit this places , so go 2nd time because it is easy to find great food and lots to buy"
6,4.0,"That whole area is very busy and bustling, but it gets interesting once the sun starts setting and different people start performing. A fun place to spend time or sprint through if you have seen it once too many times."
7,3.0,Will go again as it is a good place to shop. Things here selling at reasonable price. Good for girls who love to shop.
8,5.0,Come join our parties in Club Vera in Hongdae! For free drinks and free entry contact me on kakaotalk: jadawelin or dm me on instagram @vera.jada !!!
9,5.0,This is a very vibrant and busy area with so many restaurants and bars to chose from. There are both big and small places and many up the many alleys either side of the main street. A great place for an evening out and getting a feel for the less conservative side to Seoul.Street performances are here too along with nightclubs with a friendly vibe. Completely safe and fun.
10,5.0,Vibrant feel and a lot of shops to see and good restaurants to eat at. The train is conveniently located and it's near to clubs if one likes to check out the night scene.
11,5.0,"All tourists should experiene hongdae street. Great for shopping, eating out and also for watching performances. (great for nights out too but I dont go to bars/clubs) They usually take place from 6pm-10pm, mostly on weekends but you can also catch some great performers on weekdays. I enjoyed spending my evenings in Hongdae"
12,5.0,Love the vibe at this place. I was fortunate enough to visit this area on a Saturday night. It’s filled with people and buskers. The buskers put in their heart and soul in their performances.A nice way to spend a Saturday evening.
13,5.0,"I have exchange with Hanyang University during the summer here. It is nice place as there are lots of cafes, restaurants and things to do! Also, Han River is nearby and I love to run there in the morning."
14,5.0,"I absolutely loved roaming around this street. Although it is very busy (which was surprising with the temperature being below zero) I never felt overwhelmed by the crowd as I often do in other places. It is so full of life, with street performers and food vendors and plenty of good (and affordable) shops lining each side. The street performers were young dance groups and musicians, which were much more enjoyable than say, the robot people in Times Square or the kazoo men in Barcelona; these performers were genuinely entertaining. If you are in Seoul, it is worth spending at least a day in this lively neighbourhood."
15,5.0,"Always full of people, lights, music and such. Anytime of day and night you will find animation here, it's really a trendy place."
16,4.0,"You can see students dancing on the road. The street food is very tasty and the price is reasonable. The market closes at around 11 pm in night but after that you can see the crowd in the club street. You can find the information guide person wearing the red dress, they will give information about the area and also explain everything on map. I recommend to visit Saturday evening."
17,4.0,Quite a bit to see here and shop around. Spent a half day here and enjoyed the stroll and people watching.There’s a mix of handmade goods and typical cheaper items. The place is aimed at Uni students so you can understand the buzz surrounding the area. Some really good cafes in the area if you’re into that scene.
18,5.0,"very very busy street esp at night and on the weekends. lots of food options, cafes, bars, and casual clubs. you can see students busking and dancing on the streets. hongik university is known for there arts program, so this area is full of culture. i wouldn't suggest this place if you hate crowded streets. hongdae is a popular hangout place among locals, not just a tourist place so its almost always packed."
19,4.0,"The street is full of fun and performances by budding K-pop interns  if you pay a visit during weekends. The exit 9 of the metro station was well packed with people when we went there on a Saturday. Apart from the the shops snd cafes, you can just spend a nice afternoon walking around and get entertained by the various groups of performers. Though crowded, the place is quite orderly. A nice way to understand the K-pop culture and share the fun."
20,4.0,"If you are young or if you want to know how younger Koreans enjoy their life, visit Hongdae.Hongdae refers to a whole area which includes Hongik university. By the way, it is on metro line 2. I have lived nearby for 8 years, and now I am tired of it. However, there is a lot to do, eat and watch. Every day, especially weekend nights, there is a lot of busking. People sing, dance and play instruments then passers-by join and enjoy altogether. How good it is! You can feel the youth in the street. Oh, by the way, if you hate crowds, you may not like it because there are a lot of people:)"
21,5.0,Hongik University Street has the vibes for youth. It gives us the impression to be in our youthful days. Very recommended street to stroll. :)
22,5.0,"AMAZING nightlife. Such a nice area with a very artistic and youthful vibe. Plenty of wonderful independent bars, restaurants and boutiques to explore."
23,5.0,Great place for cheap eats and fun shopping. Busy at night with Street entertainers. Not necessarily good but interesting. Lots to choose from.
24,4.0,This is a place where you can enjoy walking because there are many shops and also you can enjoy watching performances from amateurs to professional artists!♥
25,4.0,"Since there is a university located this is obviously a place for young crowd. Lot of discounted shops but with an intension of selling stuff which students require such as mobile covers, stationery, bags, purses, t shirts, tops, etc Many restaurants and bars also."
