,title,text
0,4.0,"It is an area within a village that is full of art murals.  Can take many photos and enjoy a cup of coffee there.  There are also a few cafes/ restaurants you can choose from, though quite pricey compared to the rest of the restaurants in Seoul.  It is in a neighbourhood that required some stairs/steep walking, so take that into consideration.  Also try to be quiet when visiting =)"
1,4.0,"Be prepared, a bit hectic to walk up the steep hill slope. If you like arts - this is a relax care free place to go. You can look around the murals scattered on the  small houses along the hilly alleys. The small cafes around the area are decorated with individual art tastes. You can take a cup of coffee or beer to enjoy the specific city view from the hill. A fun experience."
2,4.0,"i am glad that i did not miss this in my itinerary. even though the murals are not as many as i expected (one of the main mural of goldfish on the staircases are gone), but i like the walk up the alleys, to experience what i've seen in many korean dramas (houses in the small hilly alleys).the was no signboards/directions from Hyehwa station to go Ihwa Mural Village.. i just used Kakao map. really recommended if you are up for a hike, otherwise, don't try it ^_^"
3,5.0,"I had a good time in Ihwa Village. The place is very cute, u can easily rent some uniform for your photos, and the price is very cheap"
4,2.0,Not a lot to see anymore. I understand that some artworks were painted over. Might have been a mistake to visit Gamcheon Cultural Village first since we couldn't help but compare.
5,4.0,"Ihwa Mural Village (이화동벽화마을) perched at the top of Naksan Park, was once set for demolition as it was seen as a poor and down-trodden neighbourhood.  In 2006 under the “Art in City Project” carried out by The Ministry of Culture, Sports and Tourism, murals were painted to revitalize the area. Brightly coloured murals on walls, fences and rooftops were created by 70 artists to transform it into a charming and photogenic village. The Mural Village illustrates the ability of street art and human ties to breathe new life to the city. Many small museums, art centers and cafés have also sprung up to add to the bohemian feel. As one mural-hunt, remember that this is a place where people live and the daily lifestyle of residents should be respected. So, please don't intrude."
6,1.0,"Looking from the past review, we thought there will be more mural paintings to see. But they are all either already faded away or badly painted over. Not worth going at all. Don’t waste your time."
7,3.0,"Was looking forward to the village as had seen some pictures. Sadly the famous stuff like the steps were covered over. It's a bit of a climb to the top and kdrama fans can see Strong Woman Do Bong Soon's house which is apparently a museum but looked like a shop. It's also close to Naksan Park which is worth a look. Though there was some interesting art work, it was nothing special and really uninspiring compared to Gamcheon culture village in Busan (where visitors actually seemed to be welcome). We had some yummy milk ice cream at Milk Gongbang which was a cute little place."
8,4.0,It was my first time visiting this neighbourhood and I was shocked at all the messages doodled in red paint by the residents of the area saying “Please be quiet” and “I wan’t to live” etcetc. It can be seen that the residents hate to see tourists there for obvious reasons. Read on blogs that some murals were removed by the residents there as they could not take it anymore and witnessed some being covered by paint.If you’re looking to go to this place just remember to be respectful. The place is located about 1km away from DDM and is on a hill - some routes are very very steep slopes so be careful. You can walk to Naksan Park as well since they are side by side.
9,3.0,We went to see the Ihwa Mural village to see the more known wall paintings. Apparently local people had painted over the the better known painting of fishes at the staircase. This was a bit of disappointment. The rest is so-so but you can enjoy a drink at some of the roof terraces to get a good view.
10,3.0,There is alot of stairs to go up if you want to reach the village.Most of the murals needs a bit of restoration. But it was worth it to walk up to the village to take the pictures with the murals.Would recommend it for couples or close friends.Or k-drama lovers.
11,5.0,"The area is cozy. Wall paints can be found in the whole area. Don't expect too much, it is not designed for tourists; people do live there. That's the reasons they removed the famous painting on one of the staircases.A side note, there is a ice cream store, called ""Milk GongBang"". The milk ice cream there is excellent!"
12,1.0,"The visit was dissapointing because best murals, which were on stairs, are no longer available. There are much better places to see in Seoul."
