,title,text
0,5.0,I wish we had a lot of time to spend here. We were in a tour and had a limited time to go around. Lots of food to taste. A lot of things to see. A lot of stores to shop. I'll come back for sure.
1,4.0,Nice area to buy nice stuff for our return... Handmade or tourists ones but that's OK 😊 for instance we bought sets of Korean metal sticks and spoons for a very reasonable price which we did not find elsewhere.
2,4.0,"Another shopping area close to Gyeongbokgung palace. This street has a lot of cafes and souvenir shops. Sampled a few types a tea in one of the newer establishments, however there are a lot of traditional tea houses to explore. Lots of good restaurants in and round the by lanes."
3,4.0,Went from the train station to the running man attraction and then up and down the street trying to hunt for trick eye museum. Also went up to one restaurant on the second floor to have dagarbj with cheese and octopus. To cap it off it was snowing gently that day. Beautiful
4,3.0,"This old area of Seoul is well known for tea houses and there's also a handful of lovely old restaurants.For us, it was a visit to Ssamzie-gil to get our family caricature done. A must when you are there."
5,5.0,"Visited in mid December. I prefer this area more than Myeongdong. Lots of eateries, and lots of shops selling souvenirs. There are also shops selling cosmetics. So, if you are not a hardcore cosmetic person, you can actually shop around this area too. Ssamziegil is also a place worth visiting. It consists of little boutiques, stores/ shops selling cute little knick knacks. Just about opposite Ssamziegil, there is a toy museum and a tea house/ cafe. They have some pretty yummy looking desserts. We’ve only tried their green tea ice cream, so i can’t comment on their other desserts or drinks. There is also a huge shopping mall near Ssamziegil."
6,3.0,Walked pass this street on the way to The Runningman Thematic Experience Centre. Did not strike me as exciting or there is much to do. Visit only if you are around the area.
7,4.0,"If you are going for a relaxing holiday, this is the place which you can find a lots of cafe.  There are some street foods as well."
8,5.0,Nice vivid street almost without cars with a lot of interesting shops to look and buy topical Korean stuff. Lots of street food as well
9,4.0,"When you come to Seoul you can experience different shopping experience based on which market place you visit. Insadong has it's own nuance when it comes to shopping.  If you are in to masks, you will see lot of shops not only selling them but you will find some shops where you can watch a mask being made. Just like any other place in Asia, one should be able to bargain"
10,5.0,"Staying in MyeongDong, it was a fun and healthy walk over to Insadong to see the modern buildings and restaurants, plus see the great heritage site with local tour guides! They were awesome. The food here is spectacular for everyone with an Asian hankering .. and of course we arranged a must see DMZ tour the next day.. Seoul is 1st class!"
11,4.0,"You want to experience Korea, visit this area.Souvenir shops, korean restos, korean neighborhood, antique shops are the things you will enjoy here. If you want handcrafted bags, ceramics, arts then this is your place. But i find the commodities more expensive than in myeongdong. We stayed for 2 nights in this area and its quiet and exciting due to lots of restaurant nearby. Its just next to each other. Restaurants are the one you see in korean novelas where there are individual rooms for every guest. The area is close to palaces, airport bus station and subway ."
12,4.0,"We took almost an hour of train from Gangnam's Handuk station to Anguk station.  Took the exit 6 and Insadong's main street is just 200 meters away. The street is filled with restaurants local and international, shops selling souvenirs, cafes, tea house, etc. In the heart of it is a building called Ssamziegil with its spiralling floors. You may want to pay the Ddong cafe aka poop cafe a visit.The main street will be branched out to many gil (Lane) in Korean. In those gils you will find mainly restaurants. Few of the popular ones we visited are in 12gil (bbq),8gil (sujebi noodle), 9gil (dumplings) .It's gets livelier during the evening around 6pm to 9pm. Overall this is a place where you wouldn't want to miss when visiting Seoul."
13,5.0,"Worth to come. Because many variety of souvenirs in here. Price not so expensive,, i recommend this store in pic, because she gave us so many bonus for my kids haha"
14,4.0,This place is a place to buy souvenir where you also can find unique mall called ssamziegil. Best to go is in weekend noon to evening.
15,5.0,"We traveled to Seoul and we couldn’t find better area than  Insadong. Here you can walk and visit the best palaces, villages and more, you can also shop and have a great meals.Definitely convenient area with good transport connectivity bus and subway."
16,4.0,Interesting area full of shops and restaurants. You can find normal gift items to rare find art items. Go through the little alleys and find some of the best restaurants.
17,3.0,"To me, this is an area that doesn't worth revisiting. Restaurants are expensive but not yummy at all. The shopping centre is not fabulous either. It's a quieter and more traditional area. Visiting once is enough."
18,5.0,"Located in easily walkable distance between the palaces and Myeongdong, this small area should be visited for cheap souvenirs, also must visit the fun mini shopping arcade called Ssamziegil."
19,5.0,A series of old school fashioned shops and tea/coffee houses.  Certainly worth a look.  Had a fantastic relaxed time at a tea house there.
20,4.0,"Originally there were many of traditional shops and tea cafes prviously but it turned morden style a lot but still many things to see and take a picture for insta. In the small alleys there are old resturants what you can enjoy Korean traditional food not only Bulgoggies but also Korean rice wine. You can reach on foot from Kyungbok palace, Changkyung palace,  Hanok village, Jongro and so on. You can walk 10,000 steps easily."
21,4.0,"If it’s hot this is an awesome place to cool down, with a shared bowl of shaved ice cream with condensed milk you can pour over that really brings out the taste of the shaved ice whether you start with chocolate or mango or any of the other multitude of flavours."
22,4.0,The town has different look from Seoul which has tall building forest and is crowded. The town has lots of low ceiling stores. You can see Korean traditional goodies or restaurants in the town. It’s an interesting place. Prices seem a bit overpriced through.
23,4.0,"I like it here as I am into culture. Beautiful lanes with beautiful structure. It was a nice stroll going down the lanes. Saw some tourist dressed up in the traditional outfits, beautiful indeed. Spent sometimes browsing the souvenirs shops.  I truly enjoyed this place."
