,title,text
0,5.0,"I really like Insadong, not as crowded as Hongdae. What I like the most was it's ambience, artsy and peaceful. I went to Ssamzigil and it was really nice place! Instagramable and pretty."
1,2.0,"Insadong used to be an artistic/artisnal haven before it became overy homogenized and dull. There is still the occasional good stuff in the back alleys (food mainly), but the main strip is tourist only traps."
2,5.0,"Insa-dong is located in Jongno-gu district. There's a lot of cafes, restaurants, galleries, teahouses and shops along the alleys on each side. You can buy traditional souveneirs here if you want to give something for your loved ones or to remember your trip about Korea."
3,4.0,"A bit disappointed by the area, it’s for tourists and there is nothing genuine.The narrow streets could be nice but again spoiled for groups of tourists."
4,5.0,"This is the kind of place where you like anything you see.... Where you want to get everything back home with you...Pottery, wood works, local craft, clothes, art, food...amazing"
5,5.0,"Great place to look for arts and cultural trinkets or souvenirs such as traditional paintings,fabrics, hanboks, tea accessories, painting accessories, etc."
6,5.0,"I enjoyed visiting the numerous shops repeat with local handicrafts. The people were very pleasant. I enjoyed strolling around shopping and taking photos and also found many tasty treats to sample. plus there was a Starbucks and I was in need of a coffee, so I had a really good time. Oh, and I bought numerous gifts to take home to friends."
7,5.0,"Great transit network, very efficient and on time.  I need tp write 100 characters but i dont need them...."
8,4.0,Insadong is a great neighborhood in Seoul for travelers to visit. There are good restaurants everywhere and many are not expensive. There’s also heaps of souvenirs for sale so it’s a great spot for travelers to visit!
9,4.0,"Realky nice area in downtown Seoul with loads of eateries, sone good bars, hotels and souvenir shops. Within easy walk of the two main palaces. The Airport bus stops here and its served by the subway.I stayed in Insadong and really enjoyed it, the place has a good vibe."
10,5.0,"I visited Insadong during a long layover and had a great time. A lot of restaurants, cafes and shops for souvenirs and gifts."
11,4.0,"Twice I have lived in this area and I really love it - the wonderful souvenir shops, the galleries and of course the food places. Truly love this area."
12,4.0,"The streets and narrow alleyways have art galleries, teahouses, restaurants and cafes, small shops selling arts and crafts and there are lots of souvenirs and lots of people. But if you do wander down the alleyways you can find little places to poke in to. I found a hole in the wall place making only mandu which are the Korean dumplings. Also followed the tracks up to one of the cat cafes. It's just a great time to wander and browse and see where your eyes, ears and nose will take you."
13,5.0,"Lots of boutique and artisan type shops as well as lower end souvenir shops further down the stretch, but the whole area is pretty clean and has a nice calm vibe about it despite being a busy/touristy area. You can stroll down the main street taking in all they have to offer while drinking your fresh strawberry juice and eating whatever you may find among the many options of street food (not for me - i quickly found spice allergy is a bit of an issue in korea!). At the bottom of the road there's loads of old guys at tables outside the edge of the park playing board games and at the top of the road you pretty much have gyeongbokgung palace, a nice contrast. The presence of the traditional korean spa here is reason enough alone to go to insadong, it's a bonus that it's a great area with so much else to offer too."
14,5.0,"A cozy place for a walk, shopping and eating. Not super crowded than the other market, more organize, interesting design of street (you need to explore the places in the aisle - you will be surprise on small and tasty restaurant that serve Korean food and snacks)and lot of choices.Also if you want to have a photo session with hanbok and other traditional dress you can fine one place, very profesional one just on the main street of Insadong market."
15,3.0,I'm finding the more areas I visit in Seoul that they are all basically the same Mind you this has some lovely shady trees down this street which make it pleasant. There is one particular shop where the guys are making a product from honey and malt and filling it with nutty mixture which is delicious.  You can see them making them - nice guys too!
16,5.0,This is the best location for unique and pretty souvenirs. Be sure to also stop Nuri Kitchen for the best lunch box lunch ever!
17,4.0,Very interesting area located in Seoul in the streets that have cultural shops showing  videos on how they made pots. Masks and jewellery. There are also shops selling hand made  paper and all of the materials needed to write in Korean style with special types of brushes and inks which are really very interesting
18,5.0,When you’re coming from bukchon hanok village you’ll walk straight to insadong if you’re going towards the city center. It’s nice with its restaurants and shops!
19,4.0,This is a great place to take a break for the day at a tea house and then get some shopping in as well!!
20,5.0,"Insadong has a rich mix of the old & new, buildings, shops. Interesting shops selling trinkets & traditional stuff. Good place to coffee-shop too. Easily a day flies past without one realising it."
21,5.0,"A must go destination for tourists who like to explore traditional, old towns in any country . A main road with alleys , shops, resturants and tea cafes. Great place to buy souvenir, ceramics,  hanbok (Korean old traditional clothes), antique shops plus many traditional Korean items. My photos will talk :)"
22,5.0,"I went to Insadong, which is a traditional street featuring arts and crafts, to buy some souveniers for my family. You'll find lots of handcrafted goods in all price ranges and have lots of opportunities to bring home interesting gifts. Nice atmosphere, especially in the evening"
23,5.0,Traditional streets. Arts and crafts. Traditional non expensive restaurants. Ver interesting visit. Nice and safe.
24,5.0,"cheap foods, cheap clothes, they have lots of DIY stuff here.  handmade jewelleries, caricature. friendly people around"
25,4.0,"It likely goes without saying that Insa-dong is a tourist's paradise--but, oddly enough, not really in a bad way. There are loads of inexpensive, cute souvenirs, but if you look around long enough you'll also find genuine quality goods for not too terribly much. Many of the shops sell the same basic souvenirs--bookmarks, chopsticks, small silky bags--so don't worry about shopping around too much. Antiques, ceramics, and paintings can all be found as well, albeit for a higher price point than the 1000 won postcards!"
26,5.0,"Where to start? So many little shops, tea houses, restaurants to choose from. You can pass half a day there, play in the labyrinth, practice your baseball swing at the batting range, enjoy the free shows on the weekends but don't forget to visit those small streets, so many treasures to be found there."
27,4.0,"I always love visiting insadong, easily accessible by train, at the anguk station. I usually have lunch at one of,the small local Restaraunt’s / cafes where food is prepared by grandmothers. There are heaps of cute shops, arts , galleries and food vendors . It is well worth a visit to unwind"
28,5.0,"Insadong is interesting place to go while we’re in Korea. Many unique cafe, hand craft souvenir. If you like unique souvenir, I recommend you to go there.Many store left and right in 1 way. Spare time to enjoy."
29,5.0,"Insadong is a charming area to spend a couple of hours. The Main Street is insadong - Gil and there are interesting side streets. There are antique shops, art galleries, stationery and art supply stores, pottery, boutiques, resturants and tea houses. Several boutiques I visited had beautiful and unusual things."
30,5.0,"This place has a plenty of shops selling souvenirs and antiques and artworks. You can stroll along the street and you will be splashed with plenty of choices for souvenirs and artworks. One particular items that interest me is ""Dojang"", the traditional Korean Stamp which you can custom-made to make your name either in English or in Korean. You should buy this Dojang if you can afford it. obviously the price ranges from cheap to expensive- it depends on materials that you can choose from.Here also you can find small alleyways and there are also lots of restaurants to choose from to fill up that empty stomach after walking along the huge area of insadong.You can use Subway Line 3 (Orange) and alight at Anguk Station and take exit 3."
31,4.0,Great shopping area plus plenty of restaurants antique shops art studios to look at plus nearby temples good place to visit
32,4.0,"This is a long street with many attractions and little quirky monuments and a beautiful wall Muriel . Lots of shops, eateries and cafes. Lots of interesting side alleys with restaurants and art shops. Beautiful park at the end with an old temple and square."
33,5.0,Lots of market stalls to see with food and trinkets being sold. Do check the little side street as there are some good architecture to see and interesting restaurants and art shops.
34,5.0,"If you’re looking for an area that’s chic yet quaint, you’ll love the little alleyways of Insadong just waiting to be discovered. Lots of artisanal cafes and upcoming designer stores here. Food prices are on the high side but i guess  you’re paying for the decor and artsy ambience. There were also some vendors hawking street food  such as rice cakes and croquette. The locals come here in all their vintage finery to take pictures. Even if you’re not feeling flush, it’s worth a walk through just to feast the eyes!"
35,5.0,"If you have time to visit this area, pretty close to some embassies and temples, the hart of Seoul, you can walk on the street and visit a lot of gifts shops, traditional restaurants and have fun!"
36,4.0,"This is one of the places that I am fascinated in Seoul. I really like watching artists doing their own craft. They are showcasing their skills through their work that you can see in their own gallery. If you are interested and get a remembrance, just choose the one you like the most."
37,5.0,"Forget the modern malls, this place is shops after shops after shops and it gives you a great walking work out visiting and seeing all that is available."
38,4.0,Insadong is where I was directed by my hotel concierge who already knew me pretty well. It was exactly what I was looking for. The street is not too busy and you can easily cross back and forth. There are shops and street vendors. You can find almost anything from make-up to electronics and furniture. There are plenty of Korean souvenirs from the cheapest to the very expensive. I thought the prices of what I bought was fair although I learned later that most of the prices and shops are geared up for haggling. I’m not a fan of haggling and didn’t bother and am totally satisfied with my purchases. My concierge was kind enough to put the name of the shopping area on the back of a business card in Korean and the flip side had a “please return me to” on it as well so I could hail a cab (very easy) and return to my hotel.
