,title,text
0,5.0,"It's a a very nice please and its shops and restaurant with cafeYou can spend 5 , 6 hoursAnd you can buy to many thing"
1,5.0,This place offers a variety of places to eat from with different cuisines. The streets at night are vibey and with a lot more variety of ethnicity which I loved because my home town I see different kinds of people and after 1 week of seeing one kind of race it was REALLY so nice to see other kinds of ethnicities I’m used to seeing daily. Food was great here and with variety
2,2.0,"Itaewon does have lively nightlife going for it, but it's not really distinguishable from any other western downtown. The food is fine, and pricey and underwhelming compared other parts of Seoul. During the day, it's fairly slow and skippable. Go if you want to get wasted, wade through shifty people and party late, but don't expect cultural fulfillment or a unique experience."
3,5.0,"This is the only area in Korea that the crow are less judgemental towards different race, sexual orientation, or religion. The area attracts all sort of different locals, tourists and expat crowd."
4,5.0,"this street along with the area around it is almost international place in Seoul. plenty of small shops for clothes Korean souvenirs  that you can buy ( insure to negotiate about the price). also a lot of restaurants are there especially Arabian, Turkish restaurants. also, I found 2 Arabian groceries for those whom want to buy Arabian meals or products. I would recommend to visit during day time until 8 PM. for families, avoid the area behind the Main Street at night since a lot of bar and adult places are there."
5,4.0,"This was the street beloved by US military personnel and their families. Now, most of them have moved to Pyeongtaek and this street is much less crowded. But, still many foreign residents visit here and there are various international shops and restaurants.It's good to visit and have fun at least once.- Most foreign restaurants are too expensive. 15,000 ~ 30,000 won per person normally. I recommend some affordable lunch menus.- Both of Korean and English are available in most places.- Since there's the only mosque in Seoul, it's easy to see Muslims or halal restaurants.- There are many young Korean foodies too.- Very crowded during Itaewon Global Festival in October.- Close to Gyeongnidangil Street(경리단길) or Haebangchon Village(해방촌) that are also popular areas.- There are some romantic rooftop pubs.- Also well-known for super size clothes or military merchandises."
6,3.0,"So I am a Brit who lives in Korea and have been to Itaewon twice. As a place to go shopping it’s great, particularly if you’re a foreigner as they have many shops that cater to taller/larger people and have lots of souvenir shops. It’s so hard to find postcards in Korea but there are tonnes in Itaewon. Also you will almost always find Korean people that speak English here.If you have a couple of hours to kill it’s great. And if you’ve been in Korea long and you want to see lots of foreigners for a change go there.The down side is other than shopping, eating and drinking there’s not really that much to do so if you’re spending more than two hours there it can be a little boring. It’s great for finding foreign cuisines that otherwise you would struggle to find outside of Itaewon and great for the nightlife (if you’re into that).But it’s usually very crowded and when you have lived in Korea for a long time, it can be overwhelming.In general it’s great for shopping and souvenirs, and having a good night out."
7,5.0,"This is probably the only area in Korea that is truly international and also friendly towards all sorts of people. Locals and internationals, straight and LGBT people get along. The area has a variety of food nightlife scene. A must go on the weekends!"
8,1.0,"This lounge bar might be changing names- its a big NO.Rip off for tourists- menu and all is in Korean so later on they charge you super high prices they want. They served us a bottle of Australian wine (which is usally an average wine) and charged us 149 US $! After we asked Korean people sitting next to us to translate the menu, we realized that the manager (who is standing in front of the bar) is lying about the prices. With complain from us, he lowered the price on 80 US $, which was still not realistic and too high."
9,4.0,"Basically a place to hang out at night, lot of bars, clubs, and restaurant.Bunch of people from everywhere.A bit dirty at night but you know, that’s a place for “partying” or to come and visit before 23.But it’s safe and nobody is rude.Definitely can feel the Seoul crazy vibes"
10,4.0,"For Muslims, halal food is necessary. So, Ittaewon is a good place to find halal food, and the price was affordable. There is a mosque where you can take your time to perform your prayers."
11,4.0,"there is a huge mosque in itaewon or people called it Seoul Central Mosque... this area is filled with Moslem people from around the world, so you can easily find halal food here.. there is also a store that sell stuff or food ingredients from all over the world, it's very convenient"
12,5.0,Easy to get muslim guesthouse and near from mosque also have many delicious halal food restaurant in the town .
13,5.0,So very many restaurant hidden in the backroads and alleys. Plus on the street kiosks to buy souvenirs
14,4.0,I must say this place is where you can see a lot of coloured people of different race. A place where you can see the Korean Memorial War Park and home of the famous Hamilton Hotel.
15,5.0,"If you're a muslim and particular of food served being halal, then Itaewon is the place to stay or go in seoul.Varieties of halal food restaurant could be found."
16,4.0,"Very Cosmopolitian. Friendly people everywhere, food was so good, all things you can find here, Bathhouse was special, nightlife is a must . Overall a Ist visit place."
