,title,text
0,5.0,"First time catching a baseball game live. Atmosphere is electrifying, and seated at the exciting zone adds another level of fun. Ushers are friendly and directions to seats, washroom etc are clear enough for us.Go go Doosan Bear!"
1,5.0,"The stadium wasn’t even close to full on our Thursday night baseball game but the atmosphere was amazing! The Koreans love their baseball and honestly, it’s infectious. The cheerleaders are such good fun as is the food and beer culture. It’s also super cheap to go too versus the US."
2,4.0,"A visit to a baseball game is definitely worthwhile. In our case, it was LG Twins vs. NC Dinos, who were well supported for an away team. In comparison to US baseball games, in our experience the audience is much more lively and consistently cheering on their team. Tickets were available at the stadium on game day, which was possible due to it being a non-rivalry game against an out-of-town opponent. Third-base upper deck tickets were approx $15 each, with good view of the game. Plenty of food and drinks available inside but feel free to bring your own as well."
3,5.0,"It doesn’t matter whether you are a baseball fan or not, you will love going to a game in Jamsil. There are multiple teams that play there so there’s almost always a game. Spend a night as a Doosan Bears fan or cheer on the LG Twins. The fans are awesome and really get into the songs and dances for each player. Try to get in the upper seats along the first base line.Go to a baseball game because:- Tickets are pretty cheap (about 15 USD)- You can bring in your own food and drinks. - The food options there are pretty affordable (for stadium food)- The fans are amazing. See how Koreans enjoy this sport!"
4,4.0,Since I was in Korea for a week we got really lucky and noticed baseball was on and did some research. It was really hard or near impossible to buy tickets online as nothing is in English but you can come 30 mins before the game and heaps of tickets still available. We got to sit near the middle for around $20 AUD. Very cool atmosphere and lots of fried chicken options. Worth coming even for a few hours (game can take hours)z
5,5.0,Like baseball? In Korea? Like beer? Then this place is for you. Its an airy ballpark with cheap seats and cheap drinks. Front row seats at field level are ~30 USD. The cheerleading is fun to watch as well. Easy to get to via subway and/or bus.
6,5.0,"Great experience for my girlfriend and I. As Western Canadians, we aren't really into baseball. But we happen to be walking by the stadium on our last day and said screw it, lets go in. Bought our great seats for approx $11 CAD, what a deal! The people selling the tickets didn't have a great grasp at English, but they still made seat selection and buying tickets fairly straight forward. I highly recommend seeing a Korean baseball game. What a surprise!"
7,5.0,"Hands down one of the most fun experiences i've ever had at a baseball game. I've been lucky to witness the SF Giants win 3 championships, and have been to playoff games, but the atmosphere in Korea is amazing. Everyone is engaged and having fun. It seems like every little thing has a fight song, you can't help but smile and enjoy yourself.If you are going to Korea, I would strongly suggest going to a baseball game."
8,5.0,"I am actually not a fan of baseball, in fact I know nothin about it. My hub is one and he wanted to come and catch a match since we are in Seoul. We were there for Doosan Bears VS NC match on a Friday. Bought the tix about 1.5 hours before the match (6.30pm) at 32k in total. Pretty good seats. The koreans were very enthusiastic and cheering for their teams. We joined Doosan Bear fans and boy, we had sooooo much fun! We were cheering alongside with them and I quickly became a fan! There were lots of fried chicken sold outside as well as beer! The match ended at 9.30pm but it didn’t feel long for us. Would love to be there again!"
9,4.0,"It was our first baseball match, and we decided to go for Twins vs. Bears.We know nothing about baseball, but still enjoyed the game. The atmosphere was great: continuous cheering and chanting from both supporters sides. It was great fun to witness an almost full stadium in continuous rumbling. Ticket prices range from 7,000 yo 70,000 krw.Tip: to avoid direct sunlight, pick the Bears supporters side of the stadium."
