,title,text
0,5.0,If you are a baseball fan and have never watched Asian professional baseball then add a game at Jamsil Stadium to your list. The atmosphere is festive throughout the game and the quality of play in the KBO is among the best in the world.
1,4.0,"우리팀이 이기면 더 좋겠지만 가는 것만으로도 기분이 좋아지는 야구장⚾️ 친구와, 가족과 맛있는 것을 먹으며 우리팀을 응원하고, 응원가를 부르면 쌓였던 스트레스가 모두 날아가는 것만 같다. 비시즌은 너무 괴롭다😭I feel so good whenever I go to the baseball stadium although our team loses. When I cheer for our team and sing our cheering songs eating delicious food with my friends and family, all the stress goes away. But off season is distressed😭"
2,4.0,"Headed up to Seoul to see a baseball game. Really easy to get to, subway right at the stadium. Pretty good venue, great facilities and easy to get around. Fantastic game and atmosphere with the ground. Had a really fun night, recommend getting here to see a local game if you can."
3,5.0,"Watching baseball in Korea is more about people watching. The Koreans are very into their teams and their players.  Each player has his own 'signature' song and when he comes to bat EVER fan of that team sings that batter's song. The singing is led by a head cheerleader (male) and five to six 'go go girl' cheerleaders. Each team has their own set of cheerleaders so make sure you get seats (which are cheap) to watch both sides of the field.You can bring in all the food and/or beverages you want. But there are dozens of places to eat and drink in the stadium as well.  They have beer vendors who cruise the aisles with backpack dispensers of beer and they just refill your cups for about $5.The fried chicken, no matter which vendor, is always good.Oh, the game???  It is about AAA level in the states.  Each team has at least one American who is either a pitcher or a power hitter.All in all, a MUST experience if you visit Seoul.  There are games every day of the week except Mondays throughout the season."
4,5.0,"We stayed at the InterContinental Grand Seoul Parnas and was a few stops away on the Seoul Metropolitan Subway. Very accessible!Food: I'd recommend grabbing some food before you head to your seats. My friends and I grabbed some fried chicken and beer. Once we grabbed our food, we didn't want to leave. Atmosphere: One of the most electric atmospheres at a sporting event I've ever been to. The home and visiting team take turns cheering them on and it was a sight to behold. I highly recommend watching a game if you're within season and in the area!"
5,4.0,"The baseball is the No. 1 sports in Korea. And this is the base stadium for LG Twins and Dusan Bears. It's a good place to feel the electricity.- If you are a newbie, the seat near the cheerleaders of home team zone will be great.- You can purchase various foods like chicken and beer. There's no ripoff. You don't need to buy foods before arrival.- It's an old stadium. Not that comfortable to watch the game, though."
6,4.0,"I went to the Doosan Bears vs Nexen Heroes game on 09/25/18.I'm a Korean resident who has been to many baseball games here and usually I would reserve tickets for the home team fan section using the teams ticket vendor. The Doosan Bears ticket provider is Interpark, unfortunately this ticket provider is very difficult for foreign customers and online reservation is only available in Korean and payment can only be made with a Korean Credit card, not even my trusty Check Card could work.The Interpark website is available in English but you cannot purchase Doosan tickets on this site. A different ticket provider, Ticketlink, which provides tickets for the majority of KBO teams, including the LG Twins who also play at the Jamsil Baseball Stadium allows foreign residents to purchase tickets using a check card. If you want the best seats for a Jamsil Baseball Experience and can navigate the apps then perhaps seeing the Twins is a better option.There are a lot of foreign visitors to the Jamsil Baseball Stadium and unfortunately they had to rock up and buy a ticket at the ticket office before the game. Games rarely sell out at this stadium but this was over the chuseok holiday season, so it was almost sold out. Many people in my block were foreign customers who either didn't know about the reservation system or, like me, were unsuccessful in their attempts to reserve prime seats online prior to the game.Now, most games don't sell out, so the points that I have made here about reserving tickets online won't apply to many games, only for those which are over the holiday season or during the playoffs. I anticipate that buying Doosan tickets as a walk up fan would be impossible during the playoffs. While going on just any day is good, i would recommend you go on a Saturday for the best atmosphere and experience.Jamsil Baseball Stadium usually gets a high number of away team supporters, so the stadium divides itself into sides, the first base side is where the home fans will sit and the third base (in the sun) is where the away fans, and neutrals, daytrippers etc will sit.The atmosphere is good and the fans are loud and vocal throughout the game, there really isn't anything like Korean baseball and I would recommend that any sports fan should go to experience a game. However I just couldn't get into it because we were sat with the opposition supporters and had to watch the home fans, the team I had initially come to see enjoy themselves while us unfortunate folk on the our side got no freebies and were unable to join in with the atmosphere properly.While this review may not be the most positive, it is based on my experience and yours may be totally different and under better circumstances I'm sure you'll have a great time, if you are only in Seoul while visiting Korea then a game at the Jamsil Baseball Stadium is a must. If you're able to visit other cities then I'd recommend you head to Busan for the Korea's best baseball experience with the Lotte Giants.7/10 experience at the game.0/10 for the ticket reservation system."
7,5.0,This was my first experience with baseball outside of the US and I was blown away with how loud the crowd was.I had a blast and I can’t wait to catch another game.
8,5.0,"If you like baseball, this is a fun evening out, shoulder to shoulder with LG Twins fans. Beer and food is cheap (not like US stadium inflated prices), and there's energy in the air with cheers led by a cheerleader squad for the players at bat. The fans are friendly and enthusiastic, it's a lot of fun!Buying tickets online is next to impossible for a non-Korean, so don't try, Rather, go to the stadium and queue at the ticket window, The green outfield seats are cheap and perfectly fine. The red seats down the baselines are also cheap, and put you closer to the cheerleader action. Buy some thundersticks, pick a team to root for, and have a blast!"
9,5.0,"We lucked out in getting amazing seats in outfield section 414 for the LG Twins vs Nexcen game. All for 9,000₩ a piece, we enjoyed the best of the hometown crowd, to include having a huge banner drawn overtop everyone. As English speakers we couldn't follow the words but we got into it, and sang along what it sounded like to us. The Twins didn't disappoint with a grand slam and double homer. They won the game and my heart. I'm now a proud owner of retired #9 Lee Byung-kyu shirt. Am incredible memory of my trip to Seoul."
10,4.0,"Great stadium and great fun watching the communal singing and chanting for each team. Baseball is not major league, but good. Take your own food or buy relatively cheaply in the ground. Was just a fun few hours."
11,5.0,It's so lively and fun throughout the game. Tickets can be purchased few hours before the game it is super easy even for foreigners or if you can't read hangul you can get by just pointing out your desirable seat.
12,5.0,"I went to watch the baseball match between the LG Twins and NC Dinos. The atmosphere was amazing! There cheerleaders and each baseball player had their own specific cheering song. I also tried the famous chimaek aka korean fried chicken and beer combi there and it was very delicious. The stadium is outdoors and the weather was great as I went during spring. Would definitely recommend everyone to watch a baseball game there! Also, you can buy the tickets on the spot and it is not expensive, about 12,000 KRW for a relatively good seat."
13,5.0,"The outside vendors are great, the convenience stores are plentiful, and the games are fun. Going to Jamsil is one of my favorite things to do in Seoul."
14,4.0,"I don't particularly like baseball,  but the atmosphere at these games is infectious. The crowd chant continously, cheer leaders dance, people drink beer and the fried chicken is everywhere. Good priced tickets and this is one of the biggest stadiums in Seoul.  Only downside is that it's not that central location in Seoul and pre booking  doesn't have a good English service. However you can often get cheaper seats if  you get there early enough.  But still try to arrive at least an hour  before the game starts on the day to ensure tickets. The game of baseball wasn't great but the memories and fun with the crowd was amazing."
15,5.0,Went to watch to the Doosan Bears and LG Twins. Really nice ball park. Very fun crowd and they have guys that have backpack draft beer!  Great atmosphere and easy to buy tickets. If you want baseball in Korea this is a must
16,5.0,"Highlight of the trip for sure.  We were told by our concierge that since baseball is South Koreas favorite sport games sell out a week in advance and we would have to buy tickets from someone outside (we never saw this).  I did some research and in order to purchase in advance online you need a Korean ID number, so we had no choice but to take our chances at the game.  We took the metro and it was super easy, with the Sports Complex stop right outside the stadium.  We arrived about 30min early and there was a huge crowd as expected, and people selling a large variety of food outdoors.  I was a little perplexed by this as many people were buying food- I learned later that you can bring in outside food and go in and out with your ticket.  We found the ticket office and there were long lines, but they moved fast.  We bought outfield tickets (~$8USD) which we learned were first come first serve, so all the seats were either being held (people buying food outdoors) or occupied.  If you sit in this section come early as we had to stand, with many others, until seats came available in the 6th inning...  The atmosphere was amazing!  When your team is at bat the crowd sings different songs, you get a show within a show!  There is no announcer, which I thought was strange and the pitching was not great, but we enjoyed ourselves tremendously. I would highly recommend this, GO BEARS!!"
17,5.0,I had the opportunity to watch a baseball game at the stadium. And what an experience it was. They have cheerleaders and cheers for their respective teams. The beer at the ballpark is very inexpensive. 1 L of beer is $3.50 or 3500 Won. If you're too lazy to go find food they have an app where someone will deliver the food to your seat.
18,5.0,"Korean baseball is something to behold - the crowds sing non-stop through the entire game (over 3 hours) led by the cheerleading team.Unlike US baseball, the Korean crowds are so passionate and noisy - my ears were ringing by the end of the game. They are also so friendly - even helping with a few words to the myriad of songs.Broader entertainment is also fun including the focus on a couple on the crowd to kiss as well as prizes for best dancers and a competition for who can down a beer quickest - through a straw...Can't wait to go on my next visit. Best seats are with whoever is the home team (Doosan or LG) and sit in the tier just above the cheerleaders (see photos).  This is usually around 1st base."
19,5.0,"Decided to catch a baseball match in Seoul. It was totally awesome...the match, the crowd, the cheerleaders! We just sing along and cheer for the team and members we are supporting.There were prizes given out as well. The 3.5 hours was truly amazing and an experience. Definitely going for more matches if I happen to be there when there is a match.How to buy the ticket: This was the most challenging part as I tried to search high and low only to realize that only local are able to book the ticket online. The ticket booth will open 2 hours before the match so be there slightly early to grab the tickets. You need to choose the team you want to support before getting the ticket so that you will know which side you will be sitting. You will be able to see the game clearly if you are seated at the VIP zone or table zone. If you wanted to see both the game and cheerleaders, then blue zone will be good. If you wants to be nearer to the cheerleader, choose the red zone."
20,5.0,"Tickets are cheap, food is interesting, and the show the fans put on is entertaining. Throw in the fact that you can BYOB, and you've got a great way to spend an evening for any budget. Stadium is clean, convenient to reach, and staffed with friendly faces. I'd recommend it to anyone visiting Seoul."
