,title,text
0,5.0,"Really beautifully Tempel with lot of flower work in the courtyard. Impressing contrast of old temples with modern high rise buildings in the surrounding.Not much time needed here, but worth a stop for 15 to 20 minutes"
1,5.0,I am a Christian but I could not help visiting this wonderful Temple.  Buddhists are very friendly people.  Everyone should explore culture and visit this Temple.
2,5.0,"The temple is very important for Korea, and has a long, and complicated, history in Seoul. Active and interesting."
3,3.0,"We visited on a Monday, when the museum is closed. The temple is worth seeing, and it's in central Seoul near the main palace and the US Embassy. But without a guide, it was hard to understand what was what between the different buildings. It was hard to find a pamphlet in English (though there is a pavilion we eventually found that had a little brochure in English).  Beautiful temple, but it was not the highlight of our visit because we didn't learn as much as other places we went."
4,5.0,The Buddhist temple was amazing!  It's incredible how well the grounds were kept and we even got to see the monks conducting a service.
5,5.0,"Great time viewing the temple rooms, making crafts, traditional Korean soy flour cookies and sharing tea/experiences with one of the nuns."
6,4.0,"Easy to find Buddhist temple. Piece of quiet on busy world. Friendly monks. If you are there during the working day is quiet  but when monks are meditating start to be quiet crowded. Nice and colourful. Monks are offering to stay with them for one day, but this need to be booked separately in advance by the temple website. Web is also available in English. Nice place to visit also with young children."
7,5.0,Got by chance to visit Temple art shop where to decorate lotus flowers. the place is nicely peaceful and free tea time.
8,4.0,"Considered as the most important temple of Korean Buddhism, this temple hosts many religious ceremonies, rituals all over the year including the Lantern festival. There is a huge praying hall, where anyone can pray, and one can see lot of local population visiting and praying. The temple complex also has a small garden.This temple is right in the heart of the city and can be clubbed with visit to Buckchon Hanok Village or G Palace."
9,5.0,Temple with big golden Buddha statue. But the best part of this temple are the flowers! The colourful flowers are beautifully arranged around the temple.
10,5.0,We fit a visit in to see this after visiting the Bukchon Hanok Village nearby.  The floral arrangements and sculpted hedges of elephants and dragons were unexpected. Seeing all the worshippers praying to three massive Buddhas is awe inspiring.
11,5.0,"I was really amazed by this place. It was my first time seeing such huge buddha statues, it was very imposing and majestic. We enjoyed it so much that we went two times during our trip. The first time we arrived at an hour which was filled with people in the terrace, on their knees, praying, hearing the monk speak over the microphone. Watching them being so devote and praying and ... it was just an amazing thing to see. The second time we went it was emptier, but still some people praying inside. We stayed outside - for respect- and had time to meditate and to take it all in. A must."
12,3.0,"Part of a group tour. A quite typical temple. nice lotus flowers. We visited this place in a very hot day. With kids. I would say, not for kids."
13,5.0,Instagram worthy as there are so many great visuals here if the temple is not interesting to you. We loved it all and stayed for an hour when it is about 5-10 min type of visit
14,5.0,"This was a breath of fresh air in the touristy district of Insadong. Stepping into the grounds, you are greeted by a profusion of lotus flowers. We were there during prayer time, so we did not go inside the main temple but stood outside, looking in and touring the grounds. Wish we could have seen the Buddhas up close. This is a pretty peaceful, refreshing spot in the middle of a busy city.There are a lot of pictorial opportunities here - from the statues to the flowers to the temple architecture and colorful grounds. Would love to see this place during the Lantern Festival. What a beautiful place!"
15,5.0,"when we visited prayers were going on, it seems some renovation is  going on too. it is not a huge temple but still loved it.  very beautiful"
16,3.0,"There are certainly better temples to see in Seoul.  I thought it was interesting, but overall a waste of time to see."
17,5.0,Even when it is restorations across the place it is a wonderful place to meet locals praying so you can get a reference how one of the main religions behave.
18,5.0,My family and I were fortunate enough to visit the Jogyesa Temple while a Buddhist service was going on.  Both the Temple and the service were beautiful and inspiring.  One the most interesting things to do in Seoul and potentially the most spiritual (if you happen to catch it during a service).
19,4.0,Jogyesa temple was the only temple we visited in Seoul as it was close to our hotel. The temple was being prepared for the upcoming Buddha's birthday celebration with lot of colourful lanterns. There were lot of local worshippers inside the temple. Its worth a short visit.
20,3.0,Jogyesa temple is an interesting place to visit as the colourful lanterns will make wonderful pictures.
21,5.0,This gem of Buddhist history is centrally located in Seoul and is close to many other attractions. The best time is to go just before or during Buddha's birthday when the temple is festooned with colorful lanterns.
22,4.0,"This is the headquarters of Jogyejong which is one branch of Korean Buddhism.The main hall is really big. But, other areas aren't much. Place for Buddhists rather than tourists.- The accessibility is quite nice unlike most other mountain-area temples of Korea. Walkable distance from metro line #5 Gwanghwamun and line #3 Anguk. Taking a look for about half an hour will be okay for tourists.- 4 guardians at the gate are made of steel and each one weighs 1 ton. Good to take a look.- There are huge trees, souvenir shops, the main hall, praying rooms, a museum, etc.- There's the first-ever post office of Korea locating nearby which is currently a museum.- Across the street, there's the temple stay office where visitors can get help."
23,4.0,"A nice experience with my son, an interesting arcitechture, history and religuous place. Interesting with all the People inside praying and study budism. I my reach the first grade of Nirvana :) it is Worth a visit :)"
24,4.0,"If you are passing by, pop in - I wouldn't travel hours to see it.There is a nice vibe and no-one minds tourists being here."
25,5.0,"I saw colourful flowers, monkey king and Korean traditional roof, so jumped out of the bus without knowing what this place was. What a nice surprise! There were huge 3 golden budah, tower... small crowded place with many people praying for their children (heard about a National University Entrance Exam in few weeks). But I enjoyed colourful flowers, decorated cartoon characters, beautiful Korean traditional buildings. Very close to InSa-dong and Palaces in central Seoul. It is free."
26,5.0,"The temple itself was beautiful and gives you a glimpse of the religious of South Korea but during the Chrysanthemum festival, it looks even more beautiful. Tons and tons of different shades of chrysanthemums are made into different shapes and characters to create a beautiful display.  There was so much to see and so many things to take pictures of. If youre planning to come to Korea in autumn, definitely dont miss this temple especially when the flowers are setup already"
27,5.0,Very picturesque!  Architecture is quite impressive.  This is an active  temple where you can see monks and worshipers praying.
28,5.0,"A temple in the middle of the city, surrounded by all busy streets. As soon as you go inside, it is a different world with peace and calm enviornment. Magnifient building with beutiful flowers around the temple."
29,4.0,Smack dab in the bustling city of Seoul is this beautiful temple - the headquarters for all temples around Korea. Despite its location and the crowds there's this serenity... the lotus garden is absolutely gorgeous... i could have just spent hours just sitting there and watching the people come to pray and worship...
30,5.0,you need to visit here if you like statues or budhas. we went all over the grounds and loved the statues.
