,title,text
0,4.0,"My family and I visited this shrine and were impressed with the beauty and history of the site that was easily accessible using public transportation and the price was affordable.  It can get hot, especially since the shrines are in wide-open spaces paved with stone, but the paths leading to the shrines are in the shade."
1,5.0,"The royal memorial site was filled with history and gorgeous outdoor scenery while still being centrally located within Seoul. Although we had to visit with a tour guide, I really enjoyed having someone so knowledgeable lead us around, teaching us about the historical significance of this special place. My son enjoyed being outdoors and made a game of avoiding stepping on the spirits’ pathway that runs through the property."
2,5.0,"Entrance to the Jongmyo (Chongmyo) Shrine usually requires a guided walking tour which takes roughly an hour. Timing was on our side as we arrived fifteen minutes before the start of the English walking tour at 2pm. I loved how low-key sassy our guide was as she inserted some colorful comments in her informative spiel. Watch out for the cobbled pathway as the middle column is reserved for ancestral spirits to pass by! Upon hearing about this, everyone from our group was so scared of stepping on the wrong lane that we'd just wait for the guide to walk first, and simply pattern our steps after hers.Entrance to this UNESCO World Heritage site is included in the all-palace access ticket that's worth 10000 KRW."
3,4.0,"Only guided tours ate allowed here. This is sacred to them so it really needs to be respected. We waited for the English tour for about 30 minutes.The tour lasts for about an hour. It was quite informative. The whole grounds was beautiful quiet and relaxing. If you ate coming here, you schedule it with the other nearby palaces in one day. Just be ready for a full day's walk."
4,4.0,Please check the time before go as only tour is allow. Anywhere it's a free tour. We are lucky as we know chinese and english cause the tour is 1 hours each switch between chinese and english. Even though not able to enter the shrine building but the view is nice and we got a lot of history information of Korea.
5,4.0,"The buildings and scenery are very calming and serene. Walk through the park and imagine the spirits walking next to you. There's a short 13 min movie that plays on a loop in the park to educate you on the history. The cost for my wife, son and I was about $3 us. Sat and Mon you don't need a guide. All other days you do. Glad we did it."
6,3.0,"KRW 1000 (US$1) admission.  Free tours in English most days of the week beginning at noon.  If staying nearby, this makes an excellent first stop since the guide explains much of ancient Korean history, belief and culture.  Will add context to the rest of your sightseeing!"
7,3.0,"We lucked out on the timing of our visit as we arrived a few minutes before a tour (in English) was due to start. (From what I could tell they only offer one to two tours a day in English with the rest being in Korean) Anyway, attending a tour is the only way to see the shrine as entry is extremely limited due to the sacred nature of the site. While our guide did her best to explain to us the historical and spiritual significance of this place, she spoke so rapidly and with such an accent we were lucky to catch even a word or two every sentence. Not her fault as her English was much better than our Korean but it really detracted from the overall experience. Overall, an audio guide tour with docents along the way ensuring you did not trod in any incorrect stones, would have gone over much better. (There are quite a few places where you are not allowed to walk as they are reserved for the spirits of the predeceased Joseon kings and queens.) TIP: instead of paying for each site individually (palace or shrine), buy a multi-pack which gives you access to many sites for a much lower price as is good for 3 months."
8,5.0,"Was very lucky to arrive in time for a free Mandrin Guided Tour provided by the Jongmyo Shrine. The very talented guide 李圣林小姐 have us a very educational tour throughout the shrine for about 90min. There were plenty of photo opportunities. Thanks to the morning snow as it provided a very different texture to the whole landscape. Do remember to bring wide angle lens or you will not be able  to cover the whole length of the shrines. The guide gave vivid description and explanations of the buildings, the historical stories, the people involved and significance of the shrine. We enjoyed the tour,the friendliness of the guide and cery beautiful scenes for nice photos. As there's only one toilet nearer to the exit. So do be prepared as the whole compound is pretty big. A full 2 hours may be adequate for the trip."
9,4.0,"Jongmyo Shrine is a nice place, easy to get there and the guided tour is around 60 minutes. It is interesting to know the history and culture of Korean ancients.We have been there in the winter, but we saw some pictures during the Spring and it shall be awesome."
10,4.0,"It is definitely something neat and historical to see in Seoul, but the downside is that you have to take a guided tour of it. I would have preferred to walk through at my own pace and see it. The tour was a bit too long for my liking."
