,title,text
0,3.0,"Compare to Japanese train, KTX has room for improvement.  Luggage space is limited, toilet are not clean."
1,5.0,"If you don’t like long lines at the airport and all the chaos then I highly recommend taking the KTX Train around Korea. It’s convenient, fast, clean and comfortable and priced just right. KTX is always my first choice ❤️🚄"
2,4.0,Time taken to travel from one place to another was very fast! Pressure keeps building up in my ears. Instructions were clear. Information on train tickets and at railway stations are easy to understand for english. Train rides are very quiet despite being full. Some places need to book tickets earlier as they run out of seats e.g. from jeonju to busan (through osong) and trains from yongsan to jeonju. Some time slots were already fully booked when we tried to book about 4 days in advance.
3,4.0,"Booked the ticket online for Busan to Seoul sector, well in advance. The process was smooth as there were instructions in English. The train was punctual and the compartment was neat and clean. You can pick up packed food from counters at the station. There is a place at the entry point of the compartment where you can store your luggage"
4,5.0,"We took the KTX from Daegu to Seoul, but this time the one that made several local stops. It took 1 hour and 45’, but better to take the non-stop that takes only 1 hour and 15’. It is definitely faster than regular train and bus."
5,4.0,We used the KTX a couple of times and in overall very satisfied with it. Be aware that if you try to get a last minute tickets you might not find it on rush hour.
6,4.0,"Very efficient way to travel through Korea ,fast and very punctual.Very fast loading of passengers."
7,5.0,"My previous opinion hasn't altered.KTX remains terrific and the best way to see South Korea internally.Buy a KORAIL pass and soak up teh savings, plus upgrade to 1st class 2 plus 1 seating and free snacks for about KRW15000 extra one way Busan to Seoul.My train on that route was 18 cars and full capacity about 1870 passengers.  Heaps join enroute on the stopping trains.it's essential to reserve seats in advance.Stations have lots of food and shopping options, and are clean."
8,5.0,"Foreigners are able to buy a variety of travel pass options.Check your travel plans to see if it's cost effective or just buy tickets as required.Trains were amazing. Clean, punctual to the minute."
9,4.0,We got the train in the evening down to Busan. Getting to the tracks was fine in Seoul station and getting tickets was easy. Actually it would have been cheaper and less time to get a plane but the timings didn’t work! We were glad though we got to experience Korean train journey! The seats were comfortable in first class and we were given a small snack (a cake and some nuts). Comfortable journey.
10,4.0,We had the earliest train! I really liked that it wasn't crowded. KTX is on time and clean. What i didn't like was that the tv was quite loud and it didn't have airco
11,5.0,"Clean, spacious,  easy to book and very comfortable seats . All that you need to travel from  City to City. Can highly recommend."
12,4.0,"This is so nice. Just book your train and seats in their portal, you can easily change your tickets and get a refund in case you made a mistake or just want another train, trains are very clean and always in time. Staff shows big respect for their clients. Example for the rest of the world. And there you go, with 300km an hour, as fast as a F1 car."
13,5.0,"What a fast and efficient service, we could learn a lot from the way that they run their transport system. It got up to 300 per hour, which was a delight"
14,5.0,"Find your car# and then your seat within the car. From Seoul to Busan seats 9-16 are forward facing and 1-8 are backwards facing. From Busan to Seoul seats 1-8 are forward facing and 9-16 are backwards facing. Easy and comfortable way to get between these 2 cities. Get to the platform 30 mins early if you have big luggage and stow in between each car. Book tickets online at LetsKorail.com. If you get a seat facing backwards, just refresh the browser/restart the process again so a new seat# is assigned. To get a non-stop train, check the times to make sure that the train travel time is 2.5 hours. The stops don’t really add much time though and it’s still quick and efficient."
15,4.0,"it was like any other train, much faster that the other local trains. expectation was of a super fast train but this was not even close."
16,5.0,"We traveled from Busan to Seoul. Our first class seats were comfortable. Though we had the help of local friends, the process of checking in and finding the right location seemed easy. We were hoping to see a lot of the countryside, but we quickly discovered that South Korea is a nation of tunnels, and much of the ride is inside tunnels."
17,3.0,"Taking the train from Seoul to Busan now.After having taken 6 trips on China's High Speed train, this Korean train is certainly not a high speed train. It is just a normal train with limited stops. Trains are a bit dated although the cabin is clean. But toilet outdated. Average speed is about 100 kmp. A bullet train speed in China is between 200 to 310. So don't be mistaken the KTX for a bullet train."
18,5.0,"I love traveling by train and our experience on KTX was exceptional.  We traveled from Seoul to Busan in southern South Korea and it was a dream.  The train was inexpensive, fast and clean...I would rate this above any airline any day of the week.  You get to see the countryside and relax in comfort with your assigned seat...a terrific way to travel."
19,3.0,"I've struggled to book a ticket online from the US (east coast) as the website kept throwing reservation errors. It turns the transactions only go through during Korean business hours. If anyone else had this problem, simply wait until it's late (like midnight).  But you will not be able to choose your seat."
20,5.0,Quick clean fast and comfortable and only 41 minutes from the city centre and at around £6.00 per journey it’s a real winner
