,title,text
0,5.0,"nice n convenient to other town. ticket easily to purchase at ticket machine, english n chinese version display."
1,4.0,"The KTX is just fast, reaching 300kmph speed. Our trip from Seoul to Busan (and the return journey) left in time, calling at the stops as scheduled. Thats about it. Having travelled on the equally fast Eurostar, TGV, ICE and the Renfe trains, I rank KTX below them from the experience viewpoint. Seats are comfy enough but personally the interior could be better. I did not find any buffet car to enjoy the coffee and cakes and the scenery is not that great (of course I do not compare with the likes of the Glacier Express). If you are a train buff, “Man in seat 61” website would give you an insight for comparison."
2,4.0,"Been on our own traveling to and fro Seoul and Busan. The train is well kept and have storage areas for large luggages. Clean toilets and comfortable seats. It takes us nearly  3 hours to go to Busan. There is am space for hand bags and also hanging our coats. The frequency of train is good . From11 am to 16:30, it is nearly every hour or event every 20 min per train. Train leaves punctually, so be at right platform 15 min before. Food bought outside can be consumed at the train."
3,5.0,"Booked over the counter and asked for seats near luggage. Were given excellent seats, ample space for luggage and very spacious. If you have large suitcases, take 1st class and ask for seats near luggage."
4,4.0,"If you're travelling with family with kids and luggages, this is the best option for you. It's fast, cheaper than taxi and easy. If you took Korean Air airline then you will get additional discount. Kids below 3 ride for free but they won't get a seat. KTX brings you from airport to Seoul Station which is 5 mins taxi away from Myeongdong."
5,5.0,"We chose to travel by high speed rail from Busan to Seoul and it turned out to be a great idea. Our hotel in Busan was just next door to the station so it was very convenient. The train station is tidy and offer breakfast choices. The train is also comfortable, clean, fast and on time."
6,4.0,It's really convenient to travel from Seoul to Busan by KTX. It's a rapid train. There are storage for luggages. The toilet was clean.
7,5.0,Not like European trains. KTX is on-time. Never saw a single delay on the board. Travelled 1st to Busan from Seoul. Got a biscuit and a bag labelled ”Welcome nuts”.
8,5.0,The train is as good as Singapore.. The on;y unique thing about KTX are the platform.. you will see vendo machine and even vendors selling stuff and food which I find it cool :) unlike other strict country trains... Plus the train as this eucalyptus smell on all the trains.. or maybe because it s winter and the heater has this scent.
9,5.0,We took this train from Seoul to Gyeongju and it was excellent. It cost $80 round trip and made the trek in 2 hours each way vs 5 hours by car.  It is Korea’s bullet train and can reach very high speeds. It is THE smoothest train I have ever been on. We recommend it highly.
10,5.0,Took train from Seoul to Busan. The 2.5 hour trip was very comfortable. Trains are very clean and fast. Seats recline and plenty of legroom. Electrical outlet is provided so charging your phone or laptop is a breeze. Complimentary wifi is provided and it worked well throughout the trip. Toilets are clean too. Highly recommended.
11,3.0,"Ensure tickets are purchased for front facing or it would be uncomfortable. Lift to platform is tiny and allow time if you do not want to use the stairs especially when you have luggage. The steps up the train with luggage can be challenging too. Doesn't help when most staff speak only Korean. Luggage compartment for bigger luggage is very small and you may end up having luggage in another cabin if you come late. Train speed is not uniform and for shorter distance between stations, speed is slowed down. We spent 2.5 hours Seoul to Busan but 3 over hours from Busan to Seoul so please note when you purchase tickets, some timings would have more stops. Toilets available in train but hygiene is not there. Only some seats have sockets to charge your gadgets."
12,5.0,"We purchased the Korail Pass and found the website easy to use.  After purchase, it was simple to book our tickets for each leg of our trip.  Car and seat number were clearly printed on our tickets.  The website said to print both the pass and tickets but no one ever asked us to see them.  The trains were well maintained, comfortable, on time and fast.  Luggage racks were located at the end of the cars and were able to accommodate our large suitcases.  Luckily we we’re able find space on each leg so we did not need to lug them to our seats.  Our seats had foot rests, overhead storage and reclined.  The trains were comparable to the Shinkansen in Japan.The ride was smooth with limited stops which allowed us to sleep most of the way.  Announcements, as well as LED displays, gave heads up on stations in multiple languages so we had good awareness on our location.The Busan, Seoul and Shinyeongju stations were big and busy but not too difficult to navigate.  Each had waiting areas but you could walk to the designated track, even if the trains were not boarding, as there were no ticket takers or gates.  With the exception of Shinyeongju, the stations were conveniently located in the heart of the cities we visited.In summary, the KTX was a great way to travel around Korea without the need to hop on a plane."
13,5.0,"Although more expensive than taking the bus or the regular train, we're happy that we opted to take the KTX to and from Gwangyeong - it was faster and more comfortable."
14,5.0,"If you think HK and SG were great, try Korea! By far the most complex railway system I have seen thus far, if you need to go around Korea, going by train is the best way to do it! Very efficient, fast and they can bring you all over the place! You have to purchase a T-Money card in order to ride. The good thing about the T-Money card, it can be also used on buses, taxis and even some establishments. You can pickup your T-Money card at any convenience store around Korea."
15,5.0,"The ITX train we rode on going to Gapyeong was amazing. It had +20 carts and had upper and lower levels. The seats had ample legroom and could be turned to face the opposite direction, which is good for groups of four if you want to spend most of the ride chatting. There were clean bathrooms and the doors were automatic. I'm glad I was able to experience the ITX rather than taking the bus on my way to Nami Island, Petite France, and Garden of Morning Calm."
16,5.0,"We really enjoyed our trip on the KTX from Seoul to Busan and back. It was fast, efficient, clean, comfortable, and a good way to see some of the Korean landscape outside of the main cities. Onboard wifi and USB charging ports are a bonus.However, the ticketing and seat booking process is somewhat confusing - despite pre-purchasing our passes, we had to sort out our tickets once we were in Seoul as we were travelling with kids and both the website and phone customer service was unclear. Also, seats at popular times at popular times book out quickly, so do this earlier if you can."
17,5.0,"What an amazing experience to drove at 300km/h through the midlands of Korea. Changwon to Seoul. Stations are clean and tidy, so are the trains"
18,5.0,Very fast and efficient.We used the first class carriage which was roomy and comfortable.each seat had USB & socket charging points.
19,4.0,Took the train service from Daejeon and Seoul and it was an extremely smooth ride. Seats were comfortable and there was wifi on board. Trains generally ran on time and You could get tickets online or at the train station itself. Just a point to note that it’s best to buy your return ticket ahead of time because certain routes are very popular and it might be inconvenient if you do not manage to get a ticket which entitles you to a seat because it means standing in the small space between train carriages
20,5.0,"Inchon Airport has signs, and the ticket counter has English Speaking clerks. Trains can be local (stops before Seoul) or Express (non-stop). Very clean, modern, inexpensive."
21,5.0,"Caught the KTX from Busan to Seoul and back again. Annoucements at the KTX stations are in Englih so it's easy to find the right platform when the time comes.The trains departed on the dot (so don't be late), the seats were comfy and clean.Travel time is apporx. 2.5 hours in each direction.There's a movie called ""Train to Busan"" which was a hit - catch it if you can, you don't have to know Korean to enjoy it."
22,5.0,"Best way to go from Seoul to Busan. Train is clean and efficient. Timing is really on the dot, don’t be late :)"
23,3.0,"wanted to try this fast train just to compare with shinkansen and tgv. the interior is just like a regular train, but it helped us to arrive in Busan only <3 hours."
24,4.0,"Leaves every 30-40 mins, English spoken at ticket counters, refund on plastic card/ticket at end of use. Comfy and clean train. Make sure you get on the one that has only one stop."
25,5.0,Trains and subways are very easy to use and much cheaper than taxis. You can get a subway/train card and load money on it as needed.
26,5.0,"Took a train from Busan to Seoul. Ticket priced at 59,800 won per pax for economy class.Train depart on time and it’s very clean and cosy ride. Instead of taking domestic flight, this is another option to consider.Merry Xmas!"
27,5.0,"Going off from the title, I was relax and have my own time, but because it was so comfortable, my 2 hour ride felt like 10 minutes and helped me realize the simplicity and benefits of riding this. 10/10 definitely would recommend to others."
