,title,text
0,4.0,Travelled on KTX to Pyeongchang and the ride is very smooth and comfortable. The KTX App is available in english and it's easy to search and book for your tickets using the app. Book your tickets earlier if you are travelling during the peak season so that you can get a seat.
1,3.0,Fastest way to go to Busan. Clean and spacious inside with free WiFi. Do not expect the bulletin Train like in Japan.
2,5.0,Took the KTX train to Busan (no pun intended). The whole experience was like clock work. Tickets were easy to pre-purchase. Only suggestion would be to purchase the food on the platform rather than commercial options in the plaza.
3,5.0,"The most convenient way to travel to Busan. Ride first class, free water and some mix nuts and cookies."
4,5.0,"We took the KTX bullet Train from Seoul to Gyeongiu ( 2 hour trip),where stayed for a day. We also took the train from Busan back to Seoul ( 2 and one half hour trip).  Tickets and and picks were arranged by our travel agent Kate DeLosso. Tickets seemed to cost about 49-59,000 WON each. We were a little concerned about communication once we were dropped off at the outbound station, but this was unfounded because the information desk was quite helpful and signs for the trains and tracks were clearly marked in English. There were elevators/steps/escalators to get to the tracks. We had to use the elevator because of our suitcases. The trains were on time on both occasions. I loved that seats were assigned. Trains were clean. There were a group school kids in our train car, going on field trips, on our first train. They were the friendliest group of kids I have met, trying to engage us in small talks. Great way to move from city to city in South Korea. My only hang up was lugging the suitcase and bag. It was a good experience (unlike our bullet train ride from London to Paris and back, broke down twice, and no apologies). I would recommend the KTX train if you plan to visit these cities."
5,5.0,"We took KTX from incheon airport to Seoul station to Busan.  It was on a Monday.  I read that we can go directly from incheon airport to Busan but that wasn't true.  We had to buy a ticket to Seoul Station first.  They have discounts if you traveled with one of the Korean air carriers at the kiosks.  Kiosks are easy to navigate in English. Or  They also have a special at the desk,  three people for 24000 won.  At Seoul station,  you have to go up to the second floor and buy tickets at the kiosks. The desk lines are slow.  The train tracks area are easily marked with numbers.  The tickets have a cabin number and seat number on it.  They can be strict about it if you aren't in the correct cabin. There is a bathroom on the train and luggage storage. They do random ticket check on boardIncheon airport to Seoul station takes about 35 minutes. Then We bought the fastest to Busan,  2.5 hours.  ~59800 won each. No discount I believe."
6,5.0,We took the Busan-Seoul route. It was a very quick and comfortable ride. The seats are comfortable and the train is very clean.
7,5.0,The price isn't cheap but it takes you where you need in a fast and comfortable way. Large seats. Respect timetable.
8,4.0,"You can book online which ia slightly cheaper, however i would suggest you to pay slightly more (than online fare) - arrive at the station and decide the next departure. You can easily book your train. There are many trains for you to choose according to the time you prefer. There are lots of food and convenient store around the station.The train leaves and arrive on time"
9,4.0,"We took KTX twice, once from Pyeongchang to Seoul and then from Seoul to Busan. The train was absolutely on time, clean as a whistle and had comfortable seating. The main difference between these trains and the ones in Taiwan is that in Taiwan they serve tea or juice on the longer runs and in Korea they did not, but this is not really a problem. Just bring your own. The stations were large and open, capable of handling high volumes of traffic efficiently. The signage was generally very good, with English signs for Europeans and signs in Chinese and Japanese as well. The language diversity of the train system was laudable. I would gladly travel this way again. It offers a much better chance to see the country than flying."
10,4.0,"Our guide took care of the tickets and all that, so I can't say if it is easy to get tickets. But the trains are comfortable, there is information in English. There are power outlets so you can charge your phone."
11,3.0,"This train service is the fastest train in Korea, they can reach speed above 270 KM/H but unfortunately this service is not running in dedicated line but sharing with other train service. If you have sensitive ear than maybe a problem with with your ear. Seat is decent in terms of pitch and width."
12,4.0,"This is an excellent train company, at least on the two long distance trips that I took. The trains were impressively clean and on time. The costs are also very reasonable. The bullet train was impressively quick and handy for the centre of Busan and Seoul."
13,4.0,"The first time to take KTX from Seoul to Busan, efficiency with a high speed. Comfortable seats that are good for sleep in the morning or the midnight."
14,5.0,"At speeds reaching 295 km/hr, I found this an amazing way to travel Korea. Train was on time. Easy and relatively inexpensive ticketing. Clean. Great layout at stations. Seats with phone charging ability. Snack vending machines and toilets on board."
15,5.0,"fast, convenient, extremely clean, great impression of the Korean countryside, unforgettable experience"
16,5.0,"I caught the KTX train to Busan. It was easy to manage at the station as the signs were very clear, we had numbered seats which were very comfortable. This is definitely the way to move around quickly."
17,5.0,"I travelled from Seoul to Busan round trip in October on the KTX,  The trip was easy to book online and left and returned to Seoul Station.  If you catch a taxi and have luggage, be sure to ask the driver to drop you close to the elevator at Seoul Station.  Train travel is  a lot more relaxing than flying, having to be at the airport early, and having to deal with standing in lines for security and collecting your luggage.   All train stops are announced in five languages."
18,4.0,"the ride was enjoyable. I was able to enjoy some nice scenery on the way to Busan. Even though, we choose the economy seat, it was very clean and quite spacious."
19,5.0,"We took the KTX from Seoul to Pusan (Busan).  Our hosts paid for our tickets and we went 1st Class.  It was very spacious and comfortable.  There are great views of the Korean countryside, which is very pleasant, especially the rice paddy fields.  The train is quiet and you don't realise how fast you are going until you pass a train coming in the opposite direction.  With both trains travelling at close to 300 km/hr, a 200-metre long train flashes by in less than 1 second."
20,4.0,"I use the KTX for business trips.  The trains are punctual.  Once in the train, the car seats are comfortable.  Would be great if they had charging stations.  Otherwise, the KTX is a great comfortable ride when traveling in Korea city to city."
21,5.0,"travel a few time with the ktx and i like it a lot, it cost a lot more then normal train but you are much faster at you destination. second class is realy good, enough legg space, ...toillets are clean, free wifi,i recoment it for sure if you travel far."
22,5.0,"A very comfortable ride to Busan. It was on time. If the tickte shows the departure time is 6am, the train's door will be closed at 6 am."
23,5.0,"Fast, clean, and friendly staffs. I am shocked by the fact that the staff did not even check our tickets. I love how they easily believe in people. I feel so safe and welcome along the trip."
24,4.0,"Totally smooth travel from Seoul to Daegu.it also provides wifi and power points.if you're going to daegu or seoul, the KTX is the way to go"
25,5.0,"Book tru changiwifi (SG) 3 day KTX Seoul to Busan. After confirmation, we reserved our date, time and seat no tru KTX direct website. We can straightaway print their train tickets(showing train no.)Actual day, 20 min before departure, check the station board which track is your train.(No need to go to KTX counter)Limited luggage rack. Best to travel light.On board staff never check our train tickets and depart on schedule.KTX train stop abt 5 station in between. It took 3 hr ride.Return to Seoul, we reserved 1 day in advance the date & time at KTX counter, paying about SGD15 for first class seat which more comfy/snack/drinks available (free). 30 min before departure, just check which track is your train no. on.Travel Light!!..."
26,5.0,"If you want a faster way to go to seoul from incheon airport, hop on to ktx. It's very comfortable train going to the city."
27,3.0,"There's hardly any room for luggages, though passing staff were helpful and accommodating to help us place the luggages near the doors of the train."
28,5.0,"I have taken the KTX numerous times on different connections.  The trains are always punctual to the minute, they are always clean and very comfortable.  And nobody will use his cell phone in the compartment!!!"
29,4.0,"The trains were fast and comfortable. People were allotted seats, so no mess there. I wish the train had more amenities and stayed at the stops for maybe longer durations. Otherwise, very fast and convenient."
