,title,text
0,3.0,"Lots of stalls selling common street food. Extremely crowded and be prepared for lots of shoving and pushing. Found a stall selling fish shape pancake or waffles. The couple manning the stall were very organised and thoughtful. Their pancakes had only three types of fillings - red bean, custard or pizza. Tried all three and would personally recommend the custard filling. They were very generous with the filings."
1,5.0,"We can’t get enough of the mung bean pancake. We had it twice during our visit. We also loved the mini kimbap. Their bibimbap was also quite good. If we go back to south korea, we are definitely including this market again in our itinerary. piannskitchen.com"
2,5.0,"We went there as part of our ""explore Seoul"" trip and it was worth it! The atmosphere and energy were unmatched. The ox head meat made it worth the hassle!"
3,4.0,Easy to find from subway exit 9. This market is busy with food stalls & lots of variety. An excellent way to try a little of different korean foods. Other stalls for a whole range of products & goods. Various lanes of stalls spread out so you come back to a central point then take the next avenue.
4,5.0,"We watched  Netflix show about street food of Seoul and it was a must do and see for us when we visited Seoul last week.  We managed to find the stall from the show which makes the famous mung bean pancakes 🥞. The market was so big and it felt like it wasn’t ending.  You can find anything there: food, clothes, fabric, sea food ... it’s definitely a must visit in Seoul as you will experience a real Korean culture."
5,4.0,"Came here for the knife cut noodles and mung bean pancakes. Loads of shops selling hanboks, traditional decorations and snacks."
6,4.0,"No, this is not an upscale, ultra-clean chain department store where credit cards are king -- it is a market with numerous food stalls are centered along the walkways and sellers of fish, produce, silk, souvenirs, kimchi, housegoods and junk line the walkways. For me, all the food looks alike but obviously some are better than others as they are very busy and others have no customers. When in Seoul, one really has to visit -- not necessarily buy, but at least visit."
7,4.0,"It is really just a market solely focused on FOOD! Wonderfully authentic and delicious Korean Food! The shop keepers are very friendly and welcoming and can speak a multitude of languages ranging from english, chinese and japanese, so communication really shouldn't be a problem no matter where you're from. All the food is fresh or made on the spot and you can see them prepare it. You can either take away the food or sit down at the stalls themselves to enjoy the food items. Price wise, it isn't expensive at all and you are utterly spoiled for choice of what to eat at Gwangjang market. There is a lot to see and observe and is a definite must-see location when in Seoul. I'd personally recommend ordering the kimbap, japchae, jajamyeon, pumpkin porridge, tobeokki and the kimchi pancakes!"
8,5.0,"Many stalls selling the same things, so pls read up or watch Netflix before going over. Have to try the mung beans pancake and knife noodles and dumplings. Go where the locals eat!"
9,5.0,"Although I hadn’t seen the Netflix special about this market, I loved the food and the fact that it’s not a tourist market. Well not yet 😳Yes we ate at the now famous store and had dumplings which were amazing."
