,title,text
0,5.0,"Delicious netflixfamous Mungbung pancakes, steamy hot knifecut noodles from the netflixlady, dokkbokki, soondae, soju, streetfood between locals at its top with heatwarming seats"
1,4.0,We went on New Year’s Day so only the food stalls and a few snack and clothing stalls were open. The oil stench was strong from all the mug bean pancakes and there are dozens of stalls selling pretty much the same thing but we were too I adventurous to sit down especially when we have just had lunch an hour before that. The last thing you want is to horde a couple of seats and not consume enough.
2,4.0,The market was an interesting experience to see and try out the korean street food! It is a bit crowded especially around lunch and dinner time but I think it’s worth visiting. Make sure to try the food there!!
3,4.0,worth a visit to check out the food. didn’t spend that much time here but my favourite stall was the kalguksu (knife-cut wheat flour noodles in soup) and mandu (dumplings) stall made famous by the netflix street food show (happy to report that it is worth the hype and the possible wait for seats as it’s now a hot spot for foreigners thanks to the show). it’s also a good place to shop for fabrics if that’s what you’re looking for!
4,4.0,Big markets. Lots and lots of stalls. Dry goods. Cooked food. Textiles. Linen. Toys. Souvenirs. Korean craft.  Good to explore especially during rainy day since it is covered. The textile sections on ground and upper floor is enough to make you lost. All good price. Don’t miss out the food stores. We had the noodle and dumpling at one of the Netflix street food featured stores. Not disappointed.
5,1.0,"Went with my brother to have a good experience as seen online. One of the food stall owners was very pushy and persuaded us to sit down after saying she'd give us ""service"" (free food). We ate some and asked if we could take the rest of the food away as we wanted to leave quickly, still thinking it was ""service"". Also important to note I spoke Korean though I'm not 100% fluent. I was quite naive, and at this point she added more food that we didn't ask for. I then asked how much this would all be(as it was a lot for free food) and she told me it was 16,000won. I then felt pressured into paying because she purposefully gave us a lot of food without asking. The stall owner was very old and our Korean wasn't good enough to argue with her. My brother was also feeling sick. At the time, there were a lot of people as well as the weather being very rainy and humid, so we just wanted to get away as soon as possible. Make sure to be very firm with what exactly you want to eat and always ask straightaway as to how much the food will be or make sure that the food is still ""service"" if offered."
6,5.0,"If you love traditional Korean food, this is your heaven. Don’t miss the kalguksu stall owned and operated by Yoonsun Cho, covered in Netflix’s Street Food. Yum!"
7,3.0,"It's a nice traditional market to look and walk around, but the food section is very crowded and the food selections are actually very similar although there are many stores, and the food vendors would keep trying to sell you their food and may come off as pushy and aggressive which I really felt uncomfortable with. The food selections are mainly street foods such as tteokboki, mandu, fishcake etc, the mung bean pancake I tried was average."
8,4.0,"We came here for lunch and entered on the textile entrance of the market.  About halfway into the building is when we finally started to  see the food stalls.  The first stop was a fish  cake stall where we ordered two, each W1000.  Both came impaled on a stick along with a cup of broth.  Both types of fish cakes were decent and the soup was flavorful.We were still on the hunt for a good lunch spot when we came across a stand with a large photo of Netflix on it.  It turned out to be one of the vendors, Yoonsun Cho, showcased on an episode of Street Food.  It was food stall #70 and had one of the largest seating areas which was a stand-alone stall surrounding the cooking and prep areas compared to all the others we walked by.  We had to wait about ten minutes before a bench opened to accommodate the whole family.  During the interim we watched her make some of her hand cut noodles and prep a number of bowls.  Everything we tried was very good from the kimchi mandu to the hand cut noodle and the cold buckwheat noodles (we ordered spicy but it didn’t pack much heat).  Overall they ran a very efficient operation for the lines of people wanting to eat here and the food was reasonably priced at W5000 each for majority of the menu items.There also was a mung bean fried cake vendor featured on Netflix but we were too full to give hers a try.The market was crowded and together with all the frying the temperature got a little warm inside."
9,5.0,"I came here for some souvenir shopping which was very successful, but my mind was blown by the food court. I wish I had been as careful as I was with the souvenir shops, not buying at the first store because the deeper I got into the food court the better looking the food got, but I was already full! The fried pancake filled with pork, sold right in the crux of the market was delicious. My daughter and I had fruit slushes out on the street side, but had we stayed toward the middle there were many more flavors available. Great atmosphere and great prices. Not much bargaining going on."
