,title,text
0,1.0,"If you are not in great shape or got the money for a taxi ride up the hill, don't even think of visiting.A perfect zero score for the management who didn't think about accessability - even the audio guides cannot be adjusted properly."
1,2.0,"Maybe we expected just too much because we were so disappointed. Expensive and there's nothing special to see even we walked through all museums. Most interesting is building itself, outside and inside."
2,2.0,"I was really excited after seeing many positive reviews, even despite having to pay 10$ for a ticket - eg. Korean National Museum is free. But most of the work was old ceramics, not really what I wanted to see. There are a few great pieces and I love the architecture but I wasn’t even able to take a picture of anything. I experienced this for the first time. Usually you can’t take pictures with a flash, and I totally understand that. But here, you can’t take ANY picture. Plus, an alarm rings every time you get too close to the painting. As if guards each step you go weren’t enough. Unless they have a painting you really want to see and pay for that, I advise you not to go. I really don’t understand why this museum has so many good reviews."
3,5.0,"this museum is worth 3-4 hours, with a break in the cafe. the collection of celadon pottery is breathtaking. in addition there is a wonderful contemporary collection."
4,5.0,"It was designed by 3 architects, one of them being Jean Nouvel. We visited 2 of the buildings. The exhibitions were beautiful. But no photos were permitted.The neighbourhood in which the museum is located is also very interesting to visit by food with a lot of creatively designed shops and residentially houses."
5,4.0,Great museum for modern art.  Also exhibit of traditional Korean pottery.  Interesting architecture combining three different buildings.  Good views from grounds.
6,5.0,"Very nice buildings, excellent collection, quiet and in a nice, lively and arty neighborhood with fancy shops"
7,5.0,This museum is stunning. Exquisite works are beautifully displayed in a wonderful setting.  Do not miss out! It is easily accessible by the Seoul subway.
8,5.0,We loved this museum. It has terrific exhibits. For $1 you can get an audio tour that is excellent. The gift shop has gorgeous items. The neighborhood has many good restaurants too.
9,4.0,"It was raining so we decided to take a museum tour, this is one of the stop, wonderful outstanding collections, can easily spend few hour here, because our time was limited, maybe the next time come here by ourselves to really explore."
10,5.0,"We visit this museum and were surprises. For the beginning , the architectuur of the building is wunderfull.There are 2 musea inside and sometime even a third exposition.We liked the modern museum as most.The fee is 10.000 won. Are you older dan 65 than 5000 won.We recommend"
11,5.0,"Well designed building housing some national treasures(porcelain) as well as some fabulous modern art. The central staircase reminds one of the Guggenheim in New York, the art is very well dispersed allowing one plenty of time to move for new views without being hindered by other museum goers."
12,4.0,"Nicely organized, not big, good for a 2hr visit. Not very crowded. Within walking distance to the Grand Hyatt Hotel."
13,5.0,"Beside having a very impressive collection of ceramics, the museum also has a built in sensors for your listening guide.  I was grateful that all I had to do is stand by the display to have the audio device automatically start talking about it.  No need to plug in numbers or go in a specific manner.  A marvelous museum in all areas."
14,3.0,"On the last Wednesday of the month they have half price admission. Which is the price that this gallery should be normally. We were impressed by the ceramics exhibit and some of the great modern art on display. Of particular interest was the piece by Paik Nam June an incredibly underrated Korean artist. One of the few Korean artists that was a true genius and not derivative.On the other hand we expected more from a gallery that is sponsored by Samsung a multi billion dollar company. Parts of the long spiral staircase very clearly needed cleaning or new paint. Instead of all the uniformed staff who were standing and not doing much, they should hire more cleaners. Another small complaint about the ceramics and metal collection was that original items and reproductions were not clearly distinguished. All in all it's worth a visit and we were very impressed that the front security guard opened our taxi door for us and greeted us warmly."
15,5.0,"This museum is made up of 3 interesting buildings each designed by a different architect. There are two galleries, one is a modern art exhibition and the other is Korean. Both are very good. The architecture is fantastic. The outside has a few interesting pieces.The surrounding neighborhood is very upscale with interesting and modern villas all around. Definitely worth a visit."
