,title,text
0,5.0,"A beutifully designed art museum, containing both a section of modern, contemporary art and one with classic Korean art. One of the best art museums I have visited. The museum, slightly tucked away from the main street is superbly designed and every item in the museum has plenty of space and is exhibited with outmost respect. It is delightful to walk around and watch modern classic western art mixed with modern Korean art. And for a European, just fantastic to see new artists and new motifs, rarely on show in Europe. If interested in art, in my view a must see. If not for the paintings then at least for the design of the museum."
1,5.0,"It is located around the Namsan area and the surroundings of the museum is picturesque with well-considered landscaping that can be seen from the inside of the museum. It is as though the exterior is part of the modern art installation. The best part of the learning journey was the Audio Guide which is a Samsung handheld device with a hook-on ear-piece which is way better than eat-pod types in terms of hygiene. The device operates on blue-tooth and will be activated at each exhibit Automatically. The curator’s rendition of each art work is meticulously crafted in a precise and concise manner that triggers our curiosity of each art work. If you prefer to read, the written version stored on the device is easily accessed. While the written and spoken form do not correspond word-for-word, the essence is captured similarly. There are 2 museums - Museum 1 focuses on Korean art historically, mainly Celadon Ink paintings and Calligraphy. The details captured in the audio guide feeds the mind and it is as though from one exhibit to the next, the storytelling is integrated as one whole. Museum 2 focuses on Modern Art by Korean artists and artists from different parts of the world. It has a great balance of variety from installations to fine art, paintings and art forms that might not mean much to the viewer except for visual and aesthetic appeals. But once the audio guide is tuned in, our minds start to sponge up the incredible meaning behind each creation including art trends, artists’ developments and societal influences...which speaks volumes into the depth of research and understanding of each art investment. We spent a total of 4 hours and it was time well invested! We lap it all up and hope that more people will enjoy this too! My son is a teen and he was totally intrigued - no WhatsApp nor IG during those fulfilling hours of discovery. Thank you Leeum Samsung!  Kudos to the Curators and Writers."
2,4.0,"If you enjoy art, this museum is nice. It has two sections, traditional art which was mostly ancient Korean pottery, and a modern art section which is mostly paintings. It is not a very large museum and the pieces are quite spread out so unless you really enjoy taking time at each piece you can go through quite quickly. Just note you are not allowed to take photos here. At the time we visited the entry fee was 10,000 won."
3,5.0,Stunning museum. The architecture is splendid. The modern interpretation of a spiral cathedral-like staircase a highlight. The light entering modern museum number two. Collection small but perfectly formed. Highlight for us were the 4th floor museum number one - celadon pieces.
4,5.0,"This gallery was a real treasure to find. The modern art work was just beautiful. Please note that the “spider” is not at the gallery anymore, although it is still on the website. Plenty of other great works to view in an amazing building. Very pleasant afternoon viewing."
5,3.0,For me it was boring. I have visited lots of museums and some of them were awesome and interesting and some of them were boring and not so interesting. Some of exhibits were really interesting and unusual. But generally it was like average. In this museum was absolutely quiet. I would give for this museum like 2 stars and half.
6,5.0,I highly recommend getting the audio headset which is very inexpensive compared to other museums and adds a lot more context to the tight descriptions on display. Good variety in the collection with a bit over balance on pottery and ceramics. The structure itself is breathtaking and overall worth a 2 hour visit. I suggest skimming through the areas to focus on those that are more suited to one's interests as the collection is quite large.
7,4.0,"Samsung Museum is very nice place for people who are interested in arts. It is possible to visit two different sections, one on traditional arts and second on contemporary arts. Location is easily accessible. Audio guide is available. Entrance fee is reasonable. Especially contemporary arts section has interesting artistic creatures from both Korean and non-Korean artists."
8,5.0,"Originally funded by the Samsung heir family, the museum is a collection of three buildings designed by internationally-renowned architects.  Located along the hilly street in posh Itaewon, Rem Koolhaas designed the Temporary Exhibitions musem which features interesting exhibitions several times a year.  Adjacent to the outdoor sculpture garden is a two storey structure designed by Jean Nouvel housing the modern arts permanent collection.  Tucked in back in terra cotta cladding is a Mario Botta designed pavilion housing Korean antiquity.  All of the permanent collections are substantial in their own right and worth a visit.  Cleverly connected at the entrance via a vast underground lobby, the facility is modern and tryuly world class."
9,5.0,Spectacular collection of all of the Greats in Contemporary art.There is also charming exhibitions of Korean antiquities.
