,title,text
0,4.0,"The museum is most impressive architecturally. It is divided into three sections (each called a “museum”, and each section comprised of two or three floors).  I personally was absolutely fascinated by the ceramics collection on the top floor of museum number 1.  Much less enjoyed the exhibits in the other two museums.  My companion on the other hand, highly enjoyed all three museums."
1,5.0,"This museum was in my guide book and since it was about 3 mins away from our hotel, we decided to visit.I did not pay for the audio set but at only an extra 1,000 won it is worth getting. The museum is split into 3 parts with one part being dedicated to artifacts from various dynasties. The second museum is modern art and the third part is what I will define as ultra modern art. I liked this museum and it housed a couple of Damien Hirst paintings and a Francis Bacon painting together with 3 or 4 Anish Kapoor pieces or art.There were also a couple of unique art installations one which you enter and its mirrored everywhere. Definitely worth a visit."
2,5.0,"These amazing buildings, 2 of the 3 of which are exhibition spaces, have state of the art tech which allows a closer view of the object on one’s loaned Samsung phone as well as more information about the object. No need to input a number for the object - the phone senses when you are in front and tells you about that object until you move on. Priceless porcelains including celadon and antique objects mixed with a few contemporary art works gives context to the old. How about a dark Rothko painting next to a few hundred years old artifact?  A steel Anish Kapolei sculpture? You get the point."
3,4.0,"A friend took us to Leeum and we had no expectations. The two museums were equally beautiful. I specially enjoyed learning about modern Korean artists and the old earthenware collection. However our favorite part was the audio guide, which would automatically play files that corresponded with the artwork you were standing in front of. The museum is owned by the Samsung family, of course the technological interventions had to be there. I highly recommend this place, for it's architecture and what it holds."
4,5.0,modern building for ancien art and collections of impressive pieces (you see the difference compared to some museum) . noticeable art section with the well known korean artists.
5,5.0,"This somewhat small museum is beautifully put together.  The building itself is an art piece containing ancient and abstract pieces.  At one point, a Rothko appears in the middle of ancient pottery, but it works.  There is a spectacular infinity room and other novel modern works.  If you have a free afternoon, this is worth a visit."
6,1.0,"They are 3 places that are cool from in museum and that people take pictures of, the rest is just totally boring.The entrance fee is 10k Won. There are 2 expositions, one is about Korean art history and the other one about abstract. The first one is just so old pottery and old drawings. Not much to see, nothing really astonishing nor creative. The second one is abstract art which is an elegant word for laziness art. Many unknown foreign artists there, probably because they are too bad to be featured anywhere else.Please go to the D museum, much more alive, it's 15min away"
7,5.0,"Owned by the Samsung dynasty, it has more artefacts than of the national museum. From ancient Korea to contemporary art from this vibrant country, all in a beautiful building which is a work in art by itself. Recommended."
8,4.0,Good traditional korean art. But I prefer the part of Contemporary Art. Interesting and fun! Should go once.Remark : No photo inside
9,5.0,"Leeum is a beautiful exhibition space where modern and contemporary art meets. It is home to leading works of Korean art from as early as  1910 and onwards, along with important examples of international art since 1945. The international art collection is impressive. The extensive collection ranges from the works of such pioneers in modern Western art such as Alberto Giacometti, Francis Bacon, Mark Rothko, Joseph Beuys, and Andy Warhol to established contemporary artists, including Damien Hirst, Jeff Koons, and Andreas Gursky. In addition, a growing number of works by non-Western artists within the collection reflects the dynamic and multi-centered nature of contemporary art. There is locker  facilities to store your baggage and headsets can be rented for only a ￦1000. The headset automatically detects the artworks and starts to play a very informative soundclip. I would recommend that you do this for a more educational and enriching experience. The museum has a lovely coffee café and gift shop.  Leeum's gift store is filled with inspiring gifts and a wide assortment of products reflecting the museum’s extraordinary collection and special exhibitions. Here you can find some stunning souvenirs to take home with you."
10,4.0,"if you are taking the train, the nearest station is through the Itaewon station.Then another 10-15minutes walk through the main road and up a hill to where the museum is conveniently located.  Very easy to find since there are signs and you can always ask around.The museum showcases great Korean national treasures and you can;t help but be in awe of how the government and this private company has gone through lengths of preserving such treasures.  Beautifully preserved and well-curated.There are some temporary art installations as well at the lobby and some select galleries.What excited me the most of Anish Kapoor's permanent installation ""Cloudgate"" right outside the museum yard.  Great location for a photo op!My second time to visit this museum and is always a pleasant one every time."
11,4.0,Went there with two friends and I must say it is among one of the best places I visited in Seoul. You won't regret it!
12,5.0,"Great sculptures out in the yards, interesting exhibits inside, permanent as well as rotating. Easily accessible but up a hill from Itaewon."
13,4.0,Museum visit can be a lot fun.. has so many beautiful collections and love the way it deliver the information of each item through audio sensorIt also has many attractive photo spots
14,5.0,Really solid special and permanent exhibits. Impressive. Free day pass for foreigners today (fill out a survey for free admission ~ drop off the survey on your way out) Museums here can be big and underwhelming- not the case at Leeum. Global collection/ staff is friendly/near the Grand Hyatt hotel
15,4.0,"I spent an afternoon viewing the traditional and modern art collections at this museum last fall. It was an inspiring place that I plan to return to later to see more. There are many interesting sculpture installations both inside and out of the museum. There are 2 main buildings, one for traditional/historic artworks and another for contemporary art. Lockers are available to house coats and baggage while you browse the museum. It is also handicap accessible. There is a very nice museum shop with beautiful though expensive gift options. I would recommend this museum to people aged 16 years and up. It would not be very interesting to children."
