,title,text
0,1.0,I went at 12 F and looked for cosmetic product. The staff there dont even know english. And when i asked this one counter. Cannot remember what the shop name. But its near escalator. Maybe pop up store. She was playing with her phone. Then i asked few times and she refused to answer my questions. Keep on playing with her phone. Then after few times then she answered its a toner without looking at my face. And keep playing the phone. Really disappointed with what happen.
1,5.0,"We""ve spend 1.5 hours there. A bit expensive, but very posh.Nice clean and a lot of brands there. Not many people. Parking in front with parking service."
2,4.0,"Of course the store sells all the items expected of any and all high-end retailers which one can find almost anywhere in the world -- but the basement food hall and grocery store is worth the trip. Yes, you can purchase ""street foods"" and sit in the dining hall to consumer, or peruse the limitless items in the grocery to take home to cook yourself. Either way, foodies will love this place -- though we have found prices of identical grocery items to be a bit less expensive at the Shinsegae Department Store a few blocks away."
3,4.0,"This massive multi-floor department store stood across the street from my Seoul hotel, so I went over to check it out one day. It seemed to be a typical upscale store, similar to myriad others in the world, with many boutique shops and most prices on the high end. I noted many Korean-made items available. All floors looked well maintained and had nicely displayed merchandise. It was early November and the whole place was already beautifully decorated for the upcoming holiday season. I didn't interact with any employees so cannot comment on the staff and service. The food court in the basement, however, brought me back to Lotte twice. I ate two very good dinners (Chinese and Korean) there and found the staff upbeat and pleasant. The cashier for the food court and at least one person at each order counter spoke good English. The area became crowded in the early evening, and I shared my table with a local resident on each visit. Both became lovely dinner companions as we discussed many topics, including what not to miss during my exploration of Seoul. For those looking for good buys, I cannot recommend Lotte, based on what I saw. But there are plenty of other places nearby, such as Namdaemun Market with its estimated 10,172 stores. It offers bargains at many shops and provides a totally different experience from typical department stores"
4,2.0,I am not how to start. I needed some travelling supplies while on vacation and went to one of the boutiques in the store to buy some. When the clerk realized I only wanted travel size products her English skills suddenly evaporated. I made my way to the luggage department hoping to find something there. They didn’t but the staff led me to the department I could find it in. My thinking is the staff in the high end shop should be trained by the people who trained those in luggage.  I have shopped in other “high end” stores and my expectations are that the greater the value of the goods the more valuable the service is. I don’t expect attitude only good service. This experience has coloured my opinion of Lottie’s as a “high end “ store.  My rating is based on Lottie’s being a high end store.
5,5.0,"Many things to buy. Lots of brand. Nearby Lotte Mart like a supermaeket for buying some food, snack and beverage. Also, price is cheaper than other supermarket."
6,4.0,"A large department store along the lines of its Japanese counterparts with lots of eager Chinese tourists in the luxury goods ( particularly cosmetics dept- well actually in much smaller numbers already due to recent strained ties between the two countries). Lots of brand name goods, but if you are looking for more diverse fares there are lots of other options in Seoul"
7,3.0,"Just a feedback on the Food halls at Lotte Department Store at the basement. If you are looking to buy tidbits, snacks, seaweed, etc. To bring home, the choices here are rather limited and do compare prices if you are buying a lot. We bought our items here but was disappointed to find prices for the same snack elsewhere in independent marts cheaper by 10,000 won and others by a few thousand won. Sharing so you won't have the same experience. Check out before buying. Of course they may still have items cheaper just that we didn't buy those perhaps."
8,5.0,"Without fail, we always make it a point to visit Lotte Department stores in every visit. Whether in Seoul or other cities ( if available). The Lotte ambience is cosy, a great place to shop here.In particular we love their nice & huge supermarket; with its interesting, wide, excellent & beautiful range of products. And the food section here is great especially the bakeries, & eateries too.Prices at Lotte are more affordable compared to the very upmarket Shinsegae or even Hyundai Department stores. We always buy alot nice of stuff from the supermarket here.This store is within walking distance of Myeongdong shopping street where we stay. There is another branch just outside  Seoul Main Station."
9,3.0,Just another mall in seoul. locatated in the central and close to local shopping area. free wifi is the best park. many branded products at cheap price. so worth a visit if you are in that area.
