,title,text
0,3.0,"If you want to have an experience of Korean theme parks with lots of Korean people around, give it a try. But if you're a theme park fanatic, I'd give it a miss. I also found it disappointing that pretty much every outdoor ride shuts down when it rains. I understand safety must come first, but it was disappointing to have bought a fast pass and not be able to ride any of the rides I wanted to. I'm glad I went just to see it, but I wouldn't go back."
1,5.0,"117 floors in 1 minute! Super modern. Located in Gangnam district. Quite expensive entrance if you want to get to the top, compare to the prices in Seoul."
2,5.0,If you wanna spend one evening with your friends in way cool I recommend you Lotte World. It is cheap and you need a whole day
3,4.0,"This shopping mall was directly across from my hotel , and even though I hate shopping I had to have a peek . A massive shopping centre with about everything you could want to but all under one roof . Also some very nice restaurants and food stalls with some very nice snacks . Electronics, food and clothes for every occasion. I must visit for those who like to shop ."
4,4.0,"Here, Lotte World, is one of the biggest theme park in Korea. Although it is smaller than Everland, it has more thril rides here. Personally recommand French Revolution, Gyro Swing, and Atlantis for adults. Most of the other rides are for children/family. And be prepared for very long lines and harsh prices of foods."
5,3.0,"Though I don't ride all the rides, I just embraced the view and surrounding, a moment when you wish you are young again. I don't think is as big as Everland that I heard of bring a huge place, but since here, the location is great and accessible by using metro when you do not have enough time while in Seoul but just enough to experience the moment of being young at heart."
6,5.0,"So i went on a friday and it was very crowded with a kids in school visits but the rides on the outdoor are the best for adults , if you have kids and want them to have some fun go indoor.The lines in the outdoor are long and tiring however the rides are very enjoyable.You are advised to go from tuesday to thursday if you want to avoid crowds and also avoid public holidays at all costs."
7,4.0,Disney meets asia with this gem.From water slides to roller coasters along with a massive ice skating ring this little commercial gem will not disappoint. The flying advertising drones do not distract and are a fun part of the ambiance.Plenty to see and interaction makes for a fun family experience.
8,3.0,"The mall has everything you need and big shops, also a cinema. With the biggest display in the world.But the price for parking and the parking situation on busy days is ridiculous and a poor statement. Also the food market is on busy days too full. With the good restaurants you have to wait an hour."
9,4.0,"This is an ok theme park. Appreciated that there is an indoor area when the weather gets too hot or rainy during the summer season. Went on a Friday and was quite surprised that the queues were not that long. Though the park was quite big, I find that there are more things to do at Everland. Enjoyed the street and stage performances throughout the day. The food choices are ok. Would have been better if the park access includes the skating rink area as I believe it costs extra to try out."
10,5.0,"A good place people must visit, there is everything from food, groceries, restaurants, electronic, audio, white goods, good quality garments etc. etc..During the visit I was lucky because there was 50% discount on garments like Zara and others, even on sport garments."
11,4.0,If you want to see and indooe park this is really cute. If ypu have children they will love to go to this place. Have a really beutiful parade at night during the cold weather. Have a reallu cute park for toddlers and they have theynown rides in really cute. I did it at night because i want to take some pictures but not to ride in any attractions. It have an out door island that have rides for adults a lot of really great food. It has restaurants too. Theprice of the entres depends of what time you go too. If you go really late at night is cheaper but you have a of less time in it.
12,4.0,"Went to this place on a holiday expecting it to be somewhat slow. It was busy. Many good rides, but the cues for the roller coasters were too long. The rides I do ride were very fun and had an almost ""Disney"" level of quality to the attractions. The food was also very good. I ate way too much. My only disappointment was TGIFriday's on the 1st floor (ground floor)."
13,3.0,"I read so many good reviews about this place so I had big expectations. Well, it didnt meet them. Don't get me wrong, park is nice and have some good rides but nothing impressive. There is for sure better adventure parks like Six Flags or Disney World. Food inside is very cheap so thats good. As a tip, go after 4pm because they have a special rate and also rides are less busier. Park closes at 11pm so you will have enough time to do some rides."
14,3.0,The day i was there it was raining so..... Only half of the attractions were open. Inside is pretty filled to the brim with rides but it's mostly for little kids. I'd say middle school at the oldest. Lot of 4Dish rides... For the price you could do worse.
15,3.0,"Good attraction to visit. Many games and rides available for different rages for ages. Easy to reach by metro or taxi or buss . Verity of Resturant's around . Recommend place to visit ,"
16,4.0,"The place is impressive, we can not argue about it. But it is really really crowded. It's basically covered with people they are everywhere. Long long long lines. I have waited for 2 hours for a 7 minuted ride. Download application and try not to go crazy."
17,5.0,"This is amazing place. I absolutely love it. I'd definitely go there again. If you love carousels, slides and different entertainment, you'll love it here. But be ready for long queues. I spent more time waiting in line than riding. The staff are friendly but English is a problem for the local population. And in case it's not cheap. Plus you probably will spend some money for ice cream or a sandwich, all this and more you can buy there easily. Just be sure you have enough money."
18,5.0,"Wuahuu, it's not just a mall it's also like a indoor disney world, it's just perfect for a winter day in seoul, with shops and restaurant, supermarket and a huge park for children and adult"
19,4.0,"Yes, from branded to local stuff. You can get everything you in the place. There is a supermarket even called Lotte Mart next door."
20,4.0,"This seemed like a fun place to go after seeing the park in running man.  Is quite a big park and has its charm. If definitely needs a fast pass system as there's so many people at the park.  The best ride is the excaliber rollercoaster.  It was raining so i couldn't do the outside rides thoughTo be honest, most of the rides were not as compared to their disney/universal counterparts,  but still worth a trip visiting if you're in gangnam"
