,title,text
0,4.0,The cathedral was lighted up with exhibit and display during Christmas season.And it’s all free. It is located in Central Myeongdong.
1,5.0,"Worth the trip to find this place, recommend to visit this place during evening. It's really beautiful"
2,5.0,The cathedral is beautiful during day but even more beatiful during night. Easy to find as it is located in the center of Myeongdong
3,5.0,"The Myeongdong Cathedral is located in Seoul's Myeongdong shopping street. The grounds were abuzz with tourists and locals alike. Since it was Christmas month, the cathedral was beautifully decorated with lights and a gorgeous manger. Baby Jesus had yet to make an arrival since it wasn't the 25th yet. The inside was serenely beautiful and a good place to sit and contemplate. There is a shop with quite a selection of religious items are jewellery."
4,5.0,"It was  a Sunday and our schedule for the day is the English mass at 9 o'clock in the morning and Breakfast.  I was really very happy to find out that there was an English mass in South Korea in this beautiful cathedral. It was just walking distance from where we were staying and the best part is, below the cathedral is an area where you can eat."
5,5.0,Made sure that I visited this church both times that I've been to Seoul. A very solemn place in the midst of the hustle and bustle of busy Myeongdong.
6,4.0,"This cathedral stands in the busy shopping district downtown. The cathedral is beautfiul and solemn, but somehow its ambience is rather different (auditorily and olfactorily) from those old churches in Europe."
7,5.0,Beautiful place for photostop especially at night. You can see the beautiful lights of white rose around the church. Only 10min walking distance from Metro Hotel Myeongdong and 2min from Royal Hotel Myeongdong. Must visit in Myeongdong
8,4.0,"An important landmark of Seoul, the Myeongdong Church is said to be the first Gothic church of Korea. Built using bricks, the bell tower is around 145 meters tall."
9,3.0,The church in Myeong-dong is a nice church with adoration garden located at the front left side (facing the church) which is a nice place to say prayers.
10,4.0,popular cathedral with many activities for worshippers. well built and maintained. serene inside the chapel. highly recommend.
11,4.0,Beautiful cathedral near the shopping district.  It is situated on top of the hill.  Lots of tourist take photos in this area.  A good place to visit when you are in the area of Myeong-dong.
12,5.0,We visited the church to say a thanksgiving prayer for our wonderful vacation.  It has a separate outdoor prayer area which is peaceful and conducive to praying/meditating.
13,5.0,The Cathedral sits atop a Hill. As per our tour guide IT was constructed in The 1890’s as The first Catholic Cathedral in South Korea. The inside is beautiful with The gothic design and stain glass behind The main altar. A very good place to pray and meditate when in The busy City. A must see for Christian.
14,5.0,It was a place actually we landed up by chance when were shopping at myeongdong but it was so beautiful and peaceful..a must visit
15,4.0,"Myeongdong Cathedral also has a grotto area outside where you can sit in peace and quiet contemplation. You can also light up candles in the grotto area. The basement level has some restaurants, as well as a wide open space that maintains that feeling of calmness in the shopping haven of Myeongdong. What's cool is that this space keeps up the religious theme with the fish-shaped seating available (fish is a popular Catholic symbol)."
16,5.0,This is another first time I and my son have visited the church and also joined English mas here.  Very impressive with all the people here who joined tha mass. They are all serious praying and performing the activities formally.  Even I left my home country but I have got good times seeing god here.Just would like to advise all catholic people to find good chance to join English mass here on Sunday and you will be welcome from people here.
17,5.0,"it was at one end of the Myeong dong shopping area, still very peaceful, it was very beautiful. loved visiting it"
18,5.0,Catholic church with Sunday mass at 9 am in English.  I believe the priest was of Irish descent.  Food stands are set up on the street down the stairs from the church.
19,3.0,"its not really something big to see, if you have time you its ok to drop by but if  not then its ok to skip."
20,5.0,No one will be able to miss the church in Myeongdong. The place is located before going into the busy shopping street of Myeongdong. At night the church is surrounded by lots of lights which provides a good shot for the church which looks peaceful at this time.
21,4.0,We stayed in Myeongdong and the Myeongdong Cathedral is just a few meters from where we stayed. I searched online to look for the time an English mass is held. It is held at 9 am on Sundays. We were blessed to be able to hear mass. The cathedral is beautiful! You have to climb several steps to get there. Sacred and solemn. There is a prayer area on the left side which is also so beautiful and solemn.
22,5.0,The church is situated on a hill and look Gothic from the outside when we visit as most of the trees are bare. The church interior is beautiful.
23,5.0,"Great visit to see the structure but more importantly, to be thankful to have the opportunity to visit a great country - see its beauty, experience the way of life. Solemn."
24,4.0,"passed by this on my trip to Myeong-dong. Quite iconic building and you can't miss it when you're there. I walked around during Christmas, but I was with my family of 2 kids and elderly parents, so didn't have chance to take photo or explore the church as the weather was too cold. Would love to explore again next time."
25,5.0,Managed to visit on Xmas day and receive communion despite the crowds. Nice architecture as well and signs in English also.
26,3.0,A nice landscape surrounding the holy building in the heart of Myeongdong area. The church is just opposite the Korean tourist information centre.
27,5.0,"This church is really used alot in films, dramas, mvs, etc. probably because its the most striking looking of all.  Coming from a Catholic country, I would necessarily call this church ""grand"" or anything.  Its simple but beautiful.  Inside, also looks simple, no wall/ceiling murals, fancy chandeliers or extravagant altars.This church also gives a glimpse of Korean Catholic faith and if you have time do go partake in mass here."
28,4.0,Stop by this attraction spot while you are visiting Myeongdong shopping street (preferably around noon). It offers a quiet environment for prayer and self-reflection.The cathedral holds its own history and there is free information leaflets explaining so.
29,4.0,It is right at the doorstep of Myeongdong shopping district and it is very beautiful at night. The cathedral is glorious.
30,3.0,"Some photo opportunities perhaps but can't compare to those in Europe.   But since it's just around Myeongdong, we happen to come across it. It's not a place where we would deliberately make plans to see necessarily."
31,5.0,"Very nice to see Myeong-dong Cathedral in the middle of Myeong-dong. This church is built on a 14,412 m2 site, the total floor area of the church is 1,498 m2 and it's dimensions are 69 m is in length, 28 m in width, and 23 m in height. The height of the bell tower is 46.7 m according to statue book in Myeong-dong. You can find more information in statue book on area myeong-dong cathedral. So many object photo you can take in here. If you want to go inside cathedral, come in monday to friday. Saturday to monday is close because there is a worship in here. Many tourist comes here."
