,title,text
0,5.0,The show is very nice. The best part of the show is on the interaction between the performer and audience. Highly recommended to watch it.
1,5.0,"Performance was powerful, beautiful, fun and really enjoyable for my wife and I.  We booked the VIP seats located in the middle of the lower section (Row I) and had a Central view in seats 7 and 8. No Korean was required to enjoy the show. We spent a bit of time trying to find the building in the middle of the busy Myeongdong shopping street, and got some help from the tourist information folks who walk around."
2,4.0,"Entertaining and great performance. My husband and I enjoyed the show! If your time are more flexible, go for the non-peak hour show for good discounted rates.. We got 50% off for VIP seating zone."
3,5.0,It was my partner’s first time at a play and she thoroughly enjoyed herself. We spent 90% of the time laughing. It was one of the highlights of our Korea trip!
4,5.0,Tickets were easy to book online and collect on-site. The show was most entertaining and location was convenient. Well worth it.
5,5.0,"Exellent show, my friend told that he already seen 10 times but not get bored. Different band you got different experience"
6,5.0,"Show was great, thank you for the great performance with so much comedy. Artists/performers were skilful executing moves with precision. We laughed our heart out throughout the show."
7,5.0,Really good fun with audience participation and lots of laughs from everyone at the show. Would recommend to anyone going to Seoul
8,5.0,"We had a great time watching Nanta.  It is a live, mostly non-verbal show that includes real knives and flames.  The percussion and theatrics were very entertaining.  My husband was selected from the audience to participate.  He was a good sport and would normally not volunteer.  He had a great time and now we have this wonderful memory.  Worth the time and cost of admission."
9,5.0,I went there with my boyfriend on his birthday. We would highly recommend the show for both adults and children.
10,2.0,"The show was ok, but not at all worth the money. Maybe it’s better in  other places or with other actresses as it is so famous."
11,5.0,Fun story line - told through slap-stick humor and music.  Similar to a Blue Man Group type of show.  Safe for all ages - great fun!
12,5.0,"The show is Super entertaining and exciting , recommended to go, one of the best show I watched ...."
13,5.0,"So entertaining, I could not stop laughing and I loved the interaction with the audience. If you are visiting Seoul you have to go and to NANTA Theatre!"
14,5.0,Absolutely fantastic hilarious amazing show.. Nothing negative to say about it. Go see it go see it! Five stars ✨ actors are sooooo talented!
15,5.0,Went to the show expecting it to be silly. Well it is but in a really well way. I thoroughly enjoyed it and even got to play a bit in it after being randomly selected in the audience. It was fine and they were really great on stage and made me feel at easy. Was great fun and would recommend it to anyone to go watch :)
16,4.0,"Great way to spend an evening in Seoul. Funny, energetic, and understandable whatever language you speak.Note: the theatre if on the 2nd floor of the building so a bit tough to spot."
17,5.0,"Fun, exciting, exhilarating, amazing in so many ways. Brilliant show, worth a visit. It’s hilarious, interactive and so much fun!"
18,5.0,Laughed for the entire show. So good. Couldn’t recommend it more. Definitely a must. Perfect for everyone.
19,4.0,We went to the NANTA show in Myeongdong.  It was a cooking themed theatre production where a team of chefs at a restaurant are given a large wedding dinner order to make on short notice.  So they hurriedly try to fulfill it.  It’s supposed to be a comedy.It was fun and funny at times.  There’s minimal speaking in it so it works if you speak Korean or you don’t.  We enjoyed it and it’s not too expensive so worth a try if you want to break from shopping in Myeongdong.
20,4.0,"I guess, this is a must do when you are in Seoul. Good family fun and well choreographed show that will definitely entertain."
21,5.0,"My wife and I were selected to participate, and we received commemorative photos to treasures our memories of the experience. Simply an amazing production and amazing cast. I wish you guys come back to the UK again as I wish to bring my friends along."
22,5.0,"A different kind of theater experience! A must do in seoul!!Very funny!! Great for kids too!! Small theater, you can sit anywhere and have a great view!"
23,5.0,This is a very entertaining show and I find this worth every cent I paid. The actors and actress are very professional and their performance really made my evening an enjoying and memorable one!Highly recommended !!!
24,4.0,It was an entertaining show for first timers to Korea... sometimes you don't need words to put on a good show.
25,5.0,"Me and my wife decided to stay in Myeongdong area of Seoul because Nanta is on top of my list to see in Seoul, and oh boy they did not disappoint. If Boston has the Blueman Group, Seoul has Nanta. It is very original, and so hilarious. I never realized that the kitchen and several techniques of food preparation can become a hit show and you could die laughing watching it...they even have a school for it, you need to be a Nanta school certified before they will allow you to perform. I hope the can tour around USA someday... I want to watch it again!"
26,5.0,Booked it online via their official website to see better discounts. No need to queue in line since it was pre-booked and paid. It was a good show even for foreigners! It was funny and a bit interactive especially for those in the front. The location was easy to go to since it's in the middle of the shopping areas.
