,title,text
0,5.0,hilarious! Non verbal performance. Exaggerating gestures and comical facial expressions make the show suitable for both young kids and adults. The cast was able to respond quickly to the audience reactions to various parts of the skit. Great work!
1,5.0,"This is my second time to watch NANTA show. I bring my little one with me this time. He enjoyed it so much, and ranked it as his most favorite activity of his holiday in Seoul. Thank you for the great performance by the black team!"
2,5.0,"Great show. Very funny and engaging. My daughter laughed throughout the show. We really loved it, Would watch this again next time we are in Seoul."
3,3.0,"After the opening of the show which began with a slow performance, things got interesting when the cast started cooking. It was hilarious at some parts but the actions were repetitive and the chopping/cooking scenes were not exciting. I would not recommend making a special trip to watch the show."
4,5.0,"First time to attend a performance in a foreign country, not knowing what to expect.  But you don't need to understand Korean in order to appreciate this show.  The actors/actress was very professional, talented, and hilarious. Our family had a good 90-minute laugh and blast!  Highly recommended for anyone who's in for a good humour :)  The crew is to be commended, bravo!"
5,5.0,"Watching for second time, this time together with Brother’s family. Kids love it. Very entertaining."
6,5.0,"This show was so entertaining, in every way! It is funny, has great music and rhythm, lights, and surprises. Everything is mostly nonverbal so any language can understand it. This was my family’s highlight of our trip!"
7,5.0,Absolutely fun and very interactive international show. Small cozy theater which allow the audience to interact well with the performer. The show and performers are legendary themselves.
8,5.0,It is an entertaining show! My husband and mom watched it on our free day in Seoul. We got the black team. Very skilled and talented actors and actresses. No regrets on this :)
9,4.0,Very entertaining for both children & adults! The theatre is not too big so the performance feels up close and personal.
10,4.0,"I am more of a musical guy and not a huge fan of this type of show but I must admit that I - and my whole family, especially the teens kids - truly enjoyed it. Plot is simple and nothing new - exactly what's described in the synopsis, however, the impromptu interactions with the audience brought everyone an element of surprise which was truly funny, enjoyable and entertaining. Ticket pricing is very reasonable. The only trivial thing to nitpick is the venue - DON'T get confused with the ""Myeongdong Theater"" which is a few blocks away. The venue that hosts the NANTA show is actually a building called Unesco building in Myeongdong and the sign to the building is not very clear and it took us a while to locate it."
11,4.0,Whenever I have visitors from overseas I invite them to NANTA show.   I have never seen anyone that didn't enjoy the show regardless the age.   My youngest guest was a boy of 5 and the oldest was a gentleman at the age of 77 and they all loved it.  Especially the younger ones loved it soooo much~ I was told that they keep talking about the show after their return.   Thanks!
12,5.0,An interesting and funny play which my family and myself enjoyed so much... I was invited to stage to interact in one part too.
13,5.0,"The show was very interesting, funny and the actors were great!!!! I definitely will recommend to my friends who go to Seoul next time. I myself will watch again when I am there again."
14,5.0,"Funny funny funny!  Great for all ages, book your tickets at least 2 days before. My kids were enjoying it!"
15,5.0,"So much fun to watch and participate as well. Great for young kids and family, and anyone who just want to relax and have a laugh."
16,5.0,"We went for it with high expectations as we have heard so much about it from friends and also via online sources but the show exceeded our expectations. It was really a nice concoction of non-stop action, fun and  laughter for the whole family, all executed in perfect timing and rhythm. Already recommended it to another friend who gave the same two thumbs up. What a show!"
17,5.0,"the show is fun, hilarious and joyful. Even if you don't understand Korean, you will understand the show. enjoy."
18,4.0,The show itself was absolutely incredible! The only downside was that it was very hard to find the building and so we ended up being late and missing the opening. Because of this we didn't get to sit in the seats that we booked - so definitely give yourself extra time to find it. I would definitely see it again and plan to the next time I go to Korea
19,5.0,The theatre was small and hence it doesn't really matter where you are sitted as you will still get a good view. The entire show comprises of only 5 performers but it was highly entertaining. My two boys were laughing away throughout the whole performance. Definitely recommended!
20,4.0,"Our family enjoyed the show very much. We will return to watch it again, probably at the other theatre at Hongdae. Just wondering if the show at Hongdae Theatre is different from Myeongdong Theatre's?"
21,5.0,"great laughter throughout, definitely worth the dollars..location is great with shopping & restaurants, not a dull moment.."
22,5.0,Great show for all ages. The show has a bit of everything. Highly rated and I’m glad we got a chance to see it here in Korea.
23,5.0,It's really entertaining for family of elderly and children. They're very good in getting audiences to be involved in the performance.
24,5.0,We had a wonderful time sitting close and even getting to participate in the show. They were comical and a joy to watch!
