,title,text
0,4.0,"This area of myeongdung is a shopper's mecca. From all the skincare beauty and latest street fashion wear. Bustling, crowded and lively to spend your time and money right here."
1,3.0,This place is fun for 15 minutes but then it is just way too much. It is; however a must see when in Seoul
2,4.0,"If you are an avid skincare followers, you must go to Myeongdong street for an haul. But I didn't come to Myeongdong for skincare. The street food was reason I came the first time and turned out pretty goooddd. Next stop was Myeongdong Subway exit 6, where you can find heaven of kpop stuff. I bought some for myself hehe."
3,4.0,"Very touristy, but fun vibe! Lots of modern shops, market stalls and food stalls. Good variety of food as well. Must have, 30cm icecream!!"
4,5.0,"Bustling, energetic and ecstatic! I love the energy here and the street food are pretty awesome. Go to the alleys for cheaper street food!"
5,4.0,"The street was packed with so many shops selling cosmetics at a good price. You can shop them for souvenirs, eat the street food."
6,5.0,"Myeongdong is chock-full of shops selling most things, but for me it is a place for beauty products and girly nic-nacs...and street food. Towards the evening time the area fills with folk selling all kinds of Korean food...BBQ, stir frys, snacky bits and dumplings. I love love love the food and ambience here."
7,5.0,"Paradise for a girls soul. Cosmetic haven and absolute delight for Korean street food. Everywhere you look, there are shops selling Korean brand cosmetics. Shopping and savoring sumptuous street foods is a walk in heaven. A must visit to stock up on your common and wierd Korean cosmetics"
8,4.0,Interesting place if you're looking for cosmetics. Go for the street food as the restaurants here serve Korean food that's below par with a higher price.  It's hard to bargain even with the stalls and mom-pop kind of retail outlets as I have the impression that they have fixed the prices.
9,4.0,This street is simply a good visit. There are all kinds of shops from stalls to big departmental stores and prices vary accordingly. It has great street food especially at night and it’s a good place to interact with everyday Koreans. It’s worth a visit
10,5.0,"This area got it all. Small shops big departments store, food street and restaurants. Gets very busy late evening specially on weekends."
11,3.0,Good place to spend an hour. Go after dark when the street food vendors have set up and the stores are still open. A bit touristy but good fun nonetheless.
12,5.0,"This a great area to walk around, do some shopping if you're into that and also to eat. You can walk to the cable car that will take you to the Seoul Tower from there and there is also a church that you can visit. Overall is a good place to visit as there are multiple options and there is a subway station nearby too."
13,4.0,"This is a must do when in Seoul; the street food and whole area comes alive especially at nighttime. Indulge and enjoy... from hearty dishes to dessert, there is something to everyone’s taste. It’s packed with people but generally easy to navigate. Shopping is an added bonus here!"
14,3.0,"If you love shopping , beauty products, clothes and food., you must go there and i really like this overcrowded area specialy at night with crazy food stands...a real must i would say. Also you can visit Seoul tower and hannam village."
15,4.0,"The first thing we saw stepping out of the taxi is the KoreaMart. We then proceeded to shop for unique Korean snacks, Maxim coffee, chocopie, all kinds of face masks, as pasalubong.We also tried the streetfood of sausage&tekkbokki, fish cake on a stick. We were too full to try the rocket potato and seafood. We also shopped at Innisfree. There are a lot of make-up stores here. There are also many ""tiangge""style sellers of clothes, coats, socks, trinkets, etc.A must place to visit ecen if you are looking to shop."
16,5.0,There were so many street foods and street markets with a Korean atmosphere and you could find your travel special from there
17,3.0,"I was not in a shopping mood but I explored the area as part of my vacation workouttoo much food to choose from.  check out the live seafood (eels and octopus)cute police station, good place to exchange currency.  I saw only 1 street bum.beauty products.... look at the foam"
18,5.0,"I ate here most nights. Great location to just stroll and eat. Can get crowded, but that is also part of the charm. Must visit when in Seoul."
19,5.0,Lots of shops and stalls selling everything. I spent the whole might walking around and tried most street food.
20,5.0,"It's a wide shopping area which includes a ""night"" market. Very colorful, clean, and you can find many interesting things to taste."
21,4.0,"Myeongdong is a haven for Korean beauty products. The atmosphere was buzzing in this area. I only visited in the night time and there was an array of street food. One thing to note is that you'll see the same shops every 100-200 metres apart so if you're not looking for anything specific but are on a time crunch, I'd suggest visiting the bigger branches which should have everything. However if you're looking for specific Brands/products, you may have to visit different branches if brand/product isn't as popular. For example, I was looking for COSRX products which I found only to be available in certain branches of Olive Young."
22,4.0,A place to buy the lastest and most trendiest lines of cosmetic product. Great place to buy cosmetics souvenir for your love ones.
23,5.0,"Many many shops, skin care stores, cat cafes, street food and more. Definitely recommend as a tourist experience."
24,5.0,"So for sometime now I have been using various Korean beauty products. Needless to say when I finally booked my holiday to South Korea, I immediately did my research where to buy beauty products. The place to head to is Myeongdong district which contains a grid of streets brimming with shops selling beauty products. Seriously, I was in heaven. I also found that if you spend over £30,000 won most of the shops would immediately deduct the tax free amount so no need to claim it separately. Take your passport with you.Also, when you buy stuff from these shops most of them give you freebies ... I loved it.  A must visit for anyone who is a beauty junkie like me."
