,title,text
0,5.0,"I went twice during the trip, one night trip for buffet dinner and food is not bad and view is awesome. One day trip close to sunset. Both day and night trip is awesome and I love the view and Seoul is under your leg. Do not miss this scenery."
1,5.0,Do go there if you get the chance! The drive to the top of the hill is through a beautiful park.Cars have to park at the bottom but buses are allowed to drive three quarters of the way up.There is a steep climb at the end but well worth it! You are taken into a room with  a picture of cars travelling along on the floor which was quite spectacular.The ride in the lift up to the top was spectacular with a visual experience.Outstanding views at the top with great photo opportunities. Loved it.
2,5.0,Awesome location and must visit activity. Go there prior sunset and stay there until sunsets to view sunset
3,3.0,"Too many lines. No sign posts. View of city was not clear since the glass was reflective. The view from nearby Signeol Seoul was much much better. If in Seoul, one could consider going to tick off the list but this one's quite average."
4,2.0,We spend lots of time waiting in line to go up and even more to go down. The view from the bottom of the tower were maybe even better than from the top. Really overrated site.
5,5.0,"We came here as part of our bus tour, so it was a quick 1 hour tour and we had to get going. Place has several coffee shops and restaurants if you have more time. The view was spectacular from above. Well worth the time. Easily spend more time if you can spare."
6,4.0,"Magical place!I arrived at 8PM and lift at 11PM. So in daylight and night and the twilight....The restaurant turns so you see all of Seoul from a bird point of view.It is expensive like 100 euro. But so worth it.And very good as well. Small portions, so if you have a big appetite......😬😬😬It is very quite and lots of privacy."
7,5.0,"We took the cable car up to the mountain, the views were stunning, there was much to see and the waiting time wasn't as bad as i expected took only about 5 mins on a Tue at 3PM, highly would recommend, the voucher redemption was easy as well the machines present had an English option."
8,4.0,"An early dinner on 38th floor of Hotel Lotte and we were off to the N Seoul tower .We could see the tower from the hotel .After a mini bus ride to a little hill , we had a cable car ride to the hill top to reach the base of the tower.A swift lift took us to the observation floor, which is circular all round the tower giving magnificent view of the city .The are nic e write ups to describe the sights and also major cities in each direction with distances - very nice info."
9,5.0,"The tower offers great panorama of Seoul. I didn't  go to the tower during my previous visits. This time my hotel was in a walking distance, therefore I decided to visit the tower. I went in the morning and walked, instead of using the cable car. Surprisingly, there were many facilities that offer food and drinks, including draft beer. Based on my experience, I would suggest to go late afternoon to have a dinner, see the panorama in daylight and after dark, and enjoy glass of beer. I usually walk a lot, however walking to the tower was too much exercise and I had sore muscles even three days after. So some people should consider cable car."
10,4.0,Definitely worth a visit if just for the Seoul views. You go up by cable car. There is a whole collection of ' lovers locks' tied to each other and to whatever it can be locked on. Largest collection I have ever seen.  The views from the top are mindblowing and give a fair idea of the size and plan of Seoul.
11,4.0,Visited with a good colleague and he talked me into visiting on a day with good views. It was fantastic; what an experience. On the square at the foot of the tower there are lots of activities.
12,3.0,"Seoul tower offers the most amazing & complete ariel view of the city unlike any other place. However one needs to be careful before going up, since if it is foggy then its a waste as you wont be able to see much.Interesting fact - the tower itself uses lights to indicate whether the visibility is clear or not, so its a good practice to watch for the lights and then make your way there.You can get to the base of the tower for free, which itself is good enough to get a splendid view. But if you want to spend money, you can pay more and make your way up the tower which as a restaurant with a better 360 view.There are two ways to get there - you can trek your way up a nice path or take the bus.The only downside is that it is super crowded, and you need to jostle for space to get a decent view."
13,5.0,"You must see this tower and the park nearby, you must see the city from very top there and fall in love with it"
14,4.0,"Walking up the hill to the tower on a Sunday morning was a great way to see the people of the city out for there health and enjoyment.  The views from the overlooks on the way up the hill were beautiful, and the foliage was in full color."
15,5.0,"I visited this place and learned that also Korean people love to come to this place. I had a beautiful but exhausting walk up the hill but on the way lovely view already. I need to mention that there is a cable car available for those who don't want to exercise.On top of the tower I had a beautiful view over the huge city of Seoul. Around the base of the tower there are shops, cafes and restaurants to take a rest.Highly recommended."
16,5.0,A cable car ride in the night time is worth taking and then reaching the tower is a pleasant feeling.
17,5.0,"Great stunning views of Seoul. However, lines are super long. It took us 30min to get tickets for the cable car. Additional 20min to get tickets for elevator to go up. Here is the killer, 1 hour line to come back down!! I am sure it also depends on time of the day and weather etc. regardless, it was all worth it. We loved the view. There is also coffee shops up there to enjoy your latte."
18,5.0,"Touristy, yes, but a must see when in Seoul. Great to walk down from the top, and don't miss the love locks! 😀"
19,2.0,"Visited on a Sunday night. Queued almost 50 minutes to go on the cable car which held about 40 people so not as ""romantic"" as it sells. Then queued up to go to the observatory tower. View is worth it but there are better views elsewhere where the view is still as good. Worth the time? Hindsight, probably not, go on a weekday."
20,5.0,"hi, i just want to share how beautiful sunset view and how to get there..if you want to go up to the top of Nseoul tower, the entrance fee KRW10.000 and also have package with drink + popcorn KRW21.000i go to Namsan Seoul Tower (N Seoul Tower) by bus number 03, but you can also use number 02 or 05 (detail bus stop attached)arrived at the bus stop of Namsan Seoul Tower, i had to walk through uphills road about 300meter.. little bit exhausted :(there have a elevator also.. i just known it when i want to back to the bus stationwonderful view of seoul city and sunset made my weary gone..enjoy it and take some picture of lovelock.. end of sept weather with 16 degrees celcius up there"
21,4.0,"A classic choice for a tour of Seoul. It's a bit of a journey going up there, but a nice experence once you've made it. Consider using the cable car."
22,4.0,"It's quite a climb from the where the bus drops us off and up to ground level of the tower - so make sure you're ready for a hike, wear comfortable shoes.  The view from the grounds below and at the top of the tower is magnificent during the day or night if you get clear skies, I was lucky enough to be there when sky was clear.  We had a buffet dinner at the top of the tower, I would say the view was more magnificent than the food."
23,3.0,We were expecting nice view on Seoul TV Tower at night but We were unlucky. It was foggy/cloudy night. Korean food is served but I found that most of them are average quality and taste. I had Korean food experience...
24,5.0,it is good to see seoul from above. worth visit. it takes 1 hour tour. u have to walk up the hill. i like it
25,2.0,Unless you are a world tower traveler not sure there is anything here for you. It goes up and offers a nice view of the city. That is true and overpriced THe revolving restaurant is WAY overpriced. I only ate there b/c we won a free meal and the 2 glasses of nasty wine was still $20.00. The walk was good exercise up the little trail though.
26,3.0,"The view from all around the tower is great and could not ask for better, however you do not need to actually go up the tower. The surrounding views are great on their own and doesn’t get that much better that it is worth the money. Besides up top is just a massive tourist trap. There are some shops and stuff at the base of the tower that are neat and a Starbucks for your caffeine fix. So overall would make the trip to it again to see the surrounding area but not the top of the tower."
27,1.0,"Since in april and may weather is smokey and rainy! You wont be able to see any view,plus the pollution clouds coming from mainland chins"
28,4.0,"You can see one of the best view of Seoul in this tower. Usually a bunch of people (tourists) are hanging around. Seoul is about 500 years old city. The first king of Chosun dynasty set up Seoul as the centre of Korea. Since then, it has been the hub of politics, economy and power. And now it is the capital of Republic of Korea.서울을 관람하는데 가장 좋은 장소!!! 사진 찍기에도 좋고 산책하기에도 좋으며 가족여행에도 굿!!! 요즘은 한국인보다 외국관광객이 넘쳐나는 곳!!!"
29,5.0,Second tallest tower in Seoul and it's a love lock location. The tower have 5 f. And each of the floor have it's own attraction.
30,4.0,"You can reach the tower via foot or by cable car. At the main times, you will wait for the cable car longer than you need to walk up to the tower. The tower offers a wonderful view over Seoul. So if you go to the tower, spend some more money to go up inside of the tower. It's worth it."
31,5.0,"We spent an hour at the Tower, because the view was very nice. You can buy fridge magnets, odds and ends. Recommended."
32,5.0,a great place to be ... very nice view from the tower top but very nice escalade from the city to the hill top
33,4.0,Try the hike to Seoul tower. Short and sweet but memorable once you reach the tower . Excellent hike especially on a cold day
34,5.0,"If one desire the best view of Seoul, this is the place you want to be. The view is fantastic. The walk up is a good exercise but totally worthy."
35,5.0,Really great views across the city Good to go at dusk and stay after dark to see both day and night views.
36,5.0,"Spectacular views over Seoul. Good refreshment facilities at the tower. Quite a difficult walk, probably 70% is climbing steps, but well worth the effort required."
37,5.0,"You will get the best view of Seoul. Ice cream, food & others are available. Large Led panel offers a great view. Enjoy cultural programs also."
38,5.0,This spot is just great.  You can get a great view of the city and the tower it self has some really interesting things to see and do.
39,5.0,Enjoyable and easy climb up Namsan Mountain to Seoul Tower with a wonderful panoramic view of Seoul.
40,5.0,"Went with my Brother and his wife and even though it was foggy that day, the view was still really nice. We walked up to the tower but there are also buses you can take."
41,4.0,Nice to see from tower Seoul city. This is my first time in Seoul so i really enjoyed to see Seoul city from Tower .I recommend to visit this place.
42,4.0,"This impressive Tower literally does tower above the Seoul skyline.  The easiest way to reach it is by taxi or take a tour, but the effort is well worth it.  It is situated on the top of a hill with a fast winding road to arrive.  The views are magnificent;  across towards North Korea to the North, and across the whole city spread out to the South.  Very impressive."
43,5.0,"Seoul Tower at night was spectacular, the entire city is lit up and you can see for miles. The cable car up to the tower was also a fun way to get up there. There are shops for souvenirs and food as well plus many different spots to view the city."
44,5.0,"If you go up there you will enjoy an 360° unbelievable view of Seoul and surroundings. It is surely worth the trip to see how big this city really is with over 20 million inhabitants close to seaside on one side, close to high mountains ( with skiing possibilities ) on the other side."
45,4.0,Superrrrr place for sightseeing especially in the evening.We visited in the evening and the lighting is superb.Not to be missed since you can see the entire skyline of Seoul
46,5.0,Stopped here while taking a bus tour of the city. Amazing views of the city on a clear day. Even better at night.
47,4.0,I went there as a tour leader and brought all my guests there! it was pretty cool when u come to Korea around april because the path to go to the N seoul tower got so many trees and some flowers are blooming. look like a cherry blossom! but seriously it wont be cool if u come in summer coz it will make u double sweating :P
48,5.0,"It was a great experience going up the N Tower this time in a car instead of the cable car. It was certainly a different view. As I recall 10 years ago the inside of the tower is slightly different to what it is today. For example 10 years back there was no LED tunnel at the entrance. The entrance is unique the tunnel is made of LED panel that plays 3 different videos. It started with Seoul City, universe or nebula and followed by marine lives. All different video gives one different feeling as you walk through it. My favorite so far is the marine life video."
49,3.0,"Not much to do in Seoul, so you can visit a big tower that is bathed in colorful light at night. Nice view from the cable car and from the hill the tower is on."
50,5.0,123 floorsExiting Fast liftsSky restaurant Good food and and a reasonable menu for a sky restaurant Well organized and good security Enjoyed 😁Photo facility excellent
51,5.0,It's a wonderful place with amazing city view. I recommended it strongly to all tourists who visit Seoul. Very nice elevator look like Burj Khalifa in Dubai. The place contain many terraces with nice view. We reached the tower with bus.
52,5.0,"I was fortunate enough to be staying across the street from the hillside entrance to N Seoul Tower so I took advantage of my proximity and hiked the hillside one morning.  The climb isn't easy to dress appropriately but once you've reached the tower the view makes it all worth while.  I've been told that the view is hit or miss based on the level of ""yellow dust"" in the city but I was fortunate enough to have a perfect view of the bustling, enormous city below.  Take an additional trip at night for a spectacular view."
53,5.0,One of the Icon of Seoul City. N Seoul Tower is very nice place to spend your afternoon especially in Autumn. I would recommend this place for couple because is very romantic.
