,title,text
0,5.0,"The Korean Drama that left the biggest impact on Namsam Tower to me is Legend of the Blue Sea! If you're a fan like me, don't miss this! Remember the scene when Sim Cheong told Heo Joon Jae to meet at Namsam Tower on the next first snow? She walked up the hill and he drove up but she got into an accident and didn't make it to the top. You definitely don't want to miss Heo Joon Jae. So let me share with you a tip: How to get to N Seoul Tower! Search on Kakao Map/Google Map: Namsan Ormi Elevator (Bottom Entrance) in my opinion this is the easiest way to get up! The Elevator is like a tram train, you'll be able to enjoy the surrounding view on your way up. Then follow the crowd and you'll get to N Seoul Tower! When leaving N Seoul Tower back to the city, i recommend to catch a bus to the nearest station depending on your next destination. The bus stop is just a stone throw away by walking down a short slope, do look out for bus stop signs :)"
1,4.0,"Located in a relatively central location in Seoul,no direct metro but can easily navigate your way there by alighting at Dongguk University stn, exit 6 n go to bus stop near Uni bridge. Take bus 2 n 4 to reach. Tower located at Namsan Mountain whereby one can take many nice photos. Tower visit itself is rather optional as the mountain already provide a fantastic view of the city. Defo worth a visit."
2,5.0,"I did not mind spending the money for the cable car ride or the ticket to the top. They view was absolutely worth the cost. The coffee shop at the top had *amazing* desserts, there were stools/tables to snack at, the 360 degree view was amazing, the elevators moving quickly, and the bathroom had quite the view.. seriously!"
3,4.0,"The prices for the ticket were a bit expensive, considering the surrounding attractions are significantly cheaper. We enjoyed the view though, and the many opportunities to grab a souvenir. Would definitely come back during a different season to see how the view would look during spring or summer."
4,3.0,The tower is interesting but probably not worth visiting unless you have a nice clear day.  It was dull the day we went and you couldn’t see much.
5,5.0,highly recommend to take this trip during night hours so you can actually see the city lit up. I would highly recommend spend the extra money to skip the line do to how busy it is. You can purchase locks there for $10 to place wherever you would like. If you go while it’s cooler outside dress warm it does get cold up there.
6,5.0,"Nice view , around the City. Local Customs is the attractive part of the place. Don’t forget for 💓 key 🔐"
7,5.0,"If in Seoul for a short period of time and not sure what to see definitely make your way to N. Seoul Tower.  From Myeong-dong, walk to the cable car and ride up from there. The views from the top are amazing."
8,4.0,"Its quite a ride to get to the tower but the stunning view, the adjoining Hello Kitty museum and Ryan's Cheezball Adventure is worth the effort. The all around view from the tower also tells you in which direction your country is from that spot and the distance too. It was an evening beautifully spent."
9,3.0,"Probably outshined by Lotte Tower which of course is bigger and badder but the wait times and surrounding area at N Tower are much better. There is good food, a bar, lovelocks and a trippy colors room before you enter the tower elevator."
10,4.0,Very touristy but you can see the whole city.  We walked up the mountain but realized afterward that there are 3 city buses that go to the top.
11,5.0,"Took the free Namsan Ormi Elevator from the street along where Shinsegae Dept Store was to the Cable Car Tower. Very convenient and save the hill climbing. Bought return cable car tickets for 2 adults at 19,000 Won.  Nice park where tower is. Spent half a day exploring it, including lunch at a nice Korean chicken and beer place in the plaza. Time well spent."
12,3.0,"Two options to the top of the tower, hike or take a cable car. We decided to take the cable car. After purchasing the tickets, we have to stand in a very long queue which goes up two floors to reach the cable car station. It too us 40 minutes before we got into the car. The ride was smooth, but the view from the car and from the tower is nothing special. We went there in the night expecting nice views, but there is too much light which prevents us from getting a good view of the city (see picture). Lot of young couples around who come to 'lock their love' on the railings of the tower using a paddlock. This seems to be a popular belief.  There are restaurants and souvenier shops in the tower."
13,5.0,The hike up the park alone was amazing although there are many ways to get to the base including a very scenic cable car.  It was so unexpected with interactive virtual reality and light shows before you even get to a 360 spectacular view of Seoul.  If you don’t do anything else do the Tower.   The price wasn’t bad and using a Visa card we received a few dollars off
14,4.0,"The tower offered great views of Seoul, even though it was a smoggy day. Ticketing was easy and relatively inexpensive.Just a warning, we used a bus to get here, and it was a pretty steep (though short) hill to climb from the bus stop to the tower"
15,3.0,"We stopped here as part of a tour, so we had our own usher who guided us to the elevators. The grounds are pleasant and parts of the old city wall can be seen in various places. The light show at the elevator was a bit much. The top floor with all the windows was filled with souvenir shops. Great views of the city, however"
16,5.0,Had a great time on a not bad day when visibility was okay. Lots of walking even with a lift to the station then cable ride to to the tower. Buy or bring couples lock and add to the collection.
17,5.0,"Very cheap to go up and worth it. We walked up (more strenuous than you think!) in about an hour, and got the cable car down."
18,5.0,"This is a great place to go if you love to walk and don’t mind a little steep hike. Once you get to the top the view is amazing! They’ve got food and beverages at the top so don’t be too worried about that.. chicken and beer and coffee of course. Inside the north tower there are also restaurants however, they are very expensive. Once at the top of the north tower you get a beautiful view with clear windows that go around in a circle that also includes a candy shop and a place to write and send post cards. Interesting yet fun fact, the restrooms in the top of the north tower have glass walls! Yes , you’re read correctly! Glass walls. So you’re doing your business as you enjoy the view! 😂 On a nice day this is a fantastic place to visit."
