,title,text
0,4.0,"I went to Namsan on my first day at Seoul. I went there at golden hour to catch winter sun set. Seeing Seoul from top, bathed in golden sun rays, it was really worthy went all the way to Namsan Tower against breezing wind winter. A cup of hot chocolate was enough to keep me warm during my visit."
1,4.0,"The day we arrived in Seoul, after putting our luggage at the hotel, we straight away took a bus to Namsan Tower. I booked the ticket using Klook and scanned the ticket at the entrance. The view at night is amazing you can see the whole area. If you have strong legs, you can walk up the hill."
2,5.0,I sure am a sucker for towers and tall buildings I donno why and Nseoul tower was one of the best..121 floors high I guess and the glass bottom and all the photo ops..we all had a good time!
3,4.0,"Its a pretty nice place, I enjoyed the hike up to the tower, got some great pictures. Not really worth the money to go all the way up to the tower tho."
4,5.0,Super awesome place! I really love everything from here . Would like to go back again here! Super worth it
5,4.0,"We had 1 day in Korea, so we decided to go despite the weather.  It was a lot of people, local and foreigners. We can only imagine how spectacular it would be on clear day"
6,5.0,"Namsan Tower is known for many things: the cable car ride, the nice trekking at Namsan Park, the great aerial view of the city, museums and café.  At a height of almost 240m, the tower has an onservatory deck that offers an amazing view of the city. The iconic letter “N” was the result of the remodeling of the tower in 2005. Since then, the place is known as N Seoul Tower, with beautiful bright lights at night."
7,5.0,"What a gorgeous view of Seoul at night! When we got on the bus to go to the tower, I didn’t realize that it was at the top of a hill/mountain so I was surprised that we didn’t just walk, but I was thankful as we made our way up the windy roads that walking wasn’t happening! It was definitely worth the trip and I loved the whole experience. Would definitely do it again next time I come to Seoul, but maybe during the day next time!"
8,5.0,"Amazing view from the TOP after we trekked 1.5km up . There a love locks area up the mountain . Sky tower are awesome , we got to view beautiful Seoul because the sky was cleared ."
9,5.0,This is where you can find the famous Love Locks in Seoul. Offers a beautiful view of the city during the day & a magical view at night.
10,5.0,"I recommend going to the N Seoul Tower Observatory at night since you can see a beautiful view of Seoul~ There are a lot of places to eat and shop. As couples, you can ""seal"" your memories here through the Love Lock bridge (locks are sold in vending machines which is so cool!) The easiest way imo is taking a bus to any available station near you. Also, the comfort room in the observatory is something you shouldn't miss 😋"
11,3.0,Lots of walking n sightseeing if u have time can easily spend half a day. Trick to photographing is to tilt your cell phone to adjust the background.
12,3.0,We went there upon arrival so we not dat familiar with the subway and bus - we kinda took the wrong route but ended up at the entrance near the library. It is quite a hike to go up so we wud recommend you to take the shuttle bus no. 3 or 5 which wud bring you up to the tower 😂It is true that the best view wud b at night but you wud want to be there before the sun goes down for photo purposes. We took the bus to myeongdong after our trip to namsan.
13,5.0,I have seen this tower so many times in dramas and couldn’t wait to see it in person. I was not disappointed.  The fabulous views from the top were amazing.  The locks and hearts were just as I imagined. I’m so happy I got to experience this.
14,5.0,"visited this place before but didn’t appreciated it much because too many people and long lines.. but this visit is so magical, 10am just about it opens, you can appreciate the place and better view, weather also cooperated, bright and clear sky even at a very cold temperature of -4C"
15,5.0,Honestly loved everything about this place..N-seoul Tower is probably the most beautiful place ive been and I live in NEW ZEALAND..Seoul is my favorite country
16,5.0,We had a beautiful day here.  You could see the whole city from the top.  It has super clean restrooms too.
17,5.0,It's an amazing tower in SeoulYou can see all Seoul from the topNice places ther is restaurant and coffee shop
18,4.0,As usual the tower Is a must if you wish to see the city from the top.Great view and location around is also interesting.
19,5.0,"One of the best viewing platforms in Seoul. Only costs around £4 compared to £16 at Seoul's Sky. Although the observation deck is lower the view is much more beautiful than Seoul sky and you can see all the sky scrappers which are especially nice during dusk and at night when everything lights up and there is an outdoor observatory too. Forget Seoul Sky, do this instead.Recommended"
20,5.0,"It is a tower located on the hillside, you need to take a cable to go to the hill top, you need to walk around the square where you will see lots of padlocks. But, you have to pay for 11,000 won to go up the observatory to see the whole country view.  You can also have a meal at the top before you come down."
21,4.0,"We were there on a Korean holiday so it was very crowded.  So much so, the line was too long to up up into the tower.  We went by cart as far as we could and walked around Namsan Park. Even from there buildings below looked liked a ""Legoland"".  Great perspective of the highly populated, dense city."
22,5.0,The view of Seoul city is beautiful to see from this place. I recommend to come here by sunset. There is an area where you can leave locks of love so don't forget to bring your own locks and write a message if you'd like to leave one. There are also shops and food shops. It's easy to get there by bus as well.
23,4.0,"Seoul North Tower was the final stop of our first day tour in Seoul. I can truly say that we were not ready for walk up the steep hill/incline/mountain (lol)  to get to the tower. Of course. there’s easier way to via Tram. But we decided to be brave, it was a real workout, but worth it. Our guide took care of tickets and other requirements for us to get into the Tower. What an amazing view. What was most noticeable to us was the cleanliness of the place. Well maintained (in comparison to my experience at the Tower in Paris). Although, it was crowded, walking around was easy. An highlight for me was the toilets in Tower. Our guide suggested that we should see it even we didn’t want to use it. (Pic below). There also other attractions on the grounds of the Tower as well. Well worth a visit, but be sure you are rested and ready to take it all in, ( they do have comfortable sitting areas).  We spent approximately 1hour and saw most it had to offer."
24,4.0,"There are a few ways of getting atop the mountain to access the tower but the ways are not really explained or marked properly including the time it will take to reach the top. This is my second time hiking up the hill. This time I took the stairs which were packed and it it is around an hour to get to the top with a multitude of breaks for taking photos. The hike is moderate but those with knee pain might find it difficult. I wish we had taken the other hike, not up the stairs but we couldn’t remember how to get to it. The views were nice and sunset beautiful. We took the cable car down."
25,4.0,Best place to rest and enjoy the view of seoul. Full of light at night and many places to take photo
26,4.0,"Great views of the city. Not as tall as the Lotte Seoul Tower, but set up on a hill which gives it almost as much of a commanding view. Several coffee shops and restaurants as well as gift shops at the tower as well. Spend an hour for a quick look around or spend longer and enjoy the view while drinking coffee or grabbing a bite to eat."
27,5.0,What a superb view! This is the tallest building in S Korea and 5th in the world. The glass floor will give you a fright and if you are brave enough you can walk out onto the floor and have your picture taken. Looking straight down through the glass is amazing. On the floors at the base of the tower you will find restaurants. I thoroughly enjoyed this sightseeing excursion and did it at the beginning of my trip. From the observation floor you will get a 360 degree view of Seoul.
28,5.0,"Despite it being extremely windy from the typoon, we still had a good visit. Amazing views. We had lunch at the restaurant which was amazing. You cant beat dining with a view like that. And for something different definitely use the toilet facilities, it's worth it."
29,4.0,"It's a popular place for both tourists and locals. Especially,at night, many tourists go there to look around the Seoul city with the beautiful light."
30,4.0,A new style of getting out and about.  Very interesting place .never seen anything like it..enjoyed very much
31,5.0,"I love Seoul, Korea🇰🇷. N Tower gives a breath taking view of Seoul. It has the ""locks"" bridge, souvenir shops, cafes, Hello Kitty shop, cable car ride. Can't wait to see this place again."
32,5.0,"I wanted to see this communication tower as it is on the Lonely Planet's Ultimate Travel list.  The Seoul City Tour company took us to see this tower as part of their N Seoul Tower, Hanok Village and Korean War Memorial morning tour.  This tower has very nice landscaping and gardens which I enjoyed walking through on the way to the tower.The view through the windows are hazy as the quality of air is not great in Seoul.  The most fun was the view from windows in the toilet cubicles in the ladies room, as it was the same as the main observation viewing windows.  I also liked the padlocks on the deck of a lower area.  (Borrowed this idea from the Paris bridge.).  In all a pleasant way to spend an hour."
33,4.0,Nice view at the top! Stayed there for longer than expected! Very good experience and easy to redeem redeem
34,4.0,"My second visit to N Seoul Tower was tons more comfortable than my first one as I didn't have to spend hours finding my way to the tower (brief recap: we got lost, walked for almost an hour, and ended up riding a bus). This time, we rode a bus and alighted at the tower's lower entrance, which meant that we had to hike uphill to reach the ground floor of the tower. It was a bit of a climb but it provided for a beautiful view of the tower and its picturesque landscape. We arrived just before sunset so everything was highlighted with a gorgeous golden hue background. We were fortunate for clear skies during our observatory tower visit; however, the views you get as you climb uphill or descend downhill prove to be more breathtaking than the one you get on the tower."
35,5.0,"I have to say that I have a profound love for korea so coming to the famous N tower was a must. The view is just magnificent and there are many places to take cool pictures. If you go in cold weather seasons go well covered because if chilly up there. Also I don't think is necessary for you to pay the ticket to go up in the tower, the magic is outside. Is crowded as hell too and it took ages for me to leave the place so i would definitely recommend you to just go to the outside part, the pictures inside aren't good anyways because of the glass. Stay outside."
36,3.0,"This is the best place for Seoul city night views. However, the waiting time for the cable car is quite long as it is crowded with locals and tourists. Overall, it is worth a visit if you enjoy night views.p.s. speaking personally, I think that paying to go up to the viewing tower is not really worth it as it is not much differences."
37,4.0,"We rode a bus going up the peak. It was a busy day in Namsan Tower..When the bus reached the parking lot, you still have to walk about 10 minutes in a steep slope to climb to the tower itself..The place was full of people and stuffs being sold.. We were told it was nice to go up the tower in their observatory but we didn't.. There are toooo many people and very loooong lines.. If you want to go up you need to be early or stay longer.The old ""shed"" in the area has a sad story behind it, ask your tour guide (if you have one) because im not spoiling..There is an outside observatory deck which they call the love locks deck with scopes that will aid you to view the entire Seoul Landscape..And speaking of love locks, they are literally everywhere..In the park, near the tower, on the observatory, and you can find love lock trees..You can buy one if you want to leave locks there.The view is spectacular, and even more beautiful with sunset and evening."
38,4.0,"After getting off bus no 5, you have to walk 5-10 mins of upwards landscapes to reach the N Seoul Tower. You can talk a few photo of it’s famous lover lock on the wall. And you can take close up look of N Seoul Tower. You need to buy entrance ticket to go up to the Tower. The view is good and worth a visit. I attach the bus no and it’s route . So you can know which places for your next stop. Hope I can know the bus schedule so I don’t need to wait that long for the bus."
39,4.0,"We kind of got a bit lost going up there because we had a misunderstanding with the bus driver. So we took the cable car instead and fortunately it was not crowded and the ride up was nice.You had to wait for a while for the elevator though, but the view was really good. You get a 360 degree view of the city lights. There were lots of food stores below too if you get hungry. And of course the there was the famous love lock. Definitely worth a visit."
40,4.0,"I feel like a trip up the Namsan Tower is a highlight of visiting Seoul. However, make sure you are prepared to spend a long time waiting. There is a wait if you want to take the Omni elevator to the cable car station (or you can choose to walk up the stairs like we did), there is a wait to buy your ticket for the cable car, there was a 40 minute wait after that to get on the cable car, and then you have to walk up more stairs and buy your ticket for the tower and wait for 30 minutes until it is your turn to get in line and wait to go up in the elevator. The view from the top was beautiful. We had hoped to go up while it was still light and watch the sunset, but it was dark by the time we made it to the top. The only downside of this is that the lights inside the tower reflect on the glass so you can't take pictures of yourself and see the city very well. There is also a 30 minute wait to go back down the elevator. We did enjoy the view from the deck at the base of the tower and got some good sunset pictures."
41,5.0,"There are many beautiful spots to see on the way leading to the tower. There are the Locks of Love which are posted in and around the various fences of this area. You can even buy your own padlock and leave a message on it and then lock it onto a post or wherever there was space. There is also a kids play area, stores for souvenirs or snacks, obviously the observation tower, statues and figures to take pictures of, and many rest stops along the way. Although the observation tower is a good view of the surrounding area, you can also get the view when just looking from the view point areas from outside the tower which is free."
42,4.0,You can get great views from here but during peak times of the year it does get overcrowded. But definitely worth going to at least once
43,5.0,Arrived the N Tower with our group after our great lunch in the financial district of Seoul.What a spectacular 360 degree view of the city. Luckily we were able to watch an endorsement photo shoot by a well known K-Pop artist  of a Nissan Car.  We have wonderful tour of the city that day.
44,5.0,"Stupidly I agreed to walk with my friend from Myeongdong to N Seoul Tower. It took an hour but don't worry, there are several buses which go to the top. Out of the 3 towers you can have a view of Seoul, this is the cheapest and buying from Klook is 40% cheaper. N Seoul Tower has a great view of Seoul, especially of Myeongdong. There are several activities you can do - have a photo taken with a green screen and insert different backgrounds, send a postcard from the observatory deck or have a coffee or meal. The men's toilet has a great view as well."
45,4.0,"We were lucky we visited on a good weather, and we could see the views clearly. The toilet cubicle is so interesting too, with a big mirrow reflection in front of toilet seat and the glass panel at the side of it, so we could either look out to the view outside or look at ourselve in the mirror."
46,3.0,Good view of Seoul but mostly building. Went up observatory and came down to the car within 30 minutes.
47,4.0,"The N-Seoul tower is located close to the town centre and so provides a great vantage point to see ‘greater’ Seoul and gain an appreciation of its size.  We visited during the day and (apparently) were fortunate in that the air was relatively clear,  which allowed us to see more than is normally the case.  Nevertheless the atmosphere seemed misty and objects in the distance are observed in a haze.At the base of the tower is an open area with a small shopping complex and open space which was busy with families and tourists.  There was also a small market which according to our guide was unusual. Access to the tower us by a pair of lifts which were not busy so we didn’t wait long to get to the viewing platform.  This is on two levels, the upper having an external area.  Souvenirs and snacks are available including a self serve sweet shop which was very popular.Well worth a visit and I imagine the night time view would be even more spectacular."
48,3.0,"it's a nice tower, but personally not a must place to visit. facilities is good, the view the the tower is great, but since this is no Iconic thing you can see from the Tower, so make it less interesting. T"
