,title,text
0,5.0,"If your in Seoul you should visit the N Tower. The view is very fantastic,  you can see the city lights on the top, its nice to visit during evening.  They also have restaurant there in case your hungry and you want to enjoy the view while eating."
1,4.0,"There is LED tunnel, Love Lock area, and also the observatory deck. It is best to go with lover. Easy to go there by bus or cable car."
2,4.0,"The tower is a place to observe the city. You can choose to go up by walking the park, take a cable car or by bus. The canke car will cost you about 7000₩ one way or about 10000₩ return."
3,5.0,"A well recommended hike from the Grand Hyatt Seoul to the Tower.   Excellent for all ages, especially families."
4,4.0,"I visit towers in every city I travel to, so Seoul was no different. However, it took a lot of effort to get up there. The easiest way is to take the metro to Myeongdong station, walk 10-15 minutes to the Namsan Oreumi elevator to get to the cable car station. Even once you get off the cable car, there are about 100+ stairs to climb. There are separate entry tickets for the cable car and the tower. Get there before sunset, to get great day and night views of the surrounding city."
5,3.0,"Well, it’s a landmark and yes you should see it but I felt a bit let down as I expected more... it’s not bad, but surprisingly little things to see or do for the schlepp...."
6,5.0,"I took a night tour bus to here and we only had 30 minutes to take pictures at this place.  I was not able to get to the top of the tower because of the time limit, however, the view I did see was fabulous. The mountain is steep and it is best to walk up it slowly if you aren't used to walking up mountains.  Though I had no time to get to the top, I enjoyed the view I could see.  There are many tourists on this mountain and everybody is camera and selfie happy, so you may have to wait to take photos at different sites.  This was worth coming too, even if you cannot make it to the top."
7,4.0,Took a bus from Seoul station to tower. Must visit place in Seoul as you can have the 360 degrees whole city view. Bought ticket from klook and redeem it at kiosk outside the entrance with ease.
8,5.0,"I had tried to go to N Seoul Tower on a Sunday and the queue was so long it would have taken at least 2 hours to get up, plus it was rainy. Instead I went back the next day and not only was it better weather and almost no queue, but they didn’t make me buy a new ticket and even offered to refund my ticket from the previous day. I went up the little elevator to the cable car, where there was free entertainment I did not expect to see. From there I visited the Hello Kitty museum which is small but so cute. Then I got in the elevator to the top of the tower. There are cool projections on the way up, making it feel like you’re shouting into space. The view from the tower is incredible.A super fun day out, and really reasonably priced."
9,4.0,"Well worth it. Awesome views!A short walk from Myeongdong, where I stayed. I took the cable car up and walked down."
10,5.0,"I went at night time and bought a 1 way ride to N tower, there was a kpop band doing a concert their which you got to watch for free, the views of seoul at night were amazing. If you give during the day you can enjoy the park aswell. There is loads to do at N tower. The walk back was stunning. Just be careful on some of the stairs as they are close together"
11,4.0,"Recommend coming here in the evening for a great view of Seoul lit up. I didn't go on the observation deck, but managed to get good views of the city from down below. There are a few reasonably priced restaurants on the lower floors of the tower. Bus no 2 goes here from the Chungmuru area."
12,4.0,Not the first to visit  and of course be sure that you will enjoy a clear sky otherwise you will loose the reason to go all this way up to the hill.. the breathless view of seoul...
13,4.0,I have visited this place in Feb 2019. Located near Myeongdong Subway Station. We can reach there either by ropeway or by walk. Best time to visit is in the evening. There is one place on the tower where couples tie locks like Pont des arts Paris. Try to avoid this place on weekend as it will be crowded.
14,4.0,"Took the trip up to the base of the tower by the cable car, however didn’t go up this time due to the heavy haze.I have been up before and the view is good however there is a lot of reflections off the glass.The base has cafes and tourist items available however I noted the price was well above city prices.Great view even if you don’t go up the tower"
15,5.0,"This is one of the top rated things to do in Seoul and for good reason. The views from the top are absolutely unreal. That said, there is quite a hike from the bottom to the top of the tower. No cars are allowed in the area, so you take a shuttle bus costing about 1200 won per person from Myendong Bus stop 3, and a few other locations. It takes about 30 minutes to get there. From the drop off point, you have to walk up a steep hill for about 5 minutes to get to the lift to get to the top. Once there, you buy your tickets. They offer a student discount and also a senior discount for people over 65 and also a handicapped rate. Make sure you have some documentation of the disability as Japan and Korea are really tight about this and will not take your word, which is really stupid. Last week, we had to wait about 40 minutes because of the amount of people there, so we spent some time in the gift shop, capitalism amirite. Ended up getting to the top eventually and was blown away by the sheer scale of Seoul. This and Tokyo just make every other city feel like small villages, even LA and NYC."
16,4.0,"Lots available. Would be a great date spot where you could spend most of the day. Different food options, good little hike, can opt for a cable car ride, fun love lock location, a kids area, and just some nice nook and crannies to sit and enjoy."
