,title,text
0,2.0,"This is a market mainly focused in optical products, knock off clothes and not very authentic souveniers that are made in China. Go to Gwangjang Market if you are looking for some street foods, Go to Myeongdong if you are planning to do some shopping. Worth a visit if you are trying to get yourself a new pair of glasses, but you will probably be overcharged if you are a foreigner. Bring one of your Korean friends. Since it is very close to Myeongdong maybe a 30 min quick stop would not harm you if you do not expect too much."
1,5.0,"this is one of your must-dos if you visit Seoul, the people, the food and the collies. easy to get to. That’s where you experience the Korean life."
2,2.0,"Most people have said on the internet that you can shop here until the wee hours of the morning, but be warned that vendors DO pack up at 8 or 9PM and then it becomes a dead zone, I have tried going 4 times at night and this is the result, it is best to go during the day."
3,5.0,"Don’t be scared to explore every nook and cranny of this fascinating market. From 10am to 5am you will find many treasures, depending on the time. Also, if you want to practice your haggling skills then this is a good place to start. (Don’t haggle food though; however, don’t me nervous about asking for a big portion.)I’ve come here with family or friends, but keep the little ones close because there is a lot of hustle/bustle taking place. Since it is a traditional style market, try some food you’ve never eaten before. I discovered cow lungs mixed with spicy red sauce and rice is delicious. This is a great place to buy cheap clothes for kids. Also, the silky grandma pants are wild looking and comfortable. I got 2 pair for 5$ once. I wouldn’t take kids here at night, but Seoul is very safe. There might be a lot of drunks singing at the moon, and if you fancy getting drunk and shopping, then by all means shop here. If visiting Korea, then this is wayyyyyyy more of a “korean” experience as opposed to doing something mundane like visiting Seoul Tower. Like I said—-explore. Go in buildings. Walk around. Haggle if you can. Don’t get ripped off. Try something exotic to eat. Howl at the moon with traditional Korean alcohol."
4,5.0,Hair-tail alley is a must visit it was so good I went three times on a seven day trip. Currency exchange rates are better here compared to myeongdong.
5,4.0,"We walked this market a few times while we were in Seoul. Many vendors and stores offering overwhelmingly beauty supplies, sneakers and food etc. Name it, you can find it there. We spent about an hour here the first time and kept going back. We purchased a few souvenirs, teas and makeup mask at very reasonable price."
6,5.0,A market where you can find very good street food and nice shops.I like this place and enjoyed the street food
7,2.0,"We visited in the afternoon and there were lots and lots of stores that sell similar stuff. They sell clothes, shoes, souvenirs, kpop merchandise... the prices were more or less the same but some were cheaper. We did not spend much time there though since the place did not look appealing (it may have looked more alive at night) and it is easy to get lost.If you want to shop for souvenir, this could be a good place to go."
8,3.0,"The amount of shops were lesser and less touristy as compared to Myeongdong. There were, I think, more food stalls though."
9,1.0,"Nothing much to see or buy. Within 10 minutes, we left the place for good. Will recommend if you are interested for photo taking."
10,3.0,Very crowded market with lots of different shops selling the exact same stuff as all the other markets. They seem to have a high demand on phone cases in this country. We had very nice heotteok here.
11,2.0,"I didn’t particularly care for this market. Too much cheap stuff in jam packed spaces and hoards of people. People rummaging through clothes scattered across tables, cheap knock off handbags, tee-shirts, etc. I did enjoy delicious bibimbap at a small restaurant nestled just beyond the cinnamon donut street food vendor. A lovely owner who stirred my food for me and was so very kind. I preferred Myeongdong neat LOTTE and Dongdaemun neat JW Marriott and Doota."
12,5.0,"It seems as though every time I find myself in Seoul, I find myself at Namdaemun Market. I love this place especially if you know what to look for. They offer cheap prescription sunglasses to affordable brassware. The weekdays are the best time to go here as the weekends are crazy packed and it's difficult to even walk in the streets. If you haven't been, check it out!"
13,4.0,"We visited Namdaemun Market right as the sun went down, so I'm not sure if some of the stores were getting ready to close for the night, but we still found some awesome deals. My friend bought a cute winter jacket for $5!!! We bought some toddler hanboks for W35000, which is pretty reasonable."
14,5.0,"You're looking for souvenirs, local items made in Korea, Namdaemun market is the place. I bought some of their local snacks like dried fruits and vegetables, sweet potato chips, and many other kinds of flavour. We got free bag of mix veggies and fruits chips for each item I bought, great deal. Namdaemun is one station away from Myeongdong."
15,5.0,"This place full of cheap stuff, such as souvenirs, clothes, etc. And sometimes, the seller will give you some bonus. There's a lot of street food too."
16,5.0,We stayed 9 days in Seoul next to the Seoul station..we asked to the hostel reception for the best price exchange..He said Namdaemun and Myeongdong back streets have better rate from banks.. That was right especially in the midpoint there were two places that have very good rate. After Seoul we went to Pusan and Jeju.. we couldn't find good rate..if you start from Korea journey from Seoul..I advice you can make all exchange in Namdaemun market.. and in that time you can eat very delicious Korean local food on the street..
17,3.0,"This market is positively rated in most guide books. From my point of view it’s a bit overrated. It’s almost the same in such markets in Asia-colourful, noisy, overcrowded."
18,5.0,"What a fun outdoor market.  You can find anything in the market and it’s a lot of fun looking and haggling. It is easy access via subway, lots of great places to eat, and lots of cheap stuff to see and buy."
19,5.0,"Namdaemun is very famous for its cheap and affordable price if you want to do shopping. They sell clothes,shoes,socks and many more!"
20,5.0,"Some stores are closed on Sunday.  But most of them are open everyday, crowd starts to fill the market around 9am.  Mostly dry goods and preserved food.  There are small restaurants nearby. Your ₩20,000 can buy a lot of souvenirs."
21,4.0,This area is huge and basically you can find everything there. I did not buy anything so I am not aware of prices. Area have also many nice camera  shops.
22,3.0,"This is the place to find cheap souvenirs. We had a good tour around the market, we spent some time here browsing for nice souvenirs. They sell so much stuffs here. Clothing/ accessories/ footwear/ snacks/ food. We did not try any of the food there, though some of them had Halal signs. Some sellers speak Bahasa Malaysia. Just a few Malay words. Interesting! We went there just to find souvenirs. There are other places you all should check out if you want to buy fashionable clothes, shoes, cosmetic products."
23,4.0,"Whole sale market. Touristy but very traditional place at the same time.There would be everything you need.You can also get some cool stuff for souvenir.Calguksu street represent this place. Calguksu bibimbob nangmeonw combo is signiture meue of this place.It costs only 6,000 or 7,000 won."
24,5.0,I am totally amazed by the changes through the years at Namdaemun..In fact Namdaemun is never my top option to visit. But I have changed my mind since after experiencing the changes which took place. Neater and easier to walk around with less grouchy vendors. More signs for tourists to locate different zones and with helpful guides in uniform around who speak several languages to assist with maps given.Various yummy authentic food available at reasonable prices such as Hairtail Alley which is a must try.Lovely easy connection to Seoullo7017 the pedestrians walkway from Namdaemun after all the feasting..easy going walk.
25,4.0,"Lively market. We arrived around 7pm so most clothing shops were already closed. However at the street level all the little food stalls were bursting with life so we tried some of the food, some of which were rather interesting! We felt safe eating these ‘street food’ because they fried/warmed them up on the spot. The shopkeepers were friendly too. A great experience."
26,5.0,This is the best place to go for souvenirs and street food because it is much cheaper and less crowded than Myeongdong or other famous shopping places in Seoul.
27,5.0,"I knew I wanted to spend the day at one of the famous markets, they are so fun, loud, interesting, and you get a true sense of the culture from meeting the street vendors and trying all the exotic dishes. This market in particular I was told is the biggest one in all of Seoul, my friends and I spent nearly five hours there and feel like I barely covered a small section."
28,4.0,"I went in the morning when the shops and stalls were just opening, and it wasn't too busy. I'd recommend in the late afternoon and at night when its crowded and hustle bustle. It would add to the atmosphere and excitement of the huge market.The market seemed to be orderly, with womens clothing grouped together, electronics all in one area, children's items in one area, etc. So there is some order to the market! I recommend just wandering down the allies and exploring without a plan. Please keep in mind there is no English to be found, so bring your guide map! There were 2 young girls wearing red information vests who spoke wonderful English to your destination and provide you maps.Definitely go to this market! There's a great feeling here and you can pick up anything and everything you could possibly think of and need."
29,4.0,"Are you hungry? There's a variety of things to eat! Do you prefer to shop? Don't worry, Namdaemun's got you covered!Do you just want to see new and exciting things? Well, what are you waiting for - go to Namdaemun!Even if you don't want to spend money, I would highly recommend still going to experience the atmosphere of a traditional market. There are people everywhere, shop owners are shouting about the items they are selling to those who might be interested, and deliverymen are swerving in and out of the crowds.Also, side note - please go eat the Hotteok here! IT IS DIVINE AND AMAZING! Especially when the weather is cold!"
30,5.0,"There are many kinds of  food . There is a shop selling  hot steaming buns ! Their original ones taste fantastic, prefer the  original to kimchi one!  First time trying  out the pig's leg there.... not  bad but tasted better ones. A place to buy bath cloth !"
31,5.0,"It's a nice local market, perfect for shopping souvenirs to take home :) Try the dumplings and the ginger tea, those are so good!"
32,5.0,"There is this old lady (ajumma) who sells almonds and all the real o brownie cheaper than anyone else in seoul. I compared prices across lotte, gs25, 7-11 and all the other stores but hers were the cheapest and has the same expiry date as others.She was very kind and she offered us to try the almonds of various flavours for free.I took a photo of her stall which I will share once I find it. Her shop is very small and narrow along the main street down Namdaemun market."
33,5.0,"If you're a fan of spicy braised fish soup or galchi jorim, this is the place for you! Hairtail Alley (found in Nandaemun Market) has clusters of small eateries selling this specialty---hairtail! I first learned of this this place from a YouTuber, and he made it look so good, I knew I had to try the dish when I visited. I'm so glad I did. The soup was to die for. I'm now a fan and trying to recreate a version of the dish at home."
34,4.0,Decent market. Not unlike it's sister markets around the world. Good selection of stuff. Best if visited to observe / experience local culture. Good 2-3 hour trip.
35,5.0,"Asian market place in downtown Seoul.  Hustle, bustle, sights, sounds, and smells.  Certainly worth the visit."
36,3.0,"well, you wouldn’t mind the crowd; Endless markets to shop; Endless road to roam; Endless line to grab a bite of « the » glassnoodle pancake(hotteok). Namdaemoon markets to have a sneak peak at KoreA👗👒"
37,5.0,"I really like this place. People are so friendly and there are many street shops where you can buy souvenirs and eat. There is a mandu place inside the market that is really good and really cheap. You have to go there. They give you 5 Mandu for 3000 won and you will have side 단무지 for free and water. There are many tourists so, sometimes make sure to ask for a discount in some stores."
38,3.0,"The place is near Courtyard by Marriott Hotel, you could visit it by walking 🚶 .... We had the chance to visit the market and bought some souvenir items on a cheaper price..."
39,5.0,This market is a must for visitors - to see the various goods there are for sale ... from clothes to food .. but one must try to bargain for a good buy..
