,title,text
0,4.0,"On our last day in Seoul, we went up to Namsam Tower via Cable Car during winter. It takes 10 minutes. Luckily not many people we were able to enjoy the evening and night views of Seoul sky line. Of course the attraction were the love locks, sadly there were signs telling people the love locks will be dismantled due to safety. We bought a keychain for our daughter to write wishes on and clipped it on the railings. The keychain was much cheaper than the locks. A game room for kids and adults to enjoy was available and a few restaurants to have a cuppa hot drinks because it was freezing up there. If you are fit you can go down and take a walk along the cable car station. Lots of beautiful places to take photos behind Namsam Tower as the backdrop. A must try if you are in Seoul."
1,5.0,The ride in Namsan cable car provide a great view of Seoul when you are riding up and down.  Would suggest to take the cable car during night as the view is great.
2,1.0,"I took the cable car down with my 3 year old son (we walked up), and we looked forward to the views, but the queues are long, the staff are pretty rude, and you’re rammed in to the cars. It’s pure luck if you’re next to a window with enough room to get your camera out and take a photo. It’s definitely not worth the money (everyone over 3 pays). The walk up was really lovely - even on a warm-ish day in late May. There are also several buses that run you up to the Tower, which I’d definitely recommend over the cable car. I wish we’d walked back down."
3,5.0,"This visit to Namsan, I noticed that there were lift access for wheelchair visitors which is good knowledge if we were to bring parents next round!Autumn is one of the most beautiful periods to visit."
4,4.0,Well worth it! Nice up close view of the tower and amazing view of the city. Come just before sunset for a breath taking view. The city lights at night is also amazing. The cable car ride is usually full pack so do not expect the ride to be a scenic ride. It's just a ride to your final destination.
5,4.0,"We went to this lovely Cable Car ride coming down.It is perfect way to see the beautiful city of Seoul sky line.Only issue is ,it done so quickly and have to be lucky to have clear day.We had some cloudy day.You can do either going up or down."
6,4.0,It’s the fastest way to N seoul tower. located at the bottom of the hill. Cable car can accommodate about 50 pax per trip. Pay round trip ticket if you opt to use it going back down. Nice view to the city while on transit.
7,4.0,We took a taxi from Itaewon straight to the Cable Car station as we heard it's a very long walk uphill. It was a weekday and there was no queue. The waiting area was air-conditioned so that wasnt too bad. Strollers have to be folded while you are in the cable car. Each time a ride can fit about 20 people.
8,5.0,"I have walked up the hill to the Namsan tower before. In fact, I walked it several times before trying the cable cars.  The cable cars are the way to go!  There are still many steps to go up after getting off the cable car.  If you are not use to walking uphill on a steep incline you will want to wait for the cable car. It also offers very scenic views to the top."
9,5.0,"Great view from Namsan cable car, good ride and shortest way up to continue your walk to seoul tower👍🏻"
10,4.0,"The old cable car which represents Namsan and Seoul.It's nothing special comparing to brand new ones in the country.But, visitors would better try when Namsan is covered with snow, cherry blossoms or fall foliages.Considering the distance, people may complain it's expensive. But, it doesn't require lots of money anyway.Trying during Chuseok or Seolnal isn't recommended because there'll be a crazy number of people."
11,5.0,"We used Cable Car when we visited N Seoul Tower. The easiest way is just walk straight from Myeongdong exit 4 and turn to the left at the intersection. Then walk about 300 meters to Namsan Oreumi. Then you can use the elevator to reach Cable Car station. To avoid the long queue on weekend, you can go on Saturday morning. From the Cable Car, you can see the view of the city."
12,4.0,"Two ways to get up there and is good to be there just before the sun set. Winter sunset about 4-5pm. You can take the cable car or taxi or drive if you rent a car. Note that the cable car fee is not the fee to the Namsan tower. Adult return ticket	8,500 won	Adult one-way ticket	6,000 won	Children return ticket	5,500 wonNamsan Tower ticket - 10,000 won for Adult. There is Hello Kitty place which you have to get a ticket too to enter. But its optional.Many eateries available at Namsan Tower. The view is Superp!. Nice place to chill. You don't have to go up the Namsan Tower if you don't want to. At the base of Namsan Tower is good enough to hang out and shoot some photos."
13,4.0,"If you are tired or can’t walk uphill, this a salvation to get to N tower, takes a while to do the line, but sometimes even it is crowded you can get it in matter of minutes"
14,4.0,"If you travel during peak session do expect to wait for 1 - 2 hours. Normal time should be within 30 minutes. Restaurant and mart available inside the station.Walking distance from Myeongdong area, about 15 - 30 minutes by foot to reach the cable station. Round trip price for adult 8500w & 5500w for children."
15,2.0,"The cable car journey is short. The cable car station is located at the mid of the hill. That is, we need to walk up the hill before you get a ride to cable car. After we arrive the hill top station, we still to walk up many stairs in order to get to N Tower. From transportation view, it is bad.The fare is expensive and not worthy.Since the journey is short, we can see the Seoul city view but the time available is very short."
16,4.0,"We stayed in Starria Hostel when we spent out holiday in Korea.Starria Hostel.located in Myeongdong which is many hotels,guest houses,hostels, restaurant,mall,etc.Myeongdong have a popular place for travellers.it called Myeongdong Market.many shops offer cosmetics,food street,fashion,etc.And in Myeongdong Area/District we can find Myeongdong Cathedral,on of UNESCO's Heritage Building in Korea.From Starria we walk to the south,along this road,until you find upstair which connected to another road.Walk 10 -20 mins you will find Namsan Cable Car.That place can bring you to the top of Namsan Tower without walking from bottom to Tower. We didnt use Cable Car..but we dont use Cable Car to Namsan Tower. We walk to the Top of Namsan Tower.From Namsan Cable Car we can walk 10 minutes to Namsan Park and continue walking to the top due to about 1 hour.The Cable Car will stop around The Tower.there are many locks which we call them Love Lock.it means that your love is locked and you must throw away the key of the lock."
17,5.0,Be prepared to wait for at least 1 hour to take cable car to the mountain peak. Adult ticket is 8500 won while children below 3 years old to elementary is 5500 won.
