,title,text
0,4.0,"N-Seoul Tower is a must visit site if you are visiting Seoul. The tower is open till 10.0 or 11.0 pm for entry. You will witness some breath taking views from the observatory deck, Access to the uphill transfer till the tower is comfortable."
1,5.0,"Nice view of the city which is surrounded by the sea, hilly mountains.Weather was great in coldness i presume below 10c, flower was bloomimgsGood to spend time here with loved ones with the great scenery and cold weather"
2,4.0,This is a good place to walk but be aware that it is all up hill.  Some of my older friends taxi up and walk down.
3,5.0,Get your partner there and she/he will fall in love with you all over again and again and again I promise
4,4.0,"Took the cable car up to the top. Was on a weekday, no queue for it. Once up there a nice view all round the city. The love locks was an interesting find.Good for a visit and to see the changing colors of autumn. Cable car ride is very short but do try it for a spectacular view."
5,5.0,"you must see Seoul from the top of this tower, and you can ride the hanging cart to get a nice experience."
6,4.0,"If you're anywhere near the Namsam Park/Tower, I would highly recommend a visit to the top of the hill/mountain. The place is an easy hike up through various trails, but if you are not up to hiking up (easy and paved steps/trails), then you can take the tram up to the top and walk down. I would imagine, the leaves are turning colors now, which would be nice. I plan to do the hike (which I've done multiple times) when I visit Seoul in a few weeks."
7,4.0,"Walked here in the morning - there is a service road leading from the north east corner (head up behind the Youth Hostel) which contours around the hill and is popular with joggers and walkers. It gives a nice walk in the forest without going too far, and ends at the ground station for the cable car. There are several coffee houses in the streets near the Youth Hostel, so it made a nice early morning walk and breakfast."
8,5.0,I went for a run in the park all the way up to the tower and enjoyed it a lot! There are also many outdoor gyms scattered throughout the park. The history of the old city wall that runs through the park is also very interesting.
9,4.0,April is the spring festival season. The waking route till the n tower is like a heaven. The garden is very well maintained and one of the must visit place
10,4.0,"Breathtaking!   Exhilarating!   Cherry blossoms greeted us along the route to the tower!   Despite an overcast day, visibility of the city was good!   There are also many restaurants and things to do indoors!  This is a site worth visiting!"
11,5.0,"Namsun or Nam mountain, is a must see in Seoul. There are several options to get up there, taxi, bus or cable car. You can go all the way to the top of the tower to have nice dinner, or just to experience amazing view. Namsun is not something that some of other cities don't have, Belgrade also have Avala mountain and Avala tower, but it is about 20 km from city, so the view is nothing special, just woods. But Numsan is totally different you will be amazed by the view, because it is located almost in center of Seoul. Oh yea, you have to use cable car, it will take you to one amazing street, and most crowded street I have ever seen, it is Myeongdong."
12,3.0,Spent an evening here in the winter. Good views of Seoul but bitterly cold! make sure you wrap up warm before you go!
13,5.0,"Good park & tower in the heart of city. Fresh air, nice nature, good food & others. You can relax after seeing the city on a trip"
14,5.0,"The cable car runs every 10 minutes, and is a popular ride to get to the N Seoul Tower. Up top, you'll see the thousands of ""locks of love"" placed by couple on all the fences and ""trees."" Fantastic views, even if cold and windy. Arcades, restaurants and a gift shop as well."
15,5.0,Very worthwhile across the Street from Grand Hyatt walked every day quiet relaxing the fall colours were beautiful was also there last Feb even though winter was still nice amazing city views and history there
16,5.0,"Stayed at the Millennium Hilton my first night in Seoul after flying from the U.S. awoke early and hike to Seoul tower via Namsan Park. Very nice walkway, lighting where needed, and many spectacular views of Seoul as the sun rose. Great Way to take advantage of first-night jet lag!"
17,4.0,"Since I stayed nearby, took a climb up the park. That is 1.5 kilometers up. There are cable car option that you can take. Cost 6000 won one way. At the top is Seoul N Tower. Do take a look at the very colorful love locks on the way down. It adds to the uniqueness of the place."
18,5.0,"Sometimes in clouds and sometimes sunny, the place is like a hill full of trees. Also nice for a walk up or down."
19,5.0,"I would recommend this for anyone fond of trekking. the view of seoul is rewarding. for people that are wary of trekking, there is a cable car to take you to the top."
20,5.0,The hotel we always stay at in Seoul looks out over the Namsam Park.  I love hiking around the woods and trails.  The tower provides an awesome view of the surroundings.  We had an amazingly beautiful day but was a bit hazy so didn't get the usual view.  Can spend as long as you like touring around this place.  They did have a very nice performance playing at the top.  Like Samurai type warrior stuff.  Really nice to watch.
21,4.0,This park is quite beautiful and is a welcome respite from the concrete and busyness of Seoul. This park is on a mountain and is surrounded by forest. It is accessible by walking or by cable car. The view of Seoul from the cable car is wonderful and there are plenty of things to see at the top. I recommend going in the morning because the park fills up quickly on the weekend. It is also best to go on a clear day when the pollution is not too bad. The love locks are fun.
22,5.0,Namsam during Cherry Blossom time was magical. There were various species of cherry blossoms bursting everywhere. The park (on a mountain) is very well designed and a delight to explore.
23,5.0,"I stayed at the Grand Hyatt so the mountain & park was a short walk. I really enjoyed the trails & the views from the top. I didn't use the cable car or tower. My highlights were the old city wall & the Namsan Alpine Club (I accidentally stumbled across this unique ""outdoor gym"" high up on the mountain"
24,4.0,"Got up at 6am to walk up to the Tower.  It is freezing in March so make sure you bring your winter clothes.  It was -2 degrees celsius on this morning and you can reach the top in around 25 to 30 minutes - including photo stops.  The steps can be quite steep so expect to do a few rest stops on the way up.  You get to go through Namsan Park so you can see some monuments on the way, the National Library, Observatory, and if you start at a later time, get a chance to take the cable car.  At dusk you are able to see the city lights and see the sunrise too.  Good exercise, lots of exercise machines in the park too."
25,4.0,I had intended to go downtown but because of political protestors we had to turn around. We were near Namsan and decided to go to the top. What an amazing view from the top of the tower. They were performers at the top and I could have watched their sword act for hours. And make sure to lock your love. Due to the Christmas season it was decorated and lit beautifully.
26,4.0,"We started our walk from The Hyatt hotel, and it was just all up!  Fantastic and lovely walk thru this park. Loved how there were 2 gym areas to do you workouts, lovely clean areas everywhere - this is how ALL of Korea is CLEAN AND TIDY.  Whilst walking we past a lovely small lake which has heaps of 'gold' fish in it - however the lake was frozen - rather funny as we tried to drop stones on it to confirm it was frozen"" ❄️as it was -6"" and we were loving it. There was also a lovely kids playground and some interesting signs around the park.  Then came the huge steep hills, they have steps or ramps to get up them, which I had to do the ramp. (Definitely need shoes with a good grip). Once we finally got to the top we found out that there was a bus that could take you to the top.  I'd recommend this if you couldn't do the walk as it's definitely something that you should see.  From the top we found this incredible view 360"" of Seoul.  We had a lovely cheap lunch - pizza & drink - I was there with my brother & the restaurant took us to an area which was for couples - love seat with an amazing view.  Would've been great if I was with my husband, so we got up & went to another area which was heaps cheaper & perfect for what we needed. When heading into the tower be ready to gave your photo taken & to make a pose. Unfortunately we didn't do it in time so we got a crappie photo. There are shops underneath the tower however most of them went finished being built, only a couple open, so not really worth going into until they're finished.  Enjoy the return walk as it's mostly down hill, we actually went thru a dirt track coming back and it went straight down the side of the mountain - extremely quickly considering it took as about 45 minutes to get to the top and about 20mins to go back down.  If taking the short cut be very careful but definitely worth it."
27,5.0,"Great paved hiking paths to the top of the mountain. Several exercise areas along the paths. Paths lead to Seoul tower with wonderful 360 Views of Seoul and surrounding mountain ranges. May be strenuous, but all ages are hiking. Restaurant and snack area at Seoul tower"
28,5.0,"From downtown Seoul, there is a beautiful path up to Seoul Tower.  I've done this twice now, the first time by myself, and I believe it would be difficult to get lost.  Just head up towards Seoul Tower, and eventually there will be signs leading you up the path.  There are a ton of stairs, but it's peaceful, beautiful, and very friendly.  The view from the top is great, but it's all about the journey.  I highly recommend following the path up."
29,3.0,"This Namsan Park can be reach by using the cable car from the city.  Where we get off near the namsan tower.  We can see good view while we are going up by the cable car.  Soon when we arrive we can find some Cafe, Restaurant, Souvenir Shop.  Before we can see all the restaurant, shop, etc, we should climb up Steps.."
30,4.0,"Located close to old downtown, there is a good and nice ride with the cable car to teach Namsan tower top. Good views and a nice restaurant."
31,4.0,"Tend to be crowded with tourists and locals alike. However the reason to that is that the cherry blossoms there are really nice, and if you have time to take a walk, it is utterly romantic and you are able to get a view of the city below."
32,5.0,"It's must see location if you are visiting Seoul. Perfect view of the city and its surroundings. Good to visit during the day and at night. Many interesting things to do,  perfect pictures opportunity."
33,5.0,"The park is crowded at all times of the day, every day of the week.  But, it's so beautiful and the trails, streets are just a nice place to walk and hike.  During the summer, you have to get out very early because it's so hot.  But during the winter, it's so nice to go for a walk around 4:30am to have a quite beautiful walk!  It's clean, and very nice.  The cable car is an option for anyone who does not want to walk up.  There are shops and restaurants on the top, that are fun to browse or eat at!"
34,4.0,Not only is it a cool way to get up to the tower but you don't have to do the 30 min uphill walk if you are in a rush to get around and see this incredibly big city. The ticket you but for the tram IS NOT a ticket to get to the top of the tower. You must purchase another pass at the top. The views even if not going up to the top of the tower are still remarkable
35,3.0,"I rode the cable car to the top, expecting beautiful scenery and hiking trails. Instead I found hordes of tourists posing for selfies, eating, and buying souvenirs and love locks. There were good city views. Although I had bought a RT ticket, I walked back down. There was a lot of construction and it wasn't very pretty, except for a few statues.  Not a highlight :-("
36,5.0,"What is so amazing is that this beautiful park is in the middle of a concrete and steel city. Walking in the park (like walking in Central park in NYC) you do not realize you are in a large, busy, international city. It's a lovely experience."
37,3.0,Traveled there in the autumn and enjoyed the beautiful colors. Not much else to do. Skip the car that goes up and simply enjoy the view walking around if your hotel is near; otherwise skip altogether.
38,3.0,"It has a nice view, a trick eye museum, a restaurant, and a cafe in the tower. The price was really affordable, it worth a trip while here."
39,5.0,"Nice oasis of tranquility in the busy Seoul.  Nice climb with an amazing view from the top.  For those who can't climb, there is a cable car that will bring you to the top, and, I think, some buses are available. When I say climb, it's not rock climbing.  On top of the trails in the woods, there is the road that you can walk up."
40,4.0,"Very interesting place. You can see how huge Seoul is from this tower. Not so many activities up there, I think just shopping souvenirs."
41,5.0,Beautiful scenery of entire city of Seoul can be viewed from Namsan mountain and the TV tower on top of it.You can go up using the cablecal or by foot. Recommended: go there afternoon and beginning of the night to see the city lights.
42,5.0,"I enjoyed wandering around. We found our own route up on small deserted footpaths which was very pleasant. The top is a bit hectic, but part of the experience. You can appreciate just how massive Seoul is stretching up the valleys on every side."
43,4.0,"Very good complete view of the whole city.Must visit while in seoul in the night time especially. Love the infrastructure, main tower & lock trees were hilarious."
