,title,text
0,5.0,The view puts this megacity into perspective.  The landscape from Namsan Park are phenomenal.  Lots of gorgeous photo opportunities.  Don’t forget to purchase a love lock and marker to display it with all the others. Definitely a must visit place in Seoul.
1,4.0,This is a very large park. On weekends can be very busy with lines of over 1 hour to get upstairs using the cable car.
2,2.0,"At the time of our visit it resembled a building site with much of the area fenced off for renovation. Billed as a Hanok  Village : village it's certainly not, but just a collection of 5  Hanok style houses assembled from elsewhere!  They are all rather similar and  quite dreary!"
3,5.0,"The park is connected to namsan tower. You can take the cable car to reach the park or you can take the long stairs way, about 1 km of stairs. The park is small but it has a nice view of seoul and you can also see the old seoul wall all along the park surroundings."
4,4.0,The park surrounds the Seoul Tower. We got a cable car up to the top but apparently the walk is nice and quite easy (to me it looked steep though). A lot of us were crammed into the cable car but it was a good experience. At the top there’s a few cafes and absolutely millions of locks of love - incredible.
5,5.0,"Hiked up from Itaewon, past the Grand Hyatt and into the park that covers the mountain. The views of the city are there, but much more to the point are the trails - paved, dirt or just tracks in the woods. Lots of flowers on the main paths. Places to stretch or rest or do other exercises. It is highly recommended and you feel much better for having walked there."
6,5.0,This park is large and will easily allow for half a day exploring (including up to Seoul Tower). Impressive views of the city. Very clean with well laid out trails. Recommended to visit on your first day!
7,4.0,To appreciate this place take the cable car and then pay the extra fee to go the top of the tower to really take in the views of Seoul.
8,5.0,"This is not actually part of our itenerary but i’m glad we did this. Fortunately since it’s just 5min walk from our hotel and we come early and we avoided the busy atmosphere.. It was peaceful and quiet until after 30 min when the buses from other tours arrived. You have to come early if you want to feel the place. Going back to the cable car, we wear the traditional korean costume for free in front of the mini stone tower monuments (between 11am to 12noon) and take photo with the guards. This is highly recommended for family tour."
9,3.0,"A great walk to take in the views back over Seoul.The walk up is a nice one of you're of good or even average fitness, if you're not up to that, or low on time, consider the cable car which was cheap at around $10 AUD (March 2019).Once you're at the top there's a few places to eat and drink and prices are pretty typical of any touristy place in Seoul. If you're a corny couple you can buy a padlock, write on it and lock your love - just like every other couple who visits. It's a nice thought, but do so knowing they get cut down from time to time and for maintenance."
10,5.0,"This is a great place to ride up to the tower to get a wonderful view of Seoul. It is amazing how big the metropolitan are is, pay the entry fee ride up and see for yourself, its WORTH IT!"
11,4.0,It was nice to see young Korean students there - they seemed to be on a field trip and it  was so cute to see them
12,5.0,"Fantastic views (just...wow) with a good bit to see and do. N Seoul Tower has a bit of history within Seoul and it’s with looking into. Popular with locals and foreigners, and is highly recognizable. Good food places available at the tower and nearby too. Spring or fall are when I’d recommend to visit (cherry blossoms or fall foliage)."
13,5.0,"Be there by 4:30PM, if you want to see the day view, catch the sunset, and see the night view of the Namsan Seoul Tower. Oh , there's a super long queue for the namsan cable car, but the queue goes fast. You won't mind the little wait. Just be there around 4pm - 4:30pm .  You will catch 3 types of scenic views :)"
14,5.0,"We decided to take the bus up to Namsan Park instead of riding the very, very crowded Gondola. The view is amazing; just make sure to go in early so you can take plenty of pictures - as it gets very crowded. Don’t miss out by not going to the bathroom all the way up the observatory... see my pictures and you’ll see why you need to go to their bathroom: aaaahh-mazing view!!!"
15,4.0,Tour of Seoul is never complete without visiting Namsan Park. A short cable car ride to the Tower Park.
16,5.0,I think this is one of those parks that would be pretty no matter what time of year you choose to visit. We came in November and admired the changing colour of leaves in hues of gold and red. Park itself is well maintained and very safe.  Do be prepared by coming with sensible shoes as there will be stairs to climb.
