,title,text
0,4.0,A huge “park” but really it’s the whole mountain!  There’s paved sidewalks for pedestrians who wish to walk up/down as well as well travelled trails for those who want more of a hike on either sloped or flat terrain. Facilities are available at the peak upon your arrival by foot or motor vehicle (ie tour buses as well as city buses). Cable car is another option. Lots of cyclists also enjoy this park. Go for it!
1,5.0,"Go up there when the weather is nice for a stunning view. Be ready to queue for the cable car, 40 min for us and it can be up to 90 min!Everyday there is a traditional show not to be missedFood court, few souvenirs shops and many many Love lockers..."
2,3.0,"Wasn’t overly impressed with the Namsan Park plus it was brutally hot and humid this day. The views are like any other city highest point views. You may say “oooh’s” and “aaahhh’s” take 4 pictures - one from North, South, East and West than go back down to the streets and go discover some unexplored back alleyways this is what Seoul is about."
3,4.0,"It is the largest park in Seoul and is well-known for its beautiful walking trails. Most visitors come to Namsan Park to enjoy the views, the nature or go for a hike. The iconic landmark in this park is the Namsan Seoul Tower. There are 3 options to reach the top - hike all the way, take public bus or cable car. On top, one can have a panoramic view of downtown Seoul."
4,5.0,"Absolutely gorgeous urban park, a hidden treasure in Seoul.  I started my walk on the Millennium Hilton side.  Such gorgeous vistas in every direction - nature + modern architecture + statues to Korean heroes.  So beautiful!"
5,5.0,"I visiten Namsan Park lot of times and everytime I love this place more and more. Mazing view, tons of green space, lovely people and close to center. I will be back there for sure."
6,4.0,"The park is packed on Sunday. Children were playing traditional Korean games (free). Families enjoy the day out. Couples leave lock testament of their love. There’s enough restaurants up there, with a good variety for children, to keep people happy. You can feed pigeons and enjoy the scenery."
7,4.0,"I visited at night and can confirm that the view of the city looks great. there is a place at the top to buy food and drink, nice way to pass a few hours."
8,3.0,Went there by the cable car. The cable car is small and stuffy. Walking is better if you have the strength as the walk is steep and uphill. It's a one time visit since it overlooks the whole city. The night view is better in comparison to the day view as Seoul can be cloudy at times.
9,5.0,"I was fortunate to visit Namsan Park on a gloriously clear day. The views of Seoul from the peak are fabulous, but if the weather was bad I doubt you'd see much. Took the Metro and then caught a bus up the mountain - otherwise it would be a very long walk to the top. Alternatively, you could take the cable car, but I was on a budget. At the peak there is the usual collection of over-priced eating places, so either take your own food, or eat when you get back down the mountain. On a hot day you'll need plenty of water if you plan walking the many trails that criss-cross the mountain. Great place to visit to see the native vegetation and experience the calming environment on the walking trails, where you won't encounter too many other people."
