,title,text
0,5.0,This Hanok village is easy to find and is walking distance from my hotel. The heritage houses are well maintained and is good to visit inspite of being free access
1,4.0,"The village is very pretty but pretty small. We were nearby and decided to take a stroll inside but did not book any of the activities offered (archery making, tea ceremony, costume rentals, etc). We visited on a Friday morning and it was quiet and empty. Ended up sitting by the pond for an hour and enjoying the nice day and atmosphere."
2,4.0,"After walking Namsan Park, we happened upon a pathway to take us back to our hotel which cut through the Namsangol Hanok Village area.  On the day we visited, there was a free exhibition and we took advantage of the opportunity to look at both exterior buildings and the interiors."
3,4.0,"My partner and I had spent a couple of hours around Gwangjiang Market, and decided to walk the 2+ kilometeres back to our hotel on the western edge of Myeongdong. As we are want to do, we like to make the occasional detour if we think a street, or distant object/building might hold some interest. Such was the case as we were returning to our hotel. We came across the entrance to this traditional Village and park, and ended up spending more than an hour wandering around the traditional buildings, and the large park at the rear.We were not able to get into many buildings, and the one building complex that looked interesting happened to be conducting a wedding reception on the day of our visit, which meant we were not permitted to enter anyway. On the day of our visit there were some temporary food stalls operating, and I got the impression from some signage that this park and the architected surrounds/seating etc. at the northern end that the Seoul Food Festival was to be held on this site.We enjoyed our time at this site, and provides the ability to take some really wonderful photos, of the Hanok Village buildings themselves, the large park at the rear, and the higher levels of the park provide some pleasant views of the nearby city areas as well. A relaxing and pleasant place to visit."
4,4.0,Nice historic park for learning about ancient Korean lifestyles and living. Surrounding park has nice trails.  Many local weddings take place here.  Relaxing place to spend an hour or two.
5,4.0,This is a relaxing and great place to visit in the afternoon. It is easy to navigate and very clean. An audio tour is recommended to get the beautiful history and background on this lovely site.
6,4.0,"Namsangol is a sprawling open space, great for kids to run around freely. There's definitely less tourists here, so taking pictures is easy. Unlike Bukchon Hanok Village where you have to mind your voice volume in respect to the residents, few guests get annoyed by noise here. It's a pretty quiet park, because that's how it feels like to me."
7,5.0,It's free to go in. It's huge and beautiful. It's connected to the park where you can also seethe Seoul Tower from afar. They have lots of free programs you can attend - interactive or just to watch and learn. Lots of traditional games you can play.
8,5.0,A great way to preserve the old buildings and you can also do calligraphy classes here to very picturesque
9,4.0,Well done exhibits of typical Korean life from the rural past. Homes have been reconstructed. See the earthenware pots where beans are fermented. Homes and furnishings are on display. Interesting place to walk around for a bit. In the heart of Seoul so access is fairly easy. Lots of other activities on the grounds as well.
10,4.0,"If the weather is good, I'll recommend a visit to this place. The architecture is lovely and a lot of the houses have rooms decorated in traditional style, allowing you a peek into Korea's past. It's not a 'walk in and look' - you can stand outside the door and look in, craning your neck around the sometimes dark corners. But there are plenty of signs explaining what you're seeing so you don't have to be well-versed in any history beforehand (although it definitely makes the experience better).We arrived towards the end of the day when everything was being packed up. I imagine it's more lively in the late morning/early afternoon when activities take place, stalls are open outside the main gate, and people walk around in traditional dress. But if you've been slowly walking the area like us, I'd still suggest to drop by. It's a very lovely area with a nice park just next door that makes for a nice stroll. There is also a gift shop which, surprisingly, has some nice and affordable souvenirs. I am not sure if this is an attraction I would've gone out of my way to reach - which we definitely had. But if you have the time, and if you're interested in seeing what Korea looked like before, then do find a nice day and go."
11,3.0,"The weather was nice, so it was beautiful to walk around and take some pictures of the nearby garden and small river that runs through. Otherwise a bit boring, but if you pass by anyway have a look."
12,4.0,"Namsangol Hanok Village offers few things to the visitor to learn about Korean culture such as Hanbok fitting, archery making, rice cake making or tea ceremony experience by paying a bit of cash. There is no entrance fee if u just want to explore and see. The hanok setting is very nice and you can learn how the traditional Korean house back then. Fortunately if you go in Spring time, u may see a bit of Cherry Blossoms as well as the other pretty flowers. If you go deep down to the center of the park you will find Seoul's Thousand Years Time Capsule which they burried in 1994 to celebrate Seoul's 600th years anniversary which contains cultural properties. It will be open in 2394 in celebration of Seoul's 1000 years anniversary."
13,5.0,"Beautiful area to walk around, it's very scenic with the traditional houses and the background of the Seoul industrialized city! Information/tourist booths can be found scattered around with maps and suggested directions to walk around the area. It is hilly, which I personally love, but could be hard on people who have any knee/leg/feet/etc. issues. There are tea shops scattered about and other stores as well. We had tea at a fantastic tea shop along the path!"
14,4.0,來南山谷韓屋村逛逛韓國老建築.  This is a reserved village for traditional Korean houses.  The outlook of the houses are very Chinese house like.   But the inside is more Japanese oriented (this is my be due to that Korea was once the colony of Japan).  It’s definitely a good spot to visit in Seoul.
15,4.0,"Very cool attraction - also it’s free! The houses are very well preserved, and it’s cool to walk around and see."
16,5.0,"We visited Namsangol Hanok Village on a weekday morning in summer. Beautiful garden with lots of ponds, pavillions and of course the traditional hanok village.A big place to walk around and a good place to learn about Korean Seoul culture. Definitely should visit Seoul Millennium Time Capsule where they buried 600 items in 1994 and to be opened 400 years later. What a romantic idea!We enjoyed walking around the Hanok village where there are different styles of traditional houses.Apparently, there are some ceremony, performances and hands-on activities for the visitors throughout the week. Be sure to check out their website before you visit if you like to experience more. A perfect place to spend a peaceful day in Seoul."
17,5.0,"This village is good for seeing historical Korean buildings. It offers free 40 minute tours in a range of languages (Chinese, English, Korean and Japanese).  Check before you go what days and times have your language."
