,title,text
0,3.0,"Located inside the palace, the museum is nice and small. It shows the old life and clothes of the culture."
1,5.0,We spent a morning here and enjoyed learning about the history of the people of Seoul.  The displays were excellent and an English headset made it easy to learn from the displays.  I would recommend this museum when visiting the palace.
2,3.0,"the national folk museum is worth seeing if you are into these kinds of attractions. even so, its not very comprehensive."
3,4.0,"This museum is located at the rear entrance to the Gyeonbokgung Palace.  Depending on your level of interest, your visit can be relatively short  or longer,. In either case, this is a worthwhile site.  Like most sites in South Korea, there a a number of steps to navigate."
4,5.0,"I have to admit I was drawn to the building by the gardens and it’s architecture. The fact that it was free admission was another benefit. Cafes and toilets on a long day sightseeing, clinched the deal. But it was wonderfully developed. Really enjoyed learning of the manufacturing history of the local area  the stories of people.The exhibits are interesting and little touches like being encouraged o try on traditional head wear, all brought the experience to life. The korean people are proud of where they have come from, and this visit showed us why."
5,2.0,We quickly went in here after spending a lot of time at the Gyeongbokgung palace. There is just a lot of stuff in here and it wasn’t that interesting to us at that point. If you are an antique buff then this could be right up your alley! Not to us after spending a lot of time at the palace. There is just a lot of stuff in here that wasn’t that interesting to us at that point. If you are an antique buff then this could be right up your alley!
6,4.0,"This is a museum dedicated to honouring day to day life on the Korean Peninsula since it’s early days. There’s no mention of the war with the North in this museum which is great as that’s everywhere else! The three exhibits show a different facet of Korean life. All of them insightful and enjoyable. Entry is free, so once you’ve finished the Palace then check this out!"
7,4.0,"Right on the grounds of Gyeongbakgung Palace, this gem of a museum documents Korean life.  As a Senior, our admission was free which was a nice bonus.  Take your time to visit and learn about Korean life, past and present; they do a beautiful job of documenting and displaying everything and you can literally spend hours there."
8,5.0,This will be the first structure you will see if you will enter via the east gate of Gyeongbokgung Palace. A better route if you ask me.
9,4.0,This was worth the time to experience. We found it to be very interesting seeing the history and articles of Korea.
10,3.0,The museum is in the grounds of the gyeongbok palace.you need a guide to explain about it.can take plenty of nice photos.it was very intresting learning about the way of life years ago and how much it has changed.we both enjoyed it.
11,4.0,"The National Folk museum of Korea is free.There is an inside and outside component.I favored the outside portion the most.The inside has an exhibition of history of everyday culture, of major life events, artifacts and special exhibitions featuring galleries to educate you on Korean culture from different perspectives.  The outside portion has a Ochon house dating back to 1848 that was donated, restored and placed here.  There is an example of a traditional Korean village."
12,4.0,The folk museum is a charming and information- laden introduction to Korea in past times. It greatly helps your understanding and appreciation of Korea.
13,4.0,Very nice facility with impressive exhibits of Korean lore through the ages. Something here for everyone. Easy pace and easy to navigate. Thoroughly enjoyed the time here. You move at you own pace. While perhaps not a must see it is worth the time and effort if you are in the area visiting the palace.
14,5.0,"We arrived on time to get an English speaking tour of the Museum.  The displays are well marked in English and Korean, but the tour guide really added to our appreciation of this museum.  Although this museum is inside the grounds of the Gyeongbokgung Palace, you do need a ticket to enter the museum.  It is a free.  I liked all of the displays of old farming tools and information about Korean life in the 1900's."
15,5.0,The museum is in the grounds of Gyongbokgung Palace and is one of the more interesting museums i have ever visited. We spent 3 hours there but if we had time we probably could have spent a lot longer. Do not miss this attraction.
16,5.0,This was a beautiful museum. i learned some interesting facts in the exhibits. You don't need a tour guide to go and if you have your ticket from the Palace then its free to get in.
17,5.0,"Very well presented and managed establishment that is built under an amazing Korean traditional structure with granite to die for. The museum houses several displays, art works and a fantastic history of the folk law of Korea. Fabulous gardens - stunning in Spring - make the visit well worth it. Traditional costumes are everywhere and you really get the feel of Korea."
18,4.0,"This museum is located behind the Gyeongbokgung Palace grounds and admission is free.  The exhibits are both outside and inside.  Outside are some shrines, statues and small buildings in a very serene setting.  Inside is a history of the Korean peninsula from the stone age to present day.  This is very well done with a timeline and a mixture of artifacts on display.  A lot of the information is also in English, which helps!  There is a cafe and toilets here as well."
19,5.0,"We happened to walk by this museum while wandering around the Palace area. I am so glad to have stopped by this museum which was well organized and did a great job in outlining the Korean history. Great presentation. Even if you only have an hour to spare, I recommend stopping by to add a little depth to your Korea visit and cultural experience."
20,5.0,"This museum gives you a good overview of the Korean people. There were museum volunteers that expanded on some of the exhibits for us. Well laid out, and not overwhelming."
21,4.0,"Right next to Gyeonbokgung Palace, topped by a tall wooden pagoda.   There are free guided tours in English at 1030 and 230.   You could instead rent an audio player for 1000krw or just read the information which is generally available in English.   The Museum presents lots of interesting artifacts and information about everyday Korean life in the past.    They had a small display about kimchi - various things it’s made from, nutritional properties, etc.   There is also an outdoor exhibition area which includes an actual restored house, with furnishings, from 1848, the Ochon House.    You can easily spend an hour or two here."
