,title,text
0,4.0,"Almost two hours and I hadn’t covered all that much.  So, I left at closing time wishing that I had arrived earlier.  The museum is large. There are many exhibits, and explanations in English.While the main museum is covered, there are many exhibits outside in the park.  As such  it is not a good idea to visit on a rainy day."
1,5.0,"I visited this museum and walked around visiting some exhibits.  This museum has permanent exhibitions on the lives of ancient Koreans. They are fabulous to look at and you can get a good sense of how they lived.  This museum is clean, neat, and bright. They have a lovely gift shop and you can even get some ice cream here.  Best part of all, the museum admission is free.  I highly recommend this place."
2,5.0,"The National Folk Museum sits at the back of Gyeongbokgung and you really can't miss the large pagoda. To be honest I had little desire to come here, but because I stayed nearby and its free, I thought I might as well. The pagoda is a landmark in Seoul and has featured on many a tourist literature. There are some old buildings that have been moved here, as have some Jangseung (totom poles) and there's a small street that illustrates what South Korea was like decades ago. The museum is quite nice and the exhibits are well presented. There's a children's museum which I didn't go to. Contents include general Korean culture and life in the Joseon Dynasty. There is some overlap with other museums and attractions in Seoul. Similar items can be seen at the National Palace Museum which is also on the Gyeongbokgung grounds and the National Museum of Korea. In terms old old hanoks, there is the Namsan Hanok Village.  So the National Folk Museum is like the greatest hits of korean museums in terms of culture. If you don't have the time to visit them all. Visit the National Folk Museum.  I'd definitely go again."
3,4.0,Free to enter once you have paid into Gyeongbokgung Palace and is remarkable to see from the outside with its stunning pagoda.I didn't stay too long inside as by the time I reached it the whole oslaceccomplex was due to close within an hour but I found it very enlightening and enjoyable. If it had been raining I would have spent longer and it would have been a great alternative to the palace.Well worth a visit though.
4,4.0,"I came across The National Folk Museum of Korea purely by accident while waiting for the MMCA to open. Just across the street free, I thought why not? It's an interesting introduction to how Korean daily life and worship have evolved over time. Well worth a visit."
5,4.0,"I came to this museum after visiting the nearby Gyeongbokgung Palace. It showcased the  historical artifacts that were used in the daily lives of Korean people in the past, ie domestic, agricultural lifestyles and cultural beliefs. It has 3 permanent exhibitions and 2 special exhibitions. There is also a souvenir shop, toilet facilities and seats for resting. Admission is free."
6,5.0,"I visited this museum as part of a City tour, spent 45 minutes there and could have easily spent all day in and around the museum. It is in a relatively modern building, laid out really well and I spent all of my time in the Korean historical section. Most of the displays are described in Korean and English. Interestingly, a significant number of Korean visitors were dressed in national costume, a regular practice, apparently."
7,5.0,Was brought here by the tour guide. Went through the historical lifestyle of Koreans. Interesting exhibits.
8,5.0,"very educational, it show case not only current but also during the older era. love this place...is also good place for children too."
9,5.0,"A very nice museum inside and outside with some amazing buildings. There is also a museum only for kids. And the best thing is that this area is free to enter, but do yourself a favor and pay the 3000 wons to visit the temples. You won't regret it."
10,5.0,Very beautiful interesting museum. Splendid view around. It is situated near Gyeonbokgung Palace. It is necessary to take tour guide there to listen to Korean history.
11,5.0,If you visit the Gyeongbukgung Palace be sure to pay a visit to this wonderful museum which is a short walk away.  You’ll be able to cover the museum in a couple of hours in a casual stroll.  Stop and focus on any particular exhibit that interests you.  Most visitors to the Palace also visit the museum so be prepared for the bus tour groups that make their way through the museum group after group.  There are wonderful exhibits outside the museum of old Korean homes and store shops.  If you have kids the Children’s Museum is literally next door to the folk museum.
12,3.0,"Located on the Gyeongbokgung palace grounds you can go back and forth between the two with your palace admission ticket. The exhibits were interesting, featuring this like the origin and types of kimchi, traditional houses with furnished rooms that you could, with shoes off, walk up and look into. Its a nice hour or so to spend indoors after walking around the palace"
13,4.0,"While returning from samcheongdong gil road, i explored this place and as the entrance was free (which is usually not for museums) i decided to go inside. I must say it was worth a visit. Very well maintained open air museum, exhibiting everyday life of Korean people from prehistoric times.  Featuring Korean lifestyle, culture, houses, traditional utensils, rice storage shelter, Kimchi pots, grinding mill, irrigation system, agricultural tool and much more.Photography was a real pleasure here."
14,4.0,It’s free admission to this museum but it is within the site of Gyeongbokgung Palace and you need to pay to visit the Palace.  This museum presents Korean life during the Josean period from 1392 to 1910.  The museum is well organized with displays in both Korean and English.  There is a cafe and a gift shop in the museum.It is best to combine the visit to this museum with a visit to the Gyeongbokgung Palace and the nearby National Palace Museum of Korea.
15,5.0,"This is a MUST for giving any visitors to Korea a grounding in Ancient Korean History . The displays of Joseong period costumes and artifacts Show how Korea must have attained a kind of Esthetic perfection pre 1915 .. I think that this country has been ravaged by conflict and war , so to see the beauty and nobility of how they lived (clothes , pottery , art , interiors) is a good basis for enjoying or understanding Korea before experiencing present day Futuristic Seoul . Just awesome .. the surrounding gardens of the reconstructed Palace are also peaceful and pure of spirit"
16,4.0,A good overview of the history as well as some very nice displays.Not overly crowded despite being free!
17,3.0,"On my opinion, it is a good museum because you will know a lot about Korean culture, how they used to live and traditions. For occidentals it is very interesting to see culture differences, their origin and beginings. It has all the services, a medium size cafeteria area and a gift shop. However the museum is very small."
18,5.0,"Located inside the palace, this museum chronicles the history of the Korean people and their individual lives - marriage,  education, burial, war etc.There are many life sized models and replicas, the highlight of which has to be the funer bier. The gift shop has an interesting variety of souvenirs (slightly expensive).Good spot to keep out of the cold. Only thing is many locals sitting inside to keep out of the cold too, but not visiting exhibitions, just using the internet/texting, which can crowd things a little.Statues of the zodiac in stone outside made for a cute photograph. Worth a visit in winter."
19,4.0,"Neat place to visit. Their exhibits are really well done and are pretty cool to look at. They have very few artifacts though. Most things are replicas so unfortunately you won't see too many original pieces. Nonetheless, worth checking out if you're nearby the palace. They did a really good job setting the place up."
