,title,text
0,5.0,"This museum is a must visit if you are a history nerd, or you're just interested in learning about our past and ancestors. It is not only about Korea as the 3rd floor is the 'world' history section where if includes historical facts and artifacts from India, rest of Asia, Egypt and Japan. Be prepared to walk a lot. There's water dispenser at every level so you can bring your bottle for refill."
1,5.0,"You can divide museums into great, and not great.  The great museums then can be divided into worth a return visit, and not worth one.  The National Museum of Korea is a great museum that is unquestionably worth return visits.First the architecture: a large building divided into smaller units (i.e. children’s museum, library, exhibition hall).  The exhibition hall has both permanent and special exhibitions.  I only had time (almost three hours) to see the permanent exhibitions on the third and second floors, but didn’t see the first floor or the special exhibition. Regretfully I left my visit to this museum for my last day in Seoul.The exhibitions themselves are of the highest quality, using, among others, collections that were donated or bequeathed to the museum.Physically the exhibition halls are impressive, massively large with high ceilings. The explanatory text is interesting and fully translated to English.There are a few places to eat.  I can only comment on the tea room on the third floor where I had an amazingly good cup of tea.  There is also an extensive museum shop which is itself impressive. I left some money there, and would have left much more had I lived in Korea and not had to take fragile things on several flights."
2,5.0,"The main building offerred free admission but don't miss special exhibitions at the library building (with extra fee which was worth the visit). I felt obliged as it was great enough to spend some money to support it. So, I bought some souvenir from the museum shop :) Easy to go there, just take a train to Ichon Station."
3,5.0,So impressive how the museum is organised - you almost feel how it was like to live in ancient times.  Need at least a day to do it justice......
4,5.0,"I'm truly surprised by the number of museums and galleries in Seoul. The National Museum of Korea is a gem and a must see.  The building is large an spacious with exhibited being well laid out. I've only managed to see less than 30% before it closed. I will be back again. I loved how they present history and culture. Korea, whilst smaller than China, is in her own right a very sophisticated country and unique in many ways. The gift shop is the best and biggest I've seen for a museum."
5,4.0,nice museum with interesting historical exhibits.. nice to visit and learn about the past of this culture but also because of the cultural open air events
6,4.0,"If, like myself  you are not a great lover of large rambling 19th Century Museums, crammed with thousands of artefacts over umpteen floors and galleries , this is one for you!It's modern, it's light, it's airy and is just one long building with just 3 levels with a very ""constrained"" number of exhibits covering some quite precise subject areas. Entrance to the main collection is free.A little word of warning, in busy times the galleries are quite manageable, but don't be tempted to try the food hall!"
7,5.0,"I'm not sure if it's free for everyone, but it was free for us as part of the tour and it was a decent hour or so we spent in there. Very interesting to learn about the creation of the Korean writing system and more about Korean history that I didn't know. Useful going into my PhD in East Asian Studies."
8,5.0,If time allows only one museum choose this one. Its free and hours vary depending on the day of the week. Look online at the official website. Skip the guided tour. English hard to understand and 1 hour spent on 10 items. Allow 3 hours plus time for any special exhibits. Download the app and bring your earphones. Well organized so numbered exhibits correspond to numbers on the app. Exhibits in English so easy to follow. Enjoy!
9,5.0,"Visitors to Korea will love the extensive collection of Korean treasures, many of which have decent labels in English. (Something hard to find in Korea.) As a resident of Korea, I love that this museum gets special exhibits (like the ""Golden Man"" from Kazakhstan last year) and that it has a great selection of coffee and tea shops and a beautiful sitting area on the second floor. It's a spacious, beautiful museum and a world-class collection--for free!"
10,4.0,It's a 40 minutes ride on the subway south from Insadong including a 10 minute underground walk from the stop to the main entrance. The vast building is impressive with great views of the Seoul Tower. The collections inside are excellent and well laid out.
11,4.0,"I took an early morning subway ride to this place knowing that the Museum has an expansive grounds to stroll.  Arrived 9AM and had a leisurely stroll around.  Note that there are people jogging and they have small trails winding around pagodas and meditation nooks.  It was so peaceful without the crowd and by noon it was already hot.  The museum entrance is free and they have two special exhibits.  The exhibits costs KW7500 and for people who has not much interest on it, I recommend you pass.  The main museum artifacts are more than enough for a short visit (approx. 1 hr).  There is a convenience store open prior to 10AM and I saw two restaurants that were still close when I left the grounds.  I suggest coming early to avoid bus loads of kids visiting the museum."
12,2.0,"Possitives : N o doubt the museum's contemporary architecture is both modern and impressive and is set in very attractive gardens. The facilities are very adequate, there is free entry and the staff are pleasant and helpful.  Negative: For such a modern, national museum....Boy, it was so tediously boring. Old school type of exhibition...just dated exhibits and artifacts in glass cabinets. No interactive fun here or anything to fuel the imagination . I fell asleep on my feet my the second floor. I should imagine incredibly boring for children ."
13,5.0,"The museum is easily accessibly via the Seoul Metro. The grounds are beautiful with several restaurants and many places to sit and relax. There was no admission charge but there were charges for some special exhibits.This is a large museum and is well laid out with exhibits down the side of the main hallway on each floor. There is just too much to go into extreme detail but there is coverage of Indian, Chinese and Korean history and artifacts; all well presented and explained with many explanations in English for those like myself that had trouble with Hangul.My favourite was probably the ancient shipwreck exhibit which showed many artifacts.There were several souvenir shops. The restaurant Was very good. Reasonable price for a museum restaurant; the Bibimap (meat and vegetables mixed up with rice) was quite tasty.definitely worth a visit."
14,5.0,"This was a great, free, way to spend a few hours while in Seoul. Easy access from the subway. Lot of good information and most descriptions on items/exhibitions are also in English, which was super nice. Plenty of places to rest inside and also had food options. Overall, great place to visit."
15,5.0,When you stay in South Korea you need to visit this museum... it is really interesting and you will be satisfied for what you paid
16,5.0,"This might be one to split into a few visits, as it's overwhelmingly large. Pick a few areas which strike you and dive in, then enjoy what's nearby."
17,2.0,"The museum is in a wonderful modern complex with a huge building housing some artefacts from various ages. I’ll be honest, I like a museum  but this one didn’t do it for me. I felt they struggled to fill it and what they had was interesting but nothing special."
18,4.0,The cultural diversity and different sections in there that cover a variety of Asian countries are quite unique.
19,4.0,"It was also free, at least the day I went. The interior of the building alone is worth a visit, and then it’s the home of a wonderful collection."
20,5.0,Sign up for a tour to get the most out of your visit. I visited the museum several times so see new exhibits. It's worthwhile.
21,5.0,"The museum is very big, full of interesting things. It's architecture is spectacular. There are tours in many languages and a lot of English explanations. The admission is free but some exhibits are charged. This is the place if you want to learn more about Korean history."
22,4.0,"If you want to understand the history of Korea, this is the place to be. It is the largest museum in Korea which houses precious Korean cultural assets. You will learn the history of Korea from ancient times to the modern era. To get here, just go down at Ichon Subway station, exit 2. The subway is connected to the museum via underpass."
23,5.0,"The museum is very complete and modern, the exhibits in the first floor where specially appealing to me since I love history it shows a very detailed history of korea from prehistory to the modern times.  The museum is small and may not have a whole lot of pieces in display, but mind you that for a country that has been looted and pillaged various times through the centuries, the museum collections gives a very complete image of the korean nation, highly recommend if you have the time"
24,4.0,"Im gonna start of by saying that these sorts of museums are often not something I enjoy that much.With that said, I did not think the content of the exhibitions were that interesting. There was definitely some cool things on display. But also, it felt for me like 50% was different pots and porcelain. Which some might find interesting, but quickly gets incredibly dull in my opinion.But what really saves this place in my eyes is the building itself. Which is enormous and, I think, incredible both on the inside and outside with surrounding.Also, the museum is for free. So if interested, I definitely recommend going here and if you find the pots as dull as I did, atleast you will have the building to look at.Additionally, I did not take any tours. Audio nor guided, so maybe that would have enhanced the experience."
25,5.0,Easily accessible by metro.  Admission is free (unless you want to see the special exhibitions).  I went there on a Sunday so there were lots of families with kids there. Quite a wide coverage of collection of different artefacts.
26,4.0,Finally got the time to visit this one yesterday. Specifically loved the paintings gallery in 2F. Worth a visit.
27,5.0,This museum claims to be the biggest in Asia by floorspace.  It may not be true but it is certainly big.  The art displays are excellent.  There is a good restaurant.
28,4.0,The museum was a very interesting look at the development of Korea over the years. The gift shop provided very good gifts to bring home to family.
29,5.0,"It was an easy jump from Incheon and my first stop during my day-long layover. The regular exhibits are free to the public plus there is a free app that acts as a docent to lead you through the museum, to save artefacts of interest, and search must-see artefacts. There is a restaurant on the 3rd floor to avoid the busy small cafés in front.The museum is 100% wheelchair friendly, however it sits on top of a small hill. To me, it was worth the climb."
30,4.0,Located in a large open area this building houses the evolution of the Korea. Everything is organised and the building is a modern spacious place. Very interesting and would definitely recommend it.
31,5.0,"Loved this place, spent 1 whole day on the 1st floor with history of Korea and 1 day on the 2nd and 3rd floor. It is free, there's decently priced food (including a vegetarian meal) and it's just a beautiful, superclean modern building with so much well-presented information. Incredible!"
32,5.0,"I’ve been to most of the major museums in the world and this museum has the finest collection of Asian art hands down.  The focus is on Korean art but there are also strong exhibits with Japanese, Chinese, Vietnamese, Cambodian, East Indian, Lao, Thai, Indonesian, Mongolian and Filipino art as well.  Admission is free.  If you go on a weekday in the morning you will likely encounter bus loads of school children in the museum.  So if you prefer a more quiet visit you may want to go on a weekend or in the afternoon (the kids seemed to be getting tired after around 2pm).  Guided tours are available.  I eavesdropped on a few different tours and they were extremely informative."
33,5.0,"A great way to learn Korean history. The history reveals itself before your eyes when you cover the ground floor. The art section on the first floor enhances the awe factor and very mesmerizing! The displays are well-arranged and flows very nicely in alignment with history. Right from the 3- kingdom period to the Unified Silla, Goryeo to Joseon dynasties. The section on Joseon Dynasty will leave one with wonder and intrigue: it's a one-stop destination to learn about the interlinked history of Korea, China and Japan in the early Medieval and Medieval period. It's so enlightening to know that Korea has richer and older culture compared to contemporary Japanese culture. Must visit place in Seoul!"
34,5.0,Very interesting.  Learned a lot about Korean history and its wonder people.  Great place to go and wonder around for a few hours.  Lots of historical stuff to see.
35,5.0,"This place is amazing, i went twice, each time spending 3 hours looking around and i still didn't see the whole museum. More than just a building with great artifacts you can also walk the ground that have a waterfall and genuine 1000yr old statues. Even if museums are not your thing, the view alone is worth the trip. TIP: they are open until 9 on Wednesday and you can see Namsan tower from the top of the museums steps"
36,4.0,"It is a heritage museum where you learn about the culture of South Korea, Entry is free and this is one of the best free museums I have ever visited."
37,5.0,On the way back from the DMZ spent a few hours hours here. Its free and a great place to learn all about Korea. Simply put its a great visual learning opportunity and well worth the visit
