,title,text
0,4.0,I very much enjoyed going for a run in the area and then later taking a closer look at different aspects of the park.  Examining the different flags and flags of countries that no longer exist was educational.  The park is full of neat statues.  Very family friendly-good place for a stroll.
1,4.0,Its amazing that the area surrounding are still well maintained. The flame is still there! A good walk around the area.
2,5.0,"This park is known as the symbol of the Olympics 1988 in Seoul. It is very big and in the park there are many facilities for exercising such as sporting equipment, swimming pool, and bike road. Many people always come to the Olympic Park to exercise or walk. Also there is a big lake in the middle of the park, and it also has many trees, flowers and grasses, so that people can see great views of a natural environment. The best thing is that anyone can use this park anytime for free. For example, some familes come to have a great time with each other, some couples have a great date in the park, children ride a bicycle with their friends, Also even if you don't have enough time to look around this park, there is a train surrounding the park so you can see all parts of the park with it. In addition, there are many kinds of events. For example there are a lot of performances, art galleries, skating, or concerts. It is located in near Jam-sil Station so it's very convenient to move to another place. I strongly believe all people can get a great experience and valuable time in this park.."
3,5.0,"Korea made Olympic park because of the Olympic game. 1988 in Korea there was Olympic game so they built it, but the people still using it very usefully. In the Olympic park there are concerts very often. such as singing concert or musical. also in the olympic park they made sports institution very well so many people can enjoy it freely. such as skate board or inline skate things. so around the olympic park always there are heavy traffic.so some people don't go to there because of the time spending. the most important thing is that you can see the 1980 style of the Korea."
4,5.0,"Hello, I live near the Olympic Park in Seoul. If you have any chance to visit Seoul in September or October, I strongly recommend you to go to Baekje Festival taking place at the Olympic park. Olympic park is so wide and always full of so many festivals or activities. In this Hansung Baekje Festival, not only you could experience and learn about Korea's history, but also eat different Korean food!When - October 12th-14thWhere - Olympic Park, Seoul, Korea (near Songpa-gu)Even though the festival will be finished today, I had so much fun at the festival, with so many things to see and try it myself! As the festival happens every year, you really should come here next year. Honestly, the parade, cultural experience, the food, everything I experienced here was so amazing. Can't even describe it with words haha. The festival happens around September or October every year. So those of you who are planning to visit Korea in fall, you SHOULD visit and enjoy this festival! Many services and experiences for foriegners will be prepared as well. Maybe you can even see me- if I work there as a staff or volunteer. Thanks for reading this. Hope to see you there next year! ;D"
5,4.0,"My family and I spent about three hours on a sunny weekday mid-morning at this park, which commemorates the 1988 Seoul Olympics Game.Getting there: We took the subway Line 8 to Mongchontoseong (World Peace Gate) station and came out at Exit 1. This took us to the west end of the Olympic Park where the World Peace Gate is. Alternatively, you could take subway Line 5 to Olympic Park (Korea National Sport University) station and come out at Exit 3; this will be at the east end of the Olympic Park. Entry to the Olympic Park is free.The Park: As we went on a weekday, there was not many visitors, just several locals exercising and relaxing. Hence we had a nice stroll and photograph taking with regular “shade stops” from hot sun. Be mindful that Olympic Park is huge, hence you could opt to take Hodori Train that departs from in front of the Peace Square playground at certain timings (weekdays at 10:30, 11:30, and hourly from 13:00 to 18:00)What we liked:(1)	The calming and peaceful effect of the Olympic Park as most of it occupied by flora (eco-friendly forest, plants, flowers, and sprawling grass fields). (2)	It beautifully integrates history of the Hanseong Baekje period (e.g. Mongchontoseong Fortress) with the modern state-of-the-art sports stadiums and museums.(3)	The following sights: (1) World Peace Gate and the burning fire torch for Seoul Peace Declaration (2) World Peace Square with the flags (3) Sculptures, particularly The Thumb, Dialogue and this dramatic 78 feet high red arc steel sculpture (by Italian artist Mauro Staccioli) that’s shaped like an archer’s bow (4) Mongchonho Lake and the musical fountain (5) Wild Flower Garden (6) One Tree Hill (7) Exhibit of a 430-year-old Protected Tree that is still living with half of its trunk. (4)	Due to the Olympic Park’s proximity to the prominent white Lotte World Seoul Sky Tower, we were able to see the Tower from some parts of the Park.(5)	Walking past several sport facilities, e.g. SK Handball Stadium (Olympic Fencing Stadium), Olympic Swimming Complex and the Olympic Velodrome stadiumWhat we didn’t like(1)	We didn’t have enough time for a few interesting indoor sights that enabled us to escape from the outside elements: K-Pop Music Exhibition Hall (part of the Olympic Hall), SOMA Museum of Art, Mongchon Museum of History, Seoul Baekje Museum.  Did I not say the Olympic Park (2)	During our walk along the Montchontoseong walking paths, we expected to find stone or wall-built castle or fortress physical remnants of the 2.7 km historic Montchontoseong Fortress Wall (built during the Baekje period). Instead, it turned out to be a fortification structure (e.g. bank) that was covered with earth over the centuries.  While we enjoyed walking the Olympic Stadium, we realised that it is competing with so many other attractions in Seoul. If you are keen sports fan and history lover, then Olympic Park is a “must visit”. If not, I recommend you come to Olympic Park if you have the time. And if you do, don't forget that comfortable pair of walking shoes, protection from the sun and lots of drinking fluids."
6,4.0,"The Olympic park is a very impressive leisure facility with legacy from the 1988 games. Nowadays, it is used to relax and unwind by locals."
7,5.0,"Seen from our favorite Korean Hotel, this park is a true fabulous place to check out. It is a bit out of the way so prepare for a bit of a cab ride to get here."
8,5.0,"This park is so incredibly breathtaking, that i felt at peace just by being present and appreciating nature. There are also little gym stops with equipment, where you can do a small workout."
9,4.0,"You probably won't be able to enter the aging Olympic stadium, still bearing the Olympic rings and mascot. But you can still peak inside and see the track where Flo Jo notched four gold medals in 1988, still holding the 200m world record to this day. You can imagine legendary Carl Lewis earning his final Olympic gold medal in an open track event, and a future superstar Michael Johnson battling a fracture that prevented him from qualifying in the 400m, the last Olympics in which few would know his name.You can even see the nearby aquatic facility where Greg Louganis infamously struck his head on the diving board. This Olympic venue is pretty packed with unforgettable moments for those of us who watched it unfold live, and although this is more browsing than in-depth touring, it's still worth seeing the expansive park and an incredibly historic venue decades removed from its glorious past."
