,title,text
0,5.0,"take water it's a large park to visit.  if you're up to a work out, walk uphill around the remains of an old fortbest part were the flags / olympic flame and the rose garden.off season without events, only the gate areas have food and beverages"
1,3.0,"The Olympic Park is a very diverse place to start off, lots of trees and sub-nature but also a lot of facilities. You can really experience much in the Olympic Park touring the statues, buildings and more. One thing about the park overall is that the facilities are quite outdated, so if you are a type of person who likes fresh and all clean facilities, I do not recommend this place to you. For me, it was worth paying a visit and if you just want to enjoy your day walking around and touring why not pay a visit to the Olympic Park?"
2,3.0,I love Olympics and the spirit inspires. In this case it didn’t impressed me. I expected more. But happy because I got my selfie.
3,5.0,"It's interesting and pretty. I was there in winter, so there was an ice rink with many people ice skating. There are some coffee shops nearby as well. It's really good for children as well as adults."
4,5.0,"This is where the 1988 summer olympics was held. Easy to go to because there are two subway stations to get here -Mongchontoseong and Olympic Park. You can see sports stadiums, forests and grassy fields. I highly recommend to check out the lone tree."
5,5.0,The only problem with this lovely park is that in sub zero temperatures it’s impossible to walk round all of it.  There is a monument with lots of information about how the games came to Seoul as well as names of all the gold medal winners. The outdoor sculptures are excellent but the indoor display was a bit too modern for me.
6,5.0,"The Olympic Park is most beautiful in autumn, particularly towards sunset. There are two main entrances, Previously I came out from Metro station 813 on Line 8 (Monchontoseong) and could see the Olympic arch right in front of me. However this time I came out of the Olympic Park metro station P550, after changing at Gangdong on Line 5. A bit confused, I walked straight and then walked around the park in a counter-clockwise direction. It took a couple of hours of leisurely walk to get back to Monchongtoseong but it was worth the trouble. The scenery was really beautiful in autumn, all along the walk. At one point I was lost at a junction in the park. The sun was going down but I was still quite far away from the park entrance. The signs were all in Korean (no English); what a pity! Tried Google Map but it was not much help. Anyway, I gambled and took the uphill path on my right instead of the level walk on the left; fortunately it worked out. The path brought me to a bridge and the surrounding sunset scenery was fascinating. Further down, I recognized the large courtyard with many flags; the Monchontoseong station was right behind the Olympic arch. Actually there is a short-cut path between the two main entrances, but if you take this shortcut, you will miss most of the beautiful scenery."
7,4.0,"When i visited this park in early autumn on a weekend afternoon, it was a hub of activity, with young families taking a stroll and youths hanging around the entrance at the southern entrance of the park.It is a spacious park that makes for a nice stroll especially during sunset. Do set aside at least one hour to adequately cover the entire park along with stops to take photos. Best to reach here using the Seoul subway, alight at the Mongchontoseong (World Peace Station) station along the pink line."
8,4.0,"C ( 18.10.22 ) I visited this park on my way to promise. This park was famous and big one in Seoul city. So many people visited there. There was a bigger than I think, and good to enjoy walking. Good park in the city."
9,5.0,"What an experience to explore the location of the 1988 Summer Olympic Games, the site is expansive with several museums and outdoors art/sculpture. The flame is still burning and the Olympic spirit lives on 30 years later."
10,4.0,Very nice area to walk around．Their olympic museum was closed and not much stuff to do but very beautiful park.
11,5.0,"While attending the 2018 Olympic Winter Games in South Korea, I went to see the Peace Arch that I had seen during the.   1988 Summer Games.  It's still as lovely as ever.  Also enjoyed the winter Olympic display that they had featuring Yuna Kim and the Olympic mascots."
12,5.0,"This large park was built for the 1988 Seoul Summer Olympic Games.  The main entrance is hard not to miss with the huge World Peace Gate.  There is a number of sporting facilities from the Games still around.  There are many interesting sculptures in the park.  It’s free to enter the park and you can rent bicycles to ride around the park.  You can also buy a ticket to ride the Hodori Train that goes through the park.The Seoul Olympic Museum is located in the park.  There are also three other museums in the park:  the Seoul Olympic Museum of Art, Seoul Baekje Museum, and the Mongchon Museum.  There is a large man-made lake with numerous walking trails.  There are numerous restaurants and food outlets in the park."
13,5.0,"The Olympic Stadium has been home to Ultra for 7 years now, and this year was no exception. Being able to connect with people from all over the world is an amazing feeling."
14,4.0,"I didn't get to explore the whole park. I just went to the World Peace Gate and walked around it. It's an amazing structure , definitely worth the stop!"
15,4.0,"I came here because of Running man. You will know what I mean if you're running man man fans.Olympic Park is so huge, we can spent 2-3 hours here. Very nice place to see locals people activities."
16,5.0,"This is defiantly my favorite spot in Seoul, I remember that I visited it in my second day there and I was amazed by its beauty, the beauty of the trees, the beauty of families, the beauty of weather.It was far from my hostel but I kept dreaming for visiting it again during my trip, I didn't do but I'll absolutely come back one day."
17,4.0,"In 1988, Seoul held the summer Olympics and the Olympic Park was built for these games. The Olympic Park is a huge park and it is a joy to be in it. I found it to be a beautiful park. The park is divided into four zones namely for sports/recreation; arts and culture; environment; and history. The park has a walking trail along an ancient fortress. The arts and cultural part of the park has the SOMA Museum of Art. In the sculpture park, there are over 200 sculptures by different domestic and international artists. Apparently, the Olympic Park is one of the five top sculpture parks in the world. There are a number of sporting events that still take place for example the velodrome hosts cycling events. The Olympic Hall is now used for concerts. Well known artists like Mariah Carey have performed here.As you walk to the Peace Gate, there is a nice lake where you can see many different kinds of birds. The Peace Gate celebrates peace and harmony.There is also an Olympic Museum which houses many items relating to the Seoul Olympics and also other Olympics."
18,5.0,"This park is BEAUTIFUL! I went there on a sunny day, and there were a lot of elderlies came a long as well. Since I went on a Sunday, the park was full of families and couples who came for picnic. Also, it has bike rental for the public so that people can bike around the park rather than walking since it's a quite huge park. There are some peaks that people can actually hike and enjoy the view of the Olympic Park from the top. There are some museums and different stadiums in the park that people can visit if they are interested. Highly recommended for family, friends or couple outing."
19,5.0,"This was a wondeful experience. Absolute must see. The Olympic shrines,  the stadiums and the eternal flame. Also some beautiful nature here too. Right by the metro station. No excuses you must check it out. Not really a busy place so pjehty of space to walk and take pictures.I combined it with Lotte mall as it was about 1.5 km away so a simple walk"
20,4.0,"This park has lovely paths with shelter under trees. It is busy in places but it is soon easy to get away from them.This is a large area comprising lakes, paths and the remnants of the 1988 Olympics. The gold medal winners and many other important details of the Olympics are engraved in a large memorial in front of a big lake. However, many of the facilities are no more or are used for other purposes."
21,5.0,"Hi, I had a great time at Olympic Part last year. If you come to Korea in September, I am glad to introduce a great Korean traditional festival in Seoul in September. There will be a lot of things to see and experience, and you will get to know the Korean history enjoying the festival. It is HangSeong Baekje Cultural Festival! - When : Sep 21 ~ Sep 24, 2017 - Where : Olympic Park, Seoul, Korea - Theme of the Festival : Meet the King of Baekje in Seoul of 2,000 years agoThe Songpa area in Seoul was the ancient capital of the Baekje Kingdom for 500 years during the Hanseong Baekje Era (18 BC-AD 475) around 2,000 years ago. Songpa is also home to a number of time-honored historic and cultural heritage sites, including Pungnaptoseong Fortress and Mongchontoseong Fortress. The festival offers visitors a glimpse into the ancient history and culture of the Hanseong Baekje Period that brilliantly flourished based on a strong national power. You will enjoy the beautiful weather of fall in Seoul and feel the breath of Korean ancient dynasty, Baekje."
22,5.0,"This park is a MUST SEE for any tourist. The sculptures are beautiful and offer a huge variety to satisfy everyone's artistic tastes. The grounds are lovely and well-maintained. I didn't get to see the museums as they weren't open on a Monday but if the rest of the site is anything to go by, I'm sure they are great too! Awesome place!!!"
23,5.0,Very impressed layout. The amazing sculptures are worth visiting. The lake and its surrounds very photogenic.
24,4.0,"The Olympic Park is not far from the city centre and is readily accessible via the metro. The most striking part is the large concrete structure at the entrance. I went there in early April and the magnolia flowers were flourishing. The rest of the park seemed to be quite mundane. It is a very large park, good for a long walk."
25,5.0,This park is great. It is huge and the sculptures are unique and interesting. The park was busy with families playing with young children and riding bikes. Many people walking and running around the area. The place is well kept and I am glad that I came to explore
26,4.0,"The Admission: FREE AdmissionThe Park: This park is located in the center of Seoul and built for 1988 Olympics. There are over 200 sculptures on the lawn. Popular movie and TV commercial filming location. This place also has venue for concerts and sports event. There are museums and art galleries in the park too. The Location: Subway Line 5, Olympic Park Station. Exit 3"
27,4.0,"This park has many large grassplots to enjoy picnic. Please check some festival in this park if any - for example, Seoul Jazz Festival annualy."
28,4.0,"From time to time, I go to the park. This time, I found a nice temporary ice skating ground where all the kids are skating! Some of lovely couples are also enjoying their leisure time with love ones. It is extremely good price, admission is 2,000KRW(1.7 USD) and rental is 1,000KRW(80 cents) per 1 and 20 min session. There are intermission between sessions, this ticket allows only one session. Anyway it is just less than3 USD, kids can enjoy skating. There were lots of teenagers, couples, and parents who were watching & coaching their kids, That ground reminded me of my childhood when I skated on the wild field or on the Han River...Those times, the Han River used to be frozen... well, this skating place is seasonal and temporary for couple of months. I think it is better to go during weekdays than weekends, which is quite crowded. Even if the weather was quite cold, nobody cares about that because of fun!"
29,4.0,"Olympic park is located in the city. with the subway, exit 3 of Olympic Park Station, and you can see the monument of Olympic Park. but thats not the highlight, you need to walk behind the monument. there is a big lake and a beautiful road between trees. its really good to walk in the afternoon.."
