,title,text
0,5.0,"Historic and informative, took around 1 hour and a half to see everything around the prison. Ticket is 3000 won."
1,4.0,"We were at Seodaemun Independence Park which leads to the Seodaemun Prison History Hall. We didn’t get to visit the Prison as it was quite late in the afternoon and near the closing time.The park is like a green oasis compared to the noisy traffic just blocks away.There is a impressive archway, located at the entrance of the park, which was modelled after the Arc de Triomphe in Paris. This was where previously the envoys sent by the Chinese emperors to Korea were being received.There are stairs which leads to Dongnimmun metro station. Very convenient."
2,5.0,I would certainly come here if you are in Seoul. Set in a peaceful park it is hard to imagine this was a big prison for Koreans fighting for independence who were kept here by the Japanese. You can going into the cells and learn about the torture endured. It is a huge place. Took us about 2 hours to get around. Most of it is in English but it does sort of give up in a few areas. The main messages were were translated and delivered. There’s a gift shop.
3,5.0,"This prison history hall wasn't on our radar for our first visit to Seoul but for our second trip I was looking for something a little different, to discover more of the history of Seoul, and we certainly got it here.  Seodaemun Prison operated from 1908 to 1987, in 1988 it was designated National Historic Relic No.324, then in 1998 the History Hall was opened. The Prison History Hall is located in Seodaemun-gu, easily to accessed by Subway Line 3, Dongnimmun Station, from here it is a short walk.  Our self-guided tour prison history hall complex cost 3000 won each and lasted 1.25 hours using the brochure that we were given at the ticket office.  There was plenty of the information to read (Korean and English text), the displays were excellent and conveyed the significance and at times were quite emotional. The torture chamber was the most alarming with descriptions of the variety of tortures conducted on prisoners, at times with sound effects.  On the day of our visit the museum was well attended by nationals, young and old, and families. A very interesting morning."
4,4.0,"We have been to many prisons around the world, and this one had its own unique way to memorialize its prisoners.  Instead of death masks or head molds we have seen elsewhere (of newly executed prisoners), here we saw many molds of prisoners’ feet.  These were presented on individual prisoner plaques, with a three-dimensional view of the bottoms of their feet."
5,1.0,"I was really excited about seeing this. As we walked around, there were no less than 50 groups of children (likely on field trips from school). The children were running around, screaming, and in my opinion, being completely disrespectful in an area where many people died so that they could have freedom. Their teachers largely ignored the behavior, and used microphones with speakers to talk to the children creating such a loud a chaotic environment that we could not possibly concentrate on the tour. The reason why I give it one star is because even though there were signs all over asking for people to be quiet and there were staff members in every room, I didn't see  single staff member as the children or teachers to abide by the signs and be quiet. We left with headaches, shame :("
6,5.0,This was another find by accident. We spent a full day here and had a day of sadness & amazement of the human spirit. The people were so badly treated but seem to still keep their spirit and pride.
7,5.0,"We originally decided to visit here to fill in time, and so glad we did. The whole site has been refurbished and takes at least an hour to complete the route they suggest. Very good displays and explanations in English for us. As you walk around you could imagine what it would have been like for the prisoners under Japanese rule. Usually places like this only keep 1 or 2 buildings as a museum and destroy the rest but here you get to view basically the full occupied site."
8,5.0,"The prison museum and the surrounding area is interesting and for photographers a good place to visit.  I also entered the woods in the hills behind the prison and found some flowers and bugs to photograph.  The bugs were quite easy to photograph.  Patient and still while I was photographing them.  A tip for photographers here, for close up photography I got better results with my smartphone at close distance than with my dedicated cameras.The only drawback was lot of mosquito bites we had on this visit ;)"
9,4.0,Travelled to the museum from myeongdong for under USD6. Museum is tourist friendly with descriptions in English. The tour route is nicely planned to so you wont have to wander around and just follow the arrows. We were lucky that there was an exibition on the student uprising which was very interesting. Per person cost about 2400 korean won
10,5.0,"This former prison and history hall shows what lead up to the Japanese occupation in Korea in 1910 and what happened after that. It's a very sad history but will make you thankful for the blessings that you have. You'll see where prisoners, who fought against the Japanese soldiers were tortured, put into prison, biographies of male and female prisoners, and pictures of the people that died there. It's a sad reminder of how evil war can be.You can visit this place within an hour to an hour and a half. It's closed on Mondays (if a holiday falls on Monday then it's open on the holiday but closed on Tuesday). The hours are from 9:30-6:00pm from March to October and 9:30-5:00pm from November to February. The cost is ₩3,000 for adults, ₩1,500 for youth between 13-18, and ₩1,000 for children between 7-12. However I wouldn't recommend bringing young children here. It's located at Dongnimmun Station (Line 3), Exit 5."
11,5.0,"Unlike other reviews I felt a little disappointed with the availability of English translations (about 2/3rd of all signs) or English subtitles on videos (only 1 out of 4/5) as without a guide I'd like to read everything to get a good understanding of what's on display. Nonetheless gives the museum a good impression of the horrible time during Japanese suppression. Spent about 2,5 hours. Entrance fee is comparable to other museums, couple of Euros per person."
12,4.0,"A very interesting museum that takes a visitor from the colonial period through the 1980s. The story of Korean nationalism plays out through the displays. While there is little regarding the prison's use during the period following liberation, I was pleased to at least see some acknowledgment of the abuses suffered at that time by reformers. While the preponderance of the displays are in Korean only (this is Korea, after all), there are still enough English languages boards to inform the English-speaking visitor. This is a well done museum and a recommended stop for a visitor to Seoul - especially one who wants to understand the still-strained relationship with Japan and the emergent Korean nationalism that was torn apart in the Korean War."
13,5.0,"Amazing complex not far from the city center that tells a lot of the hardship korea had to face while under japanese occupation.Shocking to see what humans are able to do to each other,but thru this hopefully we are able to learn.After all it is a prison,and it gives a feeling of sadness but also in a good sense."
