,title,text
0,4.0,"Prison was in use until the late 1980s.  Good discussion of Japanese imperial prisoner treatment, less discussion of post Japanese political prisoners.  Some translation available"
1,5.0,"Nowadays, Koreans can enjoy a modern, democratic and independent country. There are many factors in South Korea’s success. In order to understand why South Korea is the way it is now, we have to look back in the past to see how everything started and to understand a long, painful way Koreans have passed.Empire of Japan had interests in seizing the Korean peninsula. In 1905, they made Korea their colony, finalizing in effective annexation in 1910. Korean emperor, Gojong, tried to seek for help from western powerful countries but nobody came to the rescue and Japanese could colonized, with violence, Korea. Few can imagine all the suffering and oppression that Koreans had to live during Japanese colonial rule. Japan ruled directly through the military and any Korean dissent was ruthlessly crushed. They build a colonial prison in 1908 that served as a major site of oppression during Japanese forced annexation. Seodaemun Prison, firstly named Gyeongseong Prison, was built to accommodate 500 inmates, considering that the entire capacity of all prisons around the country was of 300 inmates only, but as Japanese full-scale aggression initiated into Korea, many Koreans independence activist started rising. Therefore, these fighters got arrested and imprisoned there, raising the population of the prison reaching more than 3000 people around 1919 as many patriots were imprisoned during the March 1st Independence movement. Until independence was achieved in 1945, many independence fighters were executed or died from the brutal treatment received in the prison.Metal bars, cold bricks and guards from the prison could not silenced loud voice seeking for restoration of sovereignty nor could break down their loyal spirit inherited from the Righteous Army in the Joseon dynasty. Within the prison’s corridors “Daehan Dongnip Manse!” (Long live the independence of Korea) could always be heard. And little by little, it started uniting all Koreans into one purpose, independence. Korean independence activists created organizations domestically and overseas were they planned resistance strikes. They used many strategies as a method to push forward the recovery of Korea’s national sovereignty, especially the ‘Heroic Struggle’, in my opinion is the smartest tactic that could be done considering the conditions they were living in, which targeted Japanese figures and pro-Japanese Koreans with violence trying to make heavy blows to the Japanese imperialists.Nowadays, Seodaemun prison is a museum that shows all the pain and struggle that patriots suffer within its prison cells. You can see how their spirit was unbreakable and you can share all the oppression and humiliation caused by Japanese. Even though the prison is empty, the independence patriots’ spirit can still be felt.100 years has passed since the March 1st Movement rallied the Korean people against oppressive Japanese colonialism. This epoch-making movement, their actions and their activist should never be forgotten because from it we can learn that freedom and peace are not given for free, you must fight for them. We should keep this legacy of our ancestors and treasure it because these are two biggest gifts we could inherit. In order to have a brighter and better future, it is important to learn from our past. As a final remark, we think, Yu Gwan-Sun words: “Even if my fingernails are torn out, my nose and ears are ripped apart, and my legs and arms are crushed, this physical pain does not compare to the pain of losing my nation” wraps the inherit spirit of every Korean."
2,5.0,The place is starting to get crowded because they are celebrating their March 1 Independence movement.  You can tour the whole facility for 45mins - 1.5hrs.Close to Seodaemun Independence park.
3,4.0,"A visit to the Seodaemun Prison will leave a lasting impression. We went on a calm Sunday morning. From the subway station (exit 5) you will walk straight to the former prison. The museum details the cruelties commited by the Japanese in the early 20th century, but gives little information about the time when the prison was in use during the second half when a lot of Koreans whom critiques the Korean government were imprisoned there."
4,5.0,If u r interested in history of Korea u have to visit this place. The place is an old prison used during war agains activist. U may see torture and u ll feel how was hard for them to live there. And in addition if u r so sensitive u may be feel bad.
5,4.0,"This location does not really pop out when one searches for places to see in Seoul. This historical site is very touching and biographies of those who have suffered under Japanese Colonial rule is very sad. Tour of all the buildings and walking the ground should take about 1-2 hours. 3,000 won for Adults1,500 won for Teenagers1,000 won for Children1,500 won for Soldiers"
6,5.0,"Seodaemun Prison History Hall is a monument of Korean history which chronologically illustrates Korean history of last 110 years. That alone is a reason why visitors of Seoul must visit that place. By visiting it, each individual can understand that part of Korean history and incredible power of will of Korean people to stand for themselfs. So it is a must see attraction in Seoul😀"
7,5.0,"It was a worthwhile trip and educational for us as we learnt about the prisoners of war and how they were tortured. We were able to see the cells too, the gallows and many more. Good experience!!"
8,4.0,"This is one of the only Museums that you have to pay for, but even so I have been to this place three times now. The compound is a nice escape from the busy streets of Seoul and the information inside is very educational. They have pamphlets in English, Chinese, and Japanese. Most of the information panels are in English and Hangul. However, the prisoner stories tend to only be in Korean."
9,4.0,"Right by Dongnimmun St. Exit 5. Entrnace fee is 3,000 KRW. There is a small gift shop with good souvenirs from the place. Two floors. Good piece of history"
10,4.0,"Every country had a war , revolution or something like that. But when you see the real places understand life has a bitter taste for them. Dont miss the photo gallery at the end of museum."
11,4.0,"We went on a tour with an english speaking guide which made it much more interesting. Some of the signs are in english, but not all.This prison was used during the Japanese occupation and then after independence it was used as a regular prison until just before the Olympics (1987).  You certainly hear a lot about the brutality of the Japanese during this time and they spirit of the Koreans who fought against it.  It is certainly horrible to see how people were kept in tiny cramped cells and the torture they endured, just because they wanted their country to be free.  We didn't hear so much about how the prison was operated after the Japanese left or what sort of people were kept there.Much of the prison has been rebuilt as a memorial for future generations.It is in a very nice park at the foot of a Mountain.  It is easily accessible from/right next to, Dongnimmum metro station and costs about W3000 to get in. Only for those with a particular interest in such things."
12,4.0,"Very well maintained, a lot of nice artifacts and displays.  Very friendly workers.  A nice place to visit to learn more about a different somewhat tilted side of Korean history.  Only drawback too much emphasis on how great and how hard the righteous Korean people fought off the yoke of Japanese occupation.  Nothing mentioned about the United States defeating the Japanese for Korea to regain its independence, or how many Koreans were snitches and spies who worked for the Japanese Kempeitai.  Nothing mentioned about how many teenagers President Park Chung Hee imprisoned there when he was president for tearing down a political poster and beaten to confess that it was his father’s idea (my father-in-law) to do that like what happened to my brother-in-law in 1971.  Overall a very nice day trip in conjunction with a walk down to Independence Park."
