,title,text
0,5.0,"Another one of my favorite places to re-visit in the Gangnam area is Seolleung and Jeongneung Royal Tombs. I come here a few times a year for a peaceful walk. This is a designated UNESCO World Heritage Site and it houses the Royal tombs of King Seongjong, Queen Jeonghyeon and King Jungjong. Due to Corona Virus, the complex wasn’t too busy, but there were a few people out walking wearing their masks. The adult ticket only costs 1000 won (a dollar) and it is open until 9pm. I came on a Sunday so it was a bit busier than normal. It is not too far from Seolleung Metro Station and about a 10-15 minute walk from Coex. There are many cafes and restaurants all around. The area is paved, but there are small hills and or stair planks to walk to the tombs. But if you can skip some of them and just stay on the main ground which is wheelchair accessible. Modern, clean toilets on site as well."
1,5.0,"I enjoyed walking around this place so much! Very beautiful park with great landscape and Korean pines. Plus, of course, a place of history and spiritual significance. Wonderful atmosphere of tranquility and peace."
2,5.0,"This was a nice way to spend a couple hours. Very cheap to get in (1,000 won). They provide you with an English brochure. Tombs aren’t terribly exciting but the park itself is beautiful and it is hard to believe it is in the middle of the city. If you are nearby, you should stop and visit."
3,5.0,"It was autumn when we went to the Royal tombs, there were 8 tombs in form of hills.  A peaceful place to visit."
4,5.0,"The tombs were a five minute walk from my hotel. I went around 0800 on a weekday and there were a lot of elderly Koreans getting in their morning excercise. The tombs were very interesting with stone guards at the top of the mound. You can only walk to the top of two of these and view from the side at the top but that is adequate . The entrance fee is $1000korean won, which is very cheap. I took the time to walk around the park and it was lovely. There was a very very old ginkgo tree, lots of cranberry and persimmon trees which were in fruit when I went. Beautiful Japanese maple were red with autumnal leaves. There were heaps of birds and I got to see a wild pheasant . A peaceful beautiful place to visit when in seoul"
5,3.0,"The location is easy to get to if you take public transportation, metro or a vehicle. The park is not very busy and does not seem to have peak hours. The entire place can be toured in about 30 minutes to a hour.Admission for adults is 1,000 Won."
6,4.0,"These are the easiest to reach tombs in Seoul (there are several tombs through Seoul). The grounds are very attractive and the cost is only 1,000 Won to visit."
7,4.0,"I didn’t think it was possible to have such a large place to myself.  I visited at around 1830 on a Sunday afternoon.  It’s surprising to have such a vast forested area in the center of such a large metropolis.  It was a great place to go on a walk and imagine a time before skyscrapers.Seolleung station orange line exit 9.  Cost is 1,000W."
8,5.0,"I was just there yesterday as it was only a 5 minute walk from my hotel L7 Gangnam. I went for a nature walk and absolutely loved it. It's easy to walk and there are plenty of benches around for those who want to take a break. It was so green and pretty..almost felt as if walking in a forest. I went to 2 out of the 3 tombs, and liked the Korean traditional hanok houses but was really impressed more with the nature. I could believe such a peaceful place exists in Gangnam. It was so refreshing to take a walk and ponder. Would love to come back in the fall."
9,4.0,"Great visit for about USD $1 or W1,000 takes about an hour, light walking great for  meditating not very busy I went on  Sunday light tourist and local public. Grate to buy a drink or coffe before coming into the park, food is not allowed. Very peaceful and near the Bongeunsa Temple about 15 minute walk. Definetly worth the trip if you're near the area. If your hungry they have many good and beverage options right in front the main entrance."
