,title,text
0,3.0,"Huge garden with performances on some days, without which, there isn't much to see. A lot of green and few flowers when we visited in early October. I wouldn't recommend going out of your way to visit this place. There are more scenic nature walks closer to the city."
1,5.0,It's an oasis in Seoul. Walking in this park/mini forest really makes you think you're out in the country side. It's very relaxing and enjoyable. Many attraction for kids as well. Great for outdoor activities.
2,5.0,"If you're staying somewhere along Apkujung or Cheongdam, this park is just across the river on Seong-su bridge. Nice place to go for a run."
3,5.0,"We enjoy walking in city parks and this one has sculptures, a deer consul, insect and butterfly gardens (although the latter sections are bare bones in October.) If you have children, there are some  good play structures, slides and lots of free space to run around in."
4,3.0,"This is a park and not really a forest as the name suggested. There are many areas to sit around and have picnic, This is a park where locals will go and have their week end family picnic or gathering. Nothing much for the tourists."
5,4.0,"I always enjoy getting out into fresh air and be amongst trees. Worth the train travel to reach this lovely spot. Walking paths good. Relax and rejuvenate with the peaceful surroundings. A few deer in an enclosure sure to delight. You can walk all the way to the main Han River with great views of city. Basic cafe on site, but you can bring your own food and enjoy anywhere in the park area. We loved our visit."
6,3.0,"Ok to walk through and some sanctuary from the hustle and bustle of the cityThere are deer to look at as well. They are in an enclosure, but they come up to the fence. You can buy deer food for 1000 won from a vending machine. However when we went (close to sunset) the vending machine was closed for the day."
7,5.0,Wow ! In a busy city it’s a wonderful getaway. We really enjoyed the peaceful atmosphere of the forest in a city. I highly recommend it.
8,3.0,"It is very clean, with beautiful artworks installed here and there. However being a Russian I could not call it a forest... For forest is something massive, at least when you cannot see the end of the forest upon entering. Seoul forest is sort of park to me, a tiny island of nature - I would say."
9,5.0,"Seoul Forest is underrated but it’s my favourite place in South Korea especially because we went there on the middle of Autumn. It was beautiful and just provides you all the romantic —or otherwise dramatic— ambiance. With all the trees wearing different colours. Besides the deer park, my favourite place is the small stadium with a piano at the center. Make sure you practice your piano pieces before going here. It will be a memory you’ll definitely keep."
10,5.0,"Actually, we expected more from that place but it's still really cute. You can have a walk there with your partner/family/friends/dog, etc. It's convenient and it gives some calm even though it's in Seoul"
11,5.0,"I have been to Seoul Forest several times and it's been relaxing and refreshing every time. It can get pretty busy on the weekends, but still not too bad when compared to other parks in Seoul.pro tip: cherry blossoms are amazing here, best in Seoul (imo)! However, you have to walk across tukseom and gosanja intersection to get to them."
12,3.0,"Seoul forest which is 5min walk via Seoul metro (seoul forest station, Bundang line) is located close to the city. On approaching the park, there was a communal city veggie farm. It is free entry into the park and bicycles can be rented near the entrance.This large park which can be seen from Namsan Tower, housed Seoul's first water purification plant. The purification plant which is still active can be visited in the park. In addition to the purification plant, there were other attractions such as the Cultural Art park, butterflies and insect garden (there was a rabbit pen close to the butterfly garden), deer feeding at the Ecology forest or just strolling through the park.There are several convenience stores in the park selling snacks, coffee, ice cream, etc. Toilet and washroom facilities also available."
13,5.0,"In front of my house It's very lucky to have this kind of park near my housewith Metro station, easy to access to Gangnam and City center.bicycle rental available"
14,5.0,"Not comparable to Bukhansan, but nice for a day trip, if you have time to spare. I loved the atmosphere change and the good time. Worth it."
15,5.0,"A lovely bike ride around the park. Seoul Forest is hugeee! If u skateboard, there's also a skatepark with ramps and halfpipes."
16,5.0,"This is a great park for visitors of all ages to enjoy the outdoors for free. The Seoul Forest park has 5 distinct sections and is too large to see all of it in one day. There are nice, wide paths for walkers and bicyclists. We found the park to be extremely clean and well-landscaped. Bring your camera and a picnic lunch! There is also an impressive schedule of concerts and performances to see at various venues throughout the park if you like to plan in advance. We like to go simply for nature walks and find something new to do at each visit. One of our favorite discoveries was a large observation area where visitors can see different types of deer up close."
