,title,text
0,4.0,"And running on time !The map are not always in English but we always managed to find someone to help or some people came spontaneously to us in order to help (obviously we were showing we were struggling...)It is cheap, easy to access and for a first time in Seoul we managed pretty well.Congrats!"
1,5.0,Traveller FriendlyClear signages in English at Stations and Platforms English maps in trains and on some lines real time display
2,4.0,"If you’re used to SRT billet train then this is certainly a step into the slums, but it gets the job done. Easy to maneuver between stations, somewhat clean but usually very crowded, so be prepared to stand."
3,4.0,Used it only for short trips but the service is prompt and the cars spacious and air conditioned. Station announcements are in Korean and English.
4,5.0,Look very good to your direction.So if you stand ready to get in the train.Look you will see above you were you are. A arrow will point were you are going....check on you map. It is not always clear if you go down to your train.The subway is endless.... and very practical. And extremely safe even at night as a women on your own..... I did...Nothing to worry about!
5,4.0,"Used the metro in rush hour. Although busy it was still the fastest way to get around the city, cab would have taken over an hour in traffic. The metro was clean and had aircon, also very easy to use."
6,4.0,You can travel with min of 1320 won . Single or multiple travel cards are available. T MONEY  cards are easily available
7,3.0,"Don't get it wrong, it is a great service that connects the whole city, but it is awfully confusing, lots of lines, signs are confusing as well as the lack of directions. It is better to use Google maps because you might get lost and annoyed if only you use the sign in the stations. Tho confusing, it is neat and polite. Pretty safe I must add. Good option but not to be used a lot if you're staying for short periods of time."
8,4.0,Seoul Subway is one of the most convenient ways to travel in the city. The network is very extensive. There should be more signages in English.
9,5.0,"I used the metro quite often as it is cheap, very clean and frequent. There are signs in Korean and English and announcements telling you the name of the next station and is easy to use."
10,5.0,"I even worry when earthquake occurs, the whole Seoul city would be sink to the ground. even you can go near cities by metro."
11,4.0,The system is well organized and bilingual.  It works with colors with each route having it's own color. Trains are modern and clean. Sub terraenean stations are packed with shops and the Gangnam station is a city in itself. It is also cheap. Within Seoul a ticket will run 0.5$ to 3.00$ and going an hour south about 4.00$
12,5.0,"Ticket machines, stops and lines all written in English. Trains have air con and are very roomy. The Koreans are VERY civilised and line up in single file to get on."
13,5.0,Looking at the whole subway map is quite confusing. I literally got lost after alighting the express train from the airport. It took a while for me to be familiar with the exits and transfer but after that taking the seoul metro was a breeze. Try to download the subway app to help you navigate the lines.
14,4.0,"If you take time to learn the payment system and how to read the station maps, you are all set for a great time traveling in Seoul. Some trains and station are a bit older but still efficient."
15,5.0,The Seoul Metro is both convenient and comfortable.Trains are on time and passengers board the train in an orderly manner ; hardly any pushing.Trains are clean and the seats are spacious.Metro tickets are reasonably priced around US$1 per trip.Download the Metro app whereby you key in your destination and departure station and you will be shown the train/s to take and the estimated travel time.Trains are fast travelling at a cruising speed of about 100 km/hr.
16,5.0,"Quick, convenient, clean and cheap. Reliable transportation without traffic delays.   It is a great option."
17,3.0,"The Seoul Metro station is amongst the most complex metro/train stations I have travelled on. The Seoul metro station itself has over 20 exits, so unless you are very clear on which exit you need to take, it can get very confusing and you can land up in a place very far from where you want to be. So tip#1, when getting off at Seoul metro station, be very clear which exit you need to take. If not sure, ask around.The 2nd challenge is that the ticket vending machines dont accept cash or credit card.  You need to have a travel card which is a prepaid card. So as a tourist you kind of get stuck trying to buy a ticket."
18,5.0,"Clean, with a really wide network which can even take you out in great lanscapes among mountains for instance, the metro in Séoul is also very easy to use.First use your credit card to buy a T card, for a cheap price (as in London, for instance) : go to the machines in the station (and select the langage : English); then indicate the amount you want to deposit (a simple trip is about 1500 KTW). Everytime you will enter a metro station, your card will be checked for the credit and will register where you entered. The corresponding amount will be debited as getting out, according to the length of your trip.The card may also be used in City busses.On the platform, the lines are indicated by their number and colour, but also by their last station. But you also have the name of the NEXT station the metro is coming from and going to :for instance on the platform of City Hall, you will see  ""Jonggak –> City Hall –> Seoul"" Station.In each car, you have a screen AND an announce of the next station, which is repeated in English : and the pronounciation of the name of the station in Korean does correspond quite well to what an Eurpean would naturally pronounce when he reads the European version (which would't be the case in Chinese, for instance).The pictograms have been well designed, and are quite easy to understand.When you get out for a transfer, please beware of the numbers and do not mistake the number of the line you want to transfer to with the number of the exit (the exit are usually indicated on yellow). To avoid that mistake and also make a swift transfer (rush hour can be really busy), the indications ""transfer to"" are sometines indicated on the ground, with a line you can follow : for instance, transfer to a green line will appear with a green ""tread"" of tiles on the ground platform (in Busan for instance).But if you are used to more ancient (and historical) metro, as in Paris or Budapest, remember that the distance between 2 stations is longer, and stations can spread on a wide area : you will have to walk more to enter, exit or transfer. In the oldest station, you do not always have an escalator : if you have luggage, better to look for the elevator, but you probably will have to get in line for it, so be sure not to be in a hurry."
19,3.0,It was great experience travelling by Seoul Metro. It is a very good transport mode to travel across the city. Download the metro app which will help you find the route. If you are confused for anything ask from fellow travelers. They are always more than willing to help you find right route.
20,5.0,Very efficient rides.Connectivity to different places within Seoul is great.Convinient rides especially during the winter time.
21,5.0,"Clean, spacious, reliable, SAFE, super efficient, brings you everywhere, anouncements in 4 languages, absolutely fool proof. Your fellow travellers will be clean and nice to look at. They all look at their smart phones, you remain invisible to them. Only the seniors will push you aside to reach their reserved seats, you are not supposed to compete for them unless you are yourself visibly a senior."
22,4.0,"Whilst on business in Seoul, I have used the local Metro to get around the City and recommend it.Ticket machines have an English option. Single tickets are available, just make sure you get the 500 Won refund from the separate machines at the end of your journey."
23,5.0,"Went from airport to my hotel in an 1.5 hr. Traffic can be terrible in Seoul. The metro was easy to get at airport, had English for buying ticket, clean, very save, easy to change lines as I had to do. As easy as the T in Boston or MTR in HK or MRT in Singapore."
24,5.0,"The Seoul Metro is a great example of an efficient modern subway system. The trains usually run on time and it's easy to navigate your way around the system. The tricky bit is knowing where to obtain a travel card and how to load them. Once you manage that, you'll be fine"
25,5.0,"Very good coverage of Seoul, well integrated with other modes such as buses and regional rail and high speed train. Gets busy and congested sometimes but overall, we got everywhere we needed with ease. Ticket vending machines are easy to use. And people are helpful to assist you with directions. Certainly it is the best was to travel in Seoul."
26,4.0,Every time we sure Seoul Metro to travel around the city. It is very convenient and economical. Traffic is crazy in city and this is the best means of transport if you want to save some money and time.
27,4.0,The subway was convenient. There are a lot of English signs. They often had escalators that would go up a flight or two then stop leaving everyone to walk up stairs. It was not easily to get around with mobility issues. Some of the stations were pretty.
28,5.0,"Easy to go, but must avoid peak hours, Price is reasonable and most important is free from traffic jam in Seoul. Recommand you to buy the T-money great and small piece of devices,working like a card,easy to be charged, its cheaper if you go around Seoul while using it, the best thing was that i use it with multiple functions, you can use it in the bus,taxi,subway and metro."
29,4.0,The metro works fine but takes a little time to figure out. Much of it is labeled in English so it is better than other metros like Shanghai or Tokyo.
30,4.0,"Based on some of the reviews I read, I was expecting this place to be very difficult to navigate, since I don't speak any Korean.  Not so.  Easy to buy a metro card or ticket.  T-money is easier and more useful.  English speaking vending machines in the stations.  I haven't found one that takes a credit card, though.  Google maps works pretty good, navigating the metro system.  Cheap!  Cheaper than the trains in Tokyo, but they don't seem as fast."
31,5.0,It’s simple. Get a Tcard and use the Seoul metro and busses. You will get wherever you need to go cheaply and quickly. Would use again and would recommend to friends.
32,3.0,Could be challenging without fluent korean The trains themselves are clean efficient and reasonably priced. Train stations are also confusing as far as exits are concerned. You may end up on the wrong side of the street unless you have precise instructions from a local resident.
33,5.0,Seoul Metro is very easy and convenient to use. Signs are written in English just make sure that you take the correct train as there is all stop and express.
34,5.0,Soeul subway is a great way to get around in Seoul. It is very easy to find the way since everything is clear with signs in English aswell as Korean
35,5.0,"The transportation system (metro and busses) is well integrated and the major satnav applications can put together a smooth efficient journey to get you to and from your destination in optimum time and cost. Clean, fast and cheap. Use it!"
36,5.0,"Seoul Metro is one of the most cleanest metros I have ever seen. It covers the whole city and you can also use it to go to the outskirts of Seoul. Easy to use with good markings for points to change the train.However, recommend to avoid rush hours as it can get very crowded."
37,5.0,"The Seoul Metro is one of the best I have ever seen.  Super clean, well organized, easy to follow and ride and here is a tip:  people do not talk on the train.  So if you need to communicate - whisper!"
38,5.0,Well sign posted. I bought a ticket from machine (Won 3000) and topped it up by 2000. Directions easy to follow. Signs for destination in English.
39,5.0,"Metro was easy to navigate, clean and seemed safe. Regular service for anywhere you'd need. Great views as you cross the rivers too."
40,5.0,The metro gets you to many places in Seoul and is very reasonably priced. Make sure to have cash for the fares.
41,4.0,"The Seoul Metro is a very nice, convenient and inexpensive way to get essentially anywhere in Seoul; as a native english speaker I found it very easy to navigate and have used it heavily during the several trips I have made to Seoul through the years.  The cars are wide and the seats are comfortable, if you can get one (but don't count on it!).  I don;t know if I would say it is the top attraction in the city, but it is a great way to get to just about anyplace in the city you'd like to go."
42,4.0,perfect alternative to the taxi on crowded roads. So take your time and enjoy an easy travel through Seoul
43,4.0,"Quite simple to use along with naver maps and i tried using single destination tickets and as others have mentioned here, it might be better to use the T money card."
44,5.0,"The South Korean Public Transportation system is by far one of the best in the world. -On Time-Efficient-CheapEven if you are a foreigner coming from a developing nation, the public transport prices are highly affordable. The downside is that SOME stations are not mentioned in English. You would need to download Naver-for iOS and Android (the South Korean version of Google Maps) to get around as Google Maps does not work everywhere and when it does it shows only information about public transport but not the walking and driving routes. There is an alternate app for foreigners called CityMapper but it's not very accurate. I've seen most tourists (not foreigners- foreigners settled in SK use Naver) use City mapper because it can be used in other countries as well and also because most places are mentioned in English. I've used CityMapper most of the time as it's interface is very easy to navigate and understand. But it's not very accurate. My Korean friends do not recommend City Mapper. So in my 1 month stay in Korea, it was towards the last week that I was more comfortable with Naver.If you want to save a ton of money, use the Metro & Bus. You'll save a lot of money which you can use for Shopping and food."
