,title,text
0,5.0,"What a great travel system this is. So clean, easy to get around and inexpensive. We bought a travel card and put 10,000 won on it at a 7 eleven store and that lasted 8 days of city travel every day. It is easy to to travel as the lines are colour coded. The announcements are in Korean and English. The electronic display inside the carriages, is spoken in Korean and English as well as written.  Signs in the stations also have an arrow showing you what the next stop is in English. There is no eating or drinking on the subways so the area is clean. People are respectful and we felt safe even late at night. A great way to get around. There are quite a few stairs but usually you can find a lift as well. The shops are also amazing in the subways. Fully recommend using this transport system."
1,4.0,"Seoul is a big busy city with plenty of subway lines that can get really confused. However, if you plan ahead, it should. E fine. I've downloaded an app called Seoul Subway which seriously helped a lot.People in Seoul are generally OK except for the fact that they rarely say ""excuse me"" even in Korean so expect a lot of sudden pushing, shoving when someone needs to get on & off. I still do my basic of saying excuse me & thank you which helps that little bit."
2,5.0,"The metro is clean, fast and prompt ... but it is very big and you need to take a deep breath and plan your route ... after a shaky first day even my son could happily navigate around .. and it was such good value."
3,5.0,"The Seoul Metro is efficient and one of the cheapest way to travel in Seoul.  Get a T-Money card and forget about getting the single trip tickets which can be a pain during busy time with many tourists trying to do the same.  All stations we visited do have escalators in at least one of their exits but it could be a long walk if it is not the exit you needed.  Do look out for the signs for the dedicated seats for the pregnant, disabled and elderly if you are not one of these."
4,3.0,"Whilst the metro has better than average step free access, the directions were often confusing to the discerning tourist. However, what is annoying and its probably a cultural thing is the older generation when travelling with small children, they will actively come over and touch your child without your consent even if you have covered their faces with a hat as they will remove it to look and take pictures. I found this disturbing, also there are certain older gentlemen who were staring at our girls in a peculiar way and only looked away after I confronted them. So for this i am only giving a 3 and a warning to people thinking of travelling with young children."
5,5.0,"We travelled with 3 young children with 30000 won top-up value in our T-Money.Good to prepare your children their own lanyard so that they will not lose the T card.We were left with 17000 won at the end of the 7 day trip with 4 days of travelling by the subway.Plan your trip early and if in doubt check with the officer in the information room. They can speak good English. Do take not of the exit number of your destination too if not you can end up walking and crossing more.Getting off at the correct station and the exit is one thing, you also need to know which direction to walk to. Make sure you have good walking shoes for yourselves and the kids.Enjoy observing the locals when you travel. Most are oblivious tourists but it's ok. They are nice especially the older folks.It's an adventure on its own so smile and enjoy!"
6,5.0,"Used the subway during our entire stay period as it is useful and easy to navigate. Staff are friendly and direct us helpfully.Some line transfer may require some walking. But it is convenient and get us to the place without fuss as it is well connected.Each trip cost Korean Won 1,250 and fare is deducted when you enter the gate."
7,5.0,"Metro, tube or subway, every city has similar system. Difference is the language and the ease for passengers. Seoul Metro trains are wide, clean, with clear indication of the next station (in Korean and English) and which side the door opens. Stations are clean and well posted. At the platform, they indicate which is the next and preceding station so you know the direction of travel. There is even a visual sign that tells you the train is approaching a preceding station, leaving it and arriving at where you are. And to top it all, theres a fanfare music announcing the approaching train (like the fanfare one hears when Ryanair has safely landed). Seoul Metro manage to show that language is not a barrier and can be overcome with clear signs."
8,5.0,"Amidst the complicating train network, it is comforting to note that the trains itself are clean and they generally run on-time.  For somebody who does not speak Korean, it helps to have the KakaoMetro App as it helped me to plan my route.  That essentially saved me a lot of headache"
9,4.0,Train service that brings you everywhere.  Stations are clean and safe except for the occasional homeless taking shelter at night.
10,5.0,"Seoul metro was too good.It connected each and every area.Just carry a metro map along with you for checking out stations,transit,exits.We were there for 4days and used metro to the fullest.we used taxi only thrice that too for nearby places.Everybody is ready to help you even there is a language barrier.Just show them the place on map,they would help you out.This is the best ever public connectivity services I have ever seen.Have an happy stay at Seoul.For 4 days,we topup the card with ₩30,000 and this was sufficient."
11,5.0,"I’d advise all visitors to use the metro to get around, it’s inexpensive, clean, musical, and we’ll sign posted to all locations, buy yourself a plastic tmoney or another card and top it up at any party station with notes, even easy to do in Korean but it does provide English too. Many stations are well equipped with clean toilets, shops, shoe repair and cash machines. No one eats our drinks on the metro trains. People are generally quiet during the journeys. Plenty of lifts for people to use. Many stations do start to close from 23:00 on wards so download the app for the metro as you can put the times off your trips in the app. Lots of free WiFi too."
12,5.0,There are so many lines in Seoul and basically it covers most of the places which tourists most probably visit.
13,5.0,Cheap and easy to use. Whit T-money card you can use the subway without thinking about the right fare and spending time at the ticket machine. Just go through and scan the card entering and leaving.
14,5.0,Smooth efficient fast and pocket friendly!!!If you want to travel around seoul metro is the way to go about! Super clean and quiet even when it is crowded.
15,4.0,"Connects various parts of the city very well. Cars are very clean and there are enough signs to show upcoming stations. Unlike Japan, you cannot hear the in car announcements clearly. Similarly, people are allowed to talk while traveling in the train. You should avoid peek hour traffic as people are in a hurry and expect to be pushed - they may not be polite as they are in a hurry"
16,4.0,"We are a family from Hong Kong so we are familiar with metro stations. We didn’t have too much of a problem navigating, however at one point I did ask which direction to get on the train as most things are labeled in korean or with Korean names. But it’s definitely efficient and safe. Would recommend"
17,4.0,The metro was really reliable and fast. Easy way to get around.  Download the metro map onto your phone.
18,5.0,"Stations , trains and platforms so clean and well maintained. So much space with platforms very wide. Trains very frequent with sliding doors to protect from the open tracks. Not ideal for disabled or with heavy luggage as not too many lifts around.Colour coded system and tap on/ off cards used which can be purchased and topped up."
19,5.0,"At first seemed complicated,  but when you figure it out it is quite easy to use. The people around are also quite helpful."
20,5.0,Packed but you could go pretty much anywhere in Seoul by metro. It is so efficient. Timing is super accurate. Helps that Koreans respect the 'elderly' and 'pregnant / women with children' seat assignments. Stops at strategic locations in town. Always lots of people but so reliable.
21,5.0,As you might expect the train system in Korea is very efficient and easy to use. Its a color system so even non speakers like my self can get around using a metro map.
22,5.0,"It's pretty easy to get from place to place on the train. Easy way of commute in Seoul. Just make sure one get onto the correct line depicted by different colors and numbers. Many of the stations do not have escalators up/ down so be prepared to walk up/ down long flights of stairs. Once out of the platform and at the scammers there are many signboards to show the directions, just have to pay close attention. There are numerous stations along the different lines and for example Myeongdong can be accessed via different lines.Good rides on the trains."
23,5.0,"During my visit to seoul i have used the metro to move around recommend places for shopping , sightseeing and dining , i have to say it was above my expectations for its cleanliness and punctuality of timing. Easy straightforward of ticket purchases and following of stations maps and signs.Tickets are very reasonable price especially to avoid the road traffic compared to taxi."
24,5.0,It is amazing to me that the subway stations and trains can be kept so pristine. It was such a pleasure to ride the trains and so convenient. We learned to stay quiet and to model our behavior after the locals. Definitely the easiest way to get around a big city. Have fun 😊
25,5.0,The metro card required 3000W deposit which is refundable. It is very easy to purchase or top up via the machine as it has instruction in various languages. The Seoul metro is a very complex networks that is very effective to travel. It will definitely help to download the subway Korea app.
26,5.0,"Clean, easy and effective...what else? There is not any trace of smell of urine.  Unbelivable! It's very cheap, just 1 dollar for one ride."
27,5.0,"If you've been to Singapore then the Seoul metro is very similar. Ticket machines are easy to use and a single trip is roughly $2 AUD per person and you get a refund on the ticket at the end of the trip.We had a couple of problems with the machines, if you put coins in too fast the transaction will cancel and once we had a ticket that we could not refund.The announcements are in multiple languages and the trains are all air conditioned. Like Singapore there is no access to the lines so no accidents of falling onto the tracks or people running from one platform to the other.There are food stalls and markets at most stations.Not all levels have escalators so if you have luggage, sometimes it's a haul up stairs.The afternoon knock off is always busy, but with trains roughly every 2 minutes it's no big deal to wait for the next one.You'll find most Koreans are fairly rude when entering/exiting and it's not uncommon to see elderly people pushed out of the way.  There is no real chivalry for seating either but then again this is the liberal age.Overall easy to use and a lot cheaper than a taxi."
28,5.0,"With only USD1(starting rate, depends on the distance) you can get almost all the attractions and places in and around Seoul by this metro. Very clean, easy to reach and transfer. Remember when you get in out at the gate, touch the metro card on your right hand and push the gate bar on the left hand."
29,5.0,"We took the metro everywhere during our stay and it was great. My husband, meanwhile, took taxis and constantly got stuck in traffic (as did we, using the bus to get to the airport). Whenever possible, take the train."
30,3.0,"Directions and stations have english letters so easy to follow, not so crowded and got enough space for the elderly."
31,5.0,The Seoul metro is very convenient.  I wish the stops were illuminated on a board inside the train like Shanghai metros.
32,4.0,"We enjoyed taking the train around Seoul.  Pretty easy after you figure things out. Remember to press English before you start buying your train pass.  However, didn't need to press English anymore since its about 3 steps to reload your card."
33,5.0,A nice interesting place to connect trains as well as do some shopping and have quick meals. Certain airlines you can check in your flight from here
34,5.0,"It is one of the best metro systems I ride.  Quite punctual with English announcements. Nobody is drinking or eating at the metro and nobody make ling calls it is not acceptable by others,"
35,3.0,"Only made two short trips, one direction the cars were really packed with standing room only. Some difficulty for people with handicap that long standing ride would cause stress. Overall this was a positive experience."
36,5.0,"Don't hesitate to use Seoul Metro! Signs in English. Super easy and economical.  Clean stations and trains, restrooms available at almost every station were clean and stocked.  Great experience."
37,5.0,The idea way to travel around Seoul. Use various apps to assist as it can be a little confusing in the beginning. Google Map isn’t supported in Seoul so we had to resort to other apps to help us. Such an incredibly clean metro system. Extremely safe and on time. Best way for travel around the city! Buy cards from a 7-Eleven and you can get a refund on the balance remaining at the airport before you leave the country!
38,5.0,"Easy to manoeuvre around,You can buy Metro tickets at the stations or in a 7/11.  Charge them with money when you buy them, most journeys cost about 1,250 Won which isn’t more than £1, children are charged less. Just swipe them as you go in the station, swipe as you leave the station. There is a machine in the station if you want the unused money returned, or just leave on the card for your next journey. Metro maps are clear and easy to navigate around. I personally love the different little tunes the station plays when a new train arrives. Very clean and feels safe. No problems.  We bought cartoon character cards just for fun but standard cards cost less. Ask for metro cards, choose your card and off you go!! Enjoy x"
39,4.0,"First the system covers extensive area. Signage & instructions are very clear in four languages ie Korean, Chinese, English & Japanese. Even the  in carriage announcement are in four languages.Second, it is a very reasonable price and I would say that it is very cheap with the level of service. Clean and allow drinks in train but Korean locals are very considerate and no rubbish at all. Pregnant woman not matter how earlier in their pregnancy will have designated seats available in each carriage. Constant announcements to remind passengers in 4 languages. Some transfer stations are large and you may have to walk a few minutes so you need to watch for the closest transfer and pick the most convenient transfer line . It is the first time for us to visit Seoul and it only cost us 4200 Korean won to travel 55Kms from airport to the city central. 👍👍👍."
40,5.0,"Seoul metro makes getting around the city so easy, as does the frequency of the trains as they go every couple of minutes. It is very easy to navigate and a fast cheap way to get around.Some of the metro shops are actually like underground towns there are so many shops and stalls etcWould definitely recommend this as the best way to travel in  Seoul"
41,4.0,Seoul subway system is a dense networked subway system. It's easy to use and inexpensive means to travel across the city.
42,5.0,It is always clean and easy to aceess many of places. Many of lines make you complicate but once you notice thire system you might understand how convenient it is.
43,5.0,We enjoy a lot with the system. We can go everywhere we are about to go by the system and it is very English friendly & easy to understand. The fare is reasonable & its underground walk gives another plus. It has a lot of trains & starts early and last train is always late. 這個系統很便捷，我們想去的地方都可以用這個系統過去，英文友善而且容易瞭解，價錢合理而且很多地下通道可以遮陽擋雨變成大加分，車子很多而且開始早又結束晚。
44,4.0,"Foreigners? First timers? No worries. English, Japanese and Chinese announcements are made every minute in the subway. Even directions are written in different languages. Their system is very helpful and the fare is cheap. You can go anywhere with the subway. You don’t have to worry about traffic. It comes on time."
45,5.0,We travelled by metro on our 10 day trip to Seoul. Great service. Eveywhere was clean and tidy. Every member of staff was helpful.  We used T money cards which made for very cheap travel.
46,5.0,"Transportation in Seoul was superb. We stayed at Namyeong area and and it was so convenient for us using the subway although with 3 young children ages 4 & 5, two (2) infants 1 yr 10 months old.  The only thing we need to study and understand the colour and and the line number of the subway map for us to move around.From Namyeong, we went to places like Myeongdong, Dongdaemun, Namdaemon, Itaewon, etc.  all by subway"
47,5.0,"Cheap transportation that will bring you anywhere.  inexpensive, easy to understand.  Buy a T-money card, it's cheaper and saves you time."
48,5.0,The subway in Seoul is clean and efficient. It is easy to navigate and you can get to all areas of the city by switching from 1 line to another. It costs approximately $1.25 per trip per person. It may be a bit difficult for a non Korean person although there are words in English and if you know what station you are headed to it gets pretty simple. There are also many food stands and shops inside various stations across the city. It can get very crowded during rush hour but just shove your way on and you will be fine. No use being dainty and reserved. People don’t take offense to being bumped into as it is part of the culture.
49,4.0,Extensive network makes exploring Seoul convenient on the Seoul Metro. Ticket machines are in English. Takes cash only. No credit cards. Stations and trains are clean and well maintained. Lots of underground shops within the stations. Remember to collect your 500 Won refund after using your ticket.
50,5.0,We have nice time to raid the train and easy to know the next stop the train was clean and good arrange
51,5.0,"Fantastic, clean and on time metro system. No problem not knowing Korean, everything in English. Very easy to navigate Seoul...Excellent metro..."
52,5.0,"When I arrived at the Incheon (ICN) Airport, I bought a T-Money Card and loaded it with Korean Won. Used the AREX train to go to Seoul (and back to ICN). And used the subway trains within Seoul. Just tap-on and tap-off when using the Seoul Metro. Easy."
53,5.0,"We walked from our hotel to Myeongdong Station and purchased a card/ticket (they do not have paper tickets) for Dongdaemun History & Culture Park to access the DDP and Cheonggyecheon Stream. Subway is very fast, easy, clean, and pleasant. After departing the station, you have the option to return your plastic ticket in a machine for a 500-won refund. Or you can keep it as a souvenir."
54,5.0,"The metro is great.  It's very inexpensive, clean, goes most everywhere and the stops are announced in English."
55,5.0,"Really nice having Lebaran Holiday to Seoul and Busan With Fam Brother n Wife Sister and 3 Nephews. This is my first to Korea while my fam bros and sis, they are the second time. Hereare my reviews and my experiences while I was there on 07 - 13 June 2019."
